self,pid,command,shared_obj,symbol
392327757.0,2884154,perf,perf,io__get_char
391570165.0,2884245,perf,perf,io__get_char
390613397.0,2884202,perf,perf,io__get_char
388666611.0,2884306,perf,perf,io__get_char
388053403.0,2884312,perf,perf,io__get_char
382042318.0,2884293,perf,perf,io__get_char
378902186.0,2884142,perf,perf,io__get_char
372775814.0,2884464,perf,perf,io__get_char
372388442.0,2884255,perf,perf,io__get_char
370835862.0,2884189,perf,perf,io__get_char
369395543.0,2884195,perf,perf,io__get_char
366587652.0,2884096,perf,perf,io__get_char
365276212.0,2884233,perf,perf,io__get_char
364185192.0,2884452,perf,perf,io__get_char
363051065.0,2884102,perf,perf,io__get_char
361948957.0,2884420,perf,perf,io__get_char
361695287.0,2884414,perf,perf,io__get_char
361202717.0,2884516,perf,perf,io__get_char
360561207.0,2884287,perf,perf,io__get_char
360158576.0,2884540,perf,perf,io__get_char
359693360.0,2884427,perf,perf,io__get_char
359203190.0,2884114,perf,perf,io__get_char
358306432.0,2884299,perf,perf,io__get_char
357866446.0,2884620,perf,perf,io__get_char
357830322.0,2884183,perf,perf,io__get_char
355781667.0,2884221,perf,perf,io__get_char
353264913.0,2884558,perf,perf,io__get_char
352786792.0,2884208,perf,perf,io__get_char
352562124.0,2884504,perf,perf,io__get_char
352112843.0,2884324,perf,perf,io__get_char
350919660.0,2884123,perf,perf,io__get_char
350681828.0,2884215,perf,perf,io__get_char
349876040.0,2884605,perf,perf,io__get_char
348862779.0,2884510,perf,perf,io__get_char
348135872.0,2884593,perf,perf,io__get_char
348006787.0,2884129,perf,perf,io__get_char
347360059.0,2884262,perf,perf,io__get_char
346784976.0,2884522,perf,perf,io__get_char
346218312.0,2884574,perf,perf,io__get_char
345703467.0,2884135,perf,perf,io__get_char
343920854.0,2884492,perf,perf,io__get_char
343443841.0,2884458,perf,perf,io__get_char
342634159.0,2884433,perf,perf,io__get_char
342268036.0,2884611,perf,perf,io__get_char
340464742.0,2884528,perf,perf,io__get_char
339626489.0,2884148,perf,perf,io__get_char
339205327.0,2884568,perf,perf,io__get_char
337433091.0,2884268,perf,perf,io__get_char
336988615.0,2884403,perf,perf,io__get_char
336596341.0,2884599,perf,perf,io__get_char
336464249.0,2884482,perf,perf,io__get_char
335321234.0,2884445,perf,perf,io__get_char
334931200.0,2884280,perf,perf,io__get_char
334314382.0,2884546,perf,perf,io__get_char
331599823.0,2884439,perf,perf,io__get_char
330622194.0,2884580,perf,perf,io__get_char
329513137.0,2884626,perf,perf,io__get_char
328381819.0,2884274,perf,perf,io__get_char
327063472.0,2884534,perf,perf,io__get_char
324485551.0,2884108,perf,perf,io__get_char
323752387.0,2884227,perf,perf,io__get_char
322047655.0,2884090,perf,perf,io__get_char
320072071.0,2884470,perf,perf,io__get_char
319684545.0,2884177,perf,perf,io__get_char
314341850.0,2884166,perf,perf,io__get_char
305609581.0,2884498,perf,perf,io__get_char
304645927.0,2884587,perf,perf,io__get_char
252388564.0,2884312,perf,perf,kallsyms__parse
242455769.0,2884202,perf,perf,kallsyms__parse
236178035.0,2884245,perf,[kernel.kallsyms],module_get_kallsym
232841044.0,2884154,perf,perf,kallsyms__parse
230128705.0,2884445,perf,perf,kallsyms__parse
228992439.0,2884540,perf,[kernel.kallsyms],module_get_kallsym
228903438.0,2884498,perf,[kernel.kallsyms],module_get_kallsym
228288016.0,2884620,perf,[kernel.kallsyms],module_get_kallsym
221786434.0,2884605,perf,perf,kallsyms__parse
221757873.0,2884108,perf,perf,kallsyms__parse
221578269.0,2884129,perf,perf,kallsyms__parse
221390882.0,2884439,perf,[kernel.kallsyms],module_get_kallsym
221075278.0,2884221,perf,perf,kallsyms__parse
220098762.0,2884403,perf,perf,kallsyms__parse
219477810.0,2884534,perf,perf,kallsyms__parse
219344599.0,2884227,perf,[kernel.kallsyms],module_get_kallsym
219091517.0,2884433,perf,[kernel.kallsyms],module_get_kallsym
218778485.0,2884189,perf,perf,kallsyms__parse
218063710.0,2884274,perf,perf,kallsyms__parse
217688120.0,2884177,perf,[kernel.kallsyms],module_get_kallsym
216435878.0,2884142,perf,perf,kallsyms__parse
215906290.0,2884414,perf,perf,kallsyms__parse
215679451.0,2884227,perf,perf,kallsyms__parse
214306507.0,2884233,perf,perf,kallsyms__parse
214279296.0,2884458,perf,[kernel.kallsyms],module_get_kallsym
214216172.0,2884262,perf,[kernel.kallsyms],module_get_kallsym
214152001.0,2884129,perf,[kernel.kallsyms],module_get_kallsym
213935957.0,2884268,perf,perf,kallsyms__parse
213580107.0,2884452,perf,perf,kallsyms__parse
213570580.0,2884114,perf,perf,kallsyms__parse
213214520.0,2884324,perf,perf,kallsyms__parse
213143868.0,2884148,perf,[kernel.kallsyms],module_get_kallsym
212456634.0,2884510,perf,perf,kallsyms__parse
212286227.0,2884177,perf,perf,kallsyms__parse
212263275.0,2884605,perf,[kernel.kallsyms],module_get_kallsym
212226443.0,2884403,perf,[kernel.kallsyms],module_get_kallsym
212145844.0,2884522,perf,perf,kallsyms__parse
211915375.0,2884208,perf,perf,kallsyms__parse
211808623.0,2884166,perf,[kernel.kallsyms],module_get_kallsym
211397702.0,2884504,perf,perf,kallsyms__parse
211373597.0,2884233,perf,[kernel.kallsyms],module_get_kallsym
210996845.0,2884293,perf,perf,kallsyms__parse
210946973.0,2884183,perf,perf,kallsyms__parse
210528538.0,2884620,perf,perf,io__get_hex
210257387.0,2884593,perf,[kernel.kallsyms],module_get_kallsym
210178777.0,2884142,perf,[kernel.kallsyms],module_get_kallsym
210048463.0,2884183,perf,[kernel.kallsyms],module_get_kallsym
209997223.0,2884439,perf,perf,kallsyms__parse
209929587.0,2884102,perf,perf,kallsyms__parse
209428949.0,2884516,perf,[kernel.kallsyms],module_get_kallsym
209296594.0,2884123,perf,[kernel.kallsyms],module_get_kallsym
209206020.0,2884221,perf,[kernel.kallsyms],module_get_kallsym
209202585.0,2884534,perf,[kernel.kallsyms],module_get_kallsym
209131688.0,2884626,perf,[kernel.kallsyms],module_get_kallsym
208159623.0,2884195,perf,[kernel.kallsyms],module_get_kallsym
208124763.0,2884546,perf,[kernel.kallsyms],module_get_kallsym
207397344.0,2884306,perf,[kernel.kallsyms],module_get_kallsym
207303038.0,2884580,perf,perf,kallsyms__parse
206257245.0,2884470,perf,perf,kallsyms__parse
205405567.0,2884568,perf,perf,kallsyms__parse
205402174.0,2884510,perf,[kernel.kallsyms],module_get_kallsym
205368379.0,2884102,perf,[kernel.kallsyms],module_get_kallsym
205363900.0,2884299,perf,[kernel.kallsyms],module_get_kallsym
205202594.0,2884498,perf,perf,kallsyms__parse
204651004.0,2884215,perf,perf,kallsyms__parse
204352726.0,2884504,perf,[kernel.kallsyms],module_get_kallsym
204347208.0,2884135,perf,[kernel.kallsyms],module_get_kallsym
204343726.0,2884599,perf,[kernel.kallsyms],module_get_kallsym
203360434.0,2884274,perf,[kernel.kallsyms],module_get_kallsym
203223885.0,2884452,perf,[kernel.kallsyms],module_get_kallsym
202869120.0,2884148,perf,perf,kallsyms__parse
202684407.0,2884587,perf,perf,kallsyms__parse
202378762.0,2884464,perf,[kernel.kallsyms],module_get_kallsym
202334078.0,2884280,perf,[kernel.kallsyms],module_get_kallsym
201829689.0,2884593,perf,perf,kallsyms__parse
201234147.0,2884255,perf,[kernel.kallsyms],module_get_kallsym
200864674.0,2884154,perf,[kernel.kallsyms],module_get_kallsym
200744414.0,2884215,perf,[kernel.kallsyms],module_get_kallsym
200646603.0,2884108,perf,[kernel.kallsyms],module_get_kallsym
200455660.0,2884427,perf,[kernel.kallsyms],module_get_kallsym
200416555.0,2884324,perf,[kernel.kallsyms],module_get_kallsym
200296784.0,2884202,perf,[kernel.kallsyms],module_get_kallsym
200114840.0,2884445,perf,[kernel.kallsyms],module_get_kallsym
199446365.0,2884568,perf,perf,io__get_hex
199413274.0,2884420,perf,[kernel.kallsyms],module_get_kallsym
199387080.0,2884166,perf,perf,kallsyms__parse
199309768.0,2884558,perf,[kernel.kallsyms],module_get_kallsym
199229061.0,2884580,perf,perf,io__get_hex
199045967.0,2884599,perf,perf,kallsyms__parse
198888665.0,2884464,perf,perf,kallsyms__parse
198740254.0,2884287,perf,[kernel.kallsyms],module_get_kallsym
198631913.0,2884287,perf,perf,io__get_hex
198288216.0,2884574,perf,perf,kallsyms__parse
197890075.0,2884262,perf,perf,kallsyms__parse
197053488.0,2884090,perf,perf,kallsyms__parse
197020494.0,2884255,perf,perf,kallsyms__parse
196928116.0,2884096,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
196780949.0,2884114,perf,perf,io__get_hex
196513374.0,2884268,perf,[kernel.kallsyms],module_get_kallsym
196373909.0,2884096,perf,[kernel.kallsyms],module_get_kallsym
196169811.0,2884414,perf,[kernel.kallsyms],module_get_kallsym
196039003.0,2884516,perf,perf,kallsyms__parse
195452700.0,2884522,perf,perf,io__get_hex
195349635.0,2884580,perf,[kernel.kallsyms],module_get_kallsym
195111566.0,2884482,perf,perf,kallsyms__parse
195069365.0,2884611,perf,[kernel.kallsyms],module_get_kallsym
194885346.0,2884540,perf,perf,io__get_hex
194497668.0,2884587,perf,[kernel.kallsyms],module_get_kallsym
194394164.0,2884492,perf,[kernel.kallsyms],module_get_kallsym
194388106.0,2884558,perf,perf,kallsyms__parse
194309837.0,2884611,perf,perf,kallsyms__parse
194297389.0,2884574,perf,[kernel.kallsyms],module_get_kallsym
193966063.0,2884090,perf,[kernel.kallsyms],module_get_kallsym
193886178.0,2884599,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
193812726.0,2884287,perf,perf,kallsyms__parse
192798654.0,2884427,perf,perf,kallsyms__parse
192758863.0,2884114,perf,[kernel.kallsyms],module_get_kallsym
192447596.0,2884482,perf,[kernel.kallsyms],module_get_kallsym
192370575.0,2884123,perf,perf,kallsyms__parse
192291182.0,2884546,perf,perf,kallsyms__parse
192055895.0,2884452,perf,perf,io__get_hex
191311262.0,2884528,perf,perf,kallsyms__parse
191019838.0,2884189,perf,[kernel.kallsyms],module_get_kallsym
190751423.0,2884280,perf,perf,kallsyms__parse
189891762.0,2884306,perf,perf,kallsyms__parse
189050768.0,2884293,perf,[kernel.kallsyms],module_get_kallsym
188548490.0,2884546,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
188466376.0,2884470,perf,[kernel.kallsyms],module_get_kallsym
188448655.0,2884108,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
188353587.0,2884546,perf,perf,io__get_hex
187776536.0,2884312,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
187554755.0,2884227,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
186959782.0,2884458,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
186801699.0,2884262,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
186623460.0,2884183,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
186608797.0,2884558,perf,perf,io__get_hex
186402359.0,2884433,perf,perf,io__get_hex
186309154.0,2884414,perf,perf,io__get_hex
186289927.0,2884255,perf,perf,io__get_hex
186157033.0,2884492,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
185985321.0,2884458,perf,perf,kallsyms__parse
185733164.0,2884195,perf,perf,kallsyms__parse
184414572.0,2884208,perf,[kernel.kallsyms],module_get_kallsym
184309937.0,2884540,perf,perf,kallsyms__parse
184194502.0,2884262,perf,[kernel.kallsyms],vsnprintf
184082520.0,2884268,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
184008199.0,2884580,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
183991901.0,2884299,perf,perf,kallsyms__parse
183986092.0,2884626,perf,perf,io__get_hex
183811021.0,2884498,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
183689380.0,2884433,perf,perf,kallsyms__parse
183527726.0,2884528,perf,[kernel.kallsyms],module_get_kallsym
183521789.0,2884142,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
183307714.0,2884626,perf,perf,kallsyms__parse
