self,pid,command,shared_obj,symbol
947661761.0,2718738,python,python,_PyEval_EvalFrameDefault
619564695.0,2718904,python,python,_PyEval_EvalFrameDefault
607020318.0,2718882,python,python,_PyEval_EvalFrameDefault
599397532.0,2718962,python,python,_PyEval_EvalFrameDefault
592489950.0,2718926,python,python,_PyEval_EvalFrameDefault
591904264.0,2718937,python,python,_PyEval_EvalFrameDefault
589251699.0,2718837,python,python,_PyEval_EvalFrameDefault
586148471.0,2718804,python,python,_PyEval_EvalFrameDefault
586028670.0,2718948,python,python,_PyEval_EvalFrameDefault
583043271.0,2718848,python,python,_PyEval_EvalFrameDefault
579718593.0,2718792,python,python,_PyEval_EvalFrameDefault
579572875.0,2718860,python,python,_PyEval_EvalFrameDefault
572747687.0,2718815,python,python,_PyEval_EvalFrameDefault
570176365.0,2718781,python,python,_PyEval_EvalFrameDefault
569552015.0,2718756,python,python,_PyEval_EvalFrameDefault
567477253.0,2718770,python,python,_PyEval_EvalFrameDefault
566607520.0,2718893,python,python,_PyEval_EvalFrameDefault
560420107.0,2718745,python,python,_PyEval_EvalFrameDefault
550555295.0,2718871,python,python,_PyEval_EvalFrameDefault
547425219.0,2718826,python,python,_PyEval_EvalFrameDefault
522653220.0,2718915,python,python,_PyEval_EvalFrameDefault
228798609.0,2718804,python,python,_PyEval_EvalFrameDefault
224613317.0,2718948,python,python,_PyEval_EvalFrameDefault
217713599.0,2718937,python,python,_PyEval_EvalFrameDefault
217190334.0,2718882,python,python,_PyEval_EvalFrameDefault
213869578.0,2718893,python,python,_PyEval_EvalFrameDefault
209409896.0,2718848,python,python,_PyEval_EvalFrameDefault
205614900.0,2718915,python,python,_PyEval_EvalFrameDefault
201747872.0,2718815,python,python,_PyEval_EvalFrameDefault
201106317.0,2718871,python,python,_PyEval_EvalFrameDefault
200040442.0,2718756,python,python,_PyEval_EvalFrameDefault
198484515.0,2718926,python,python,_PyEval_EvalFrameDefault
198312947.0,2718781,python,python,_PyEval_EvalFrameDefault
197348394.0,2718904,python,python,_PyEval_EvalFrameDefault
197332810.0,2718962,python,python,_PyEval_EvalFrameDefault
194632447.0,2718792,python,python,_PyEval_EvalFrameDefault
184397841.0,2718745,python,python,_PyEval_EvalFrameDefault
184030997.0,2718860,python,python,_PyEval_EvalFrameDefault
181673447.0,2718738,python,python,unicodekeys_lookup_unicode
180178387.0,2718837,python,python,_PyEval_EvalFrameDefault
175178956.0,2718826,python,python,_PyEval_EvalFrameDefault
133170131.0,2718781,python,python,unicodekeys_lookup_unicode
126222897.0,2718826,python,python,unicodekeys_lookup_unicode
124334663.0,2718848,python,python,unicodekeys_lookup_unicode
124166143.0,2718915,python,python,unicodekeys_lookup_unicode
123169794.0,2718837,python,python,unicodekeys_lookup_unicode
122891640.0,2718871,python,python,unicodekeys_lookup_unicode
122377982.0,2718745,python,python,unicodekeys_lookup_unicode
119374208.0,2718893,python,python,unicodekeys_lookup_unicode
117321803.0,2718904,python,python,unicodekeys_lookup_unicode
116263009.0,2718948,python,python,unicodekeys_lookup_unicode
113297507.0,2718804,python,python,unicodekeys_lookup_unicode
112644098.0,2718937,python,python,unicodekeys_lookup_unicode
112212985.0,2718815,python,python,unicodekeys_lookup_unicode
111448900.0,2718770,python,python,unicodekeys_lookup_unicode
110549370.0,2718792,python,python,unicodekeys_lookup_unicode
104336120.0,2718756,python,python,unicodekeys_lookup_unicode
104204832.0,2718882,python,python,unicodekeys_lookup_unicode
103347583.0,2718860,python,python,unicodekeys_lookup_unicode
100906986.0,2718962,python,python,unicodekeys_lookup_unicode
97944764.0,2718738,python,python,_PyObject_Malloc
97857133.0,2718926,python,python,unicodekeys_lookup_unicode
89216067.0,2718738,python,python,_PyObject_Free
88302033.0,2718738,python,python,_Py_dict_lookup
82517397.0,2718738,python,python,_PyFrame_ClearExceptCode
77760464.0,2718826,python,python,_PyObject_Malloc
76463450.0,2718738,python,python,_Py_Dealloc
74912836.0,2718756,python,python,_Py_dict_lookup
74878046.0,2718815,python,python,_Py_dict_lookup
71738278.0,2718882,python,python,_PyObject_Malloc
68200438.0,2718738,python,python,initialize_locals
68007934.0,2718948,python,python,_Py_dict_lookup
67550780.0,2718738,python,python,_PyType_LookupStackRefAndVersion
66968929.0,2718948,python,python,_PyObject_Malloc
66111587.0,2718860,python,python,_PyObject_Malloc
65815839.0,2718804,python,python,_PyObject_Malloc
65004656.0,2718792,python,python,_PyObject_Malloc
64886687.0,2718860,python,python,_Py_dict_lookup
64778286.0,2718756,python,python,_PyObject_Malloc
63034479.0,2718915,python,python,_Py_dict_lookup
62977292.0,2718848,python,python,_PyObject_Malloc
62074378.0,2718826,python,python,_Py_dict_lookup
62005446.0,2718915,python,python,_PyObject_Malloc
61963901.0,2718770,python,python,_PyObject_Malloc
61129346.0,2718781,python,python,_Py_dict_lookup
61013480.0,2718962,python,python,_Py_dict_lookup
60879881.0,2718882,python,python,_Py_dict_lookup
60105279.0,2718915,python,python,_PyObject_Free
59850057.0,2718893,python,python,_PyObject_Malloc
59511385.0,2718937,python,python,_PyObject_Malloc
58205137.0,2718826,python,python,_PyObject_Free
58092524.0,2718871,python,python,_PyObject_Malloc
57170350.0,2718770,python,python,_PyFrame_ClearExceptCode
56624813.0,2718837,python,python,_PyObject_Malloc
56022404.0,2718745,python,python,_PyObject_Malloc
55929901.0,2718770,python,python,_Py_dict_lookup
55220486.0,2718848,python,python,_Py_dict_lookup
55219082.0,2718804,python,python,_Py_dict_lookup
55185813.0,2718962,python,python,_PyObject_Malloc
55181942.0,2718962,python,python,_PyObject_Free
55058164.0,2718837,python,python,_Py_dict_lookup
55001573.0,2718926,python,python,_Py_dict_lookup
54168887.0,2718893,python,python,_Py_dict_lookup
54131046.0,2718926,python,python,_PyObject_Free
54053228.0,2718815,python,python,_PyObject_Free
53376680.0,2718871,python,python,_Py_dict_lookup
53229761.0,2718745,python,python,_Py_dict_lookup
52221106.0,2718745,python,python,_PyObject_Free
52165105.0,2718848,python,python,_PyFrame_ClearExceptCode
51854292.0,2718926,python,python,_PyObject_Malloc
50283662.0,2718848,python,python,_PyObject_Free
50251295.0,2718815,python,python,_PyObject_Malloc
50240162.0,2718792,python,python,_PyObject_Free
50229618.0,2718792,python,python,_Py_dict_lookup
50215413.0,2718893,python,python,_PyObject_Free
50123485.0,2718837,python,python,_PyObject_Free
48390351.0,2718781,python,python,_PyObject_Malloc
48308311.0,2718826,python,python,_Py_Dealloc
47270923.0,2718756,python,python,_PyFrame_ClearExceptCode
47194445.0,2718871,python,python,unicodekeys_lookup_unicode
47170765.0,2718904,python,python,_PyObject_Malloc
46821997.0,2718904,python,python,_Py_dict_lookup
46266703.0,2718904,python,python,_PyObject_Free
46119215.0,2718781,python,python,_PyObject_Free
46079150.0,2718770,python,python,_PyObject_Free
46074591.0,2718937,python,python,_Py_dict_lookup
45335492.0,2718915,python,python,_PyType_LookupStackRefAndVersion
44870895.0,2718826,python,python,unicodekeys_lookup_unicode
44388359.0,2718804,python,python,_PyObject_Free
44331268.0,2718893,python,python,initialize_locals
44293942.0,2718826,python,python,_PyFrame_ClearExceptCode
44258174.0,2718815,python,python,_Py_Dealloc
43942209.0,2718882,python,python,unicodekeys_lookup_unicode
43403594.0,2718781,python,python,_PyType_LookupStackRefAndVersion
43353467.0,2718962,python,python,_PyFrame_ClearExceptCode
43304417.0,2718948,python,python,_PyObject_Free
42431390.0,2718926,python,python,_PyType_LookupStackRefAndVersion
42418605.0,2718948,python,python,_Py_Dealloc
42398770.0,2718937,python,python,_PyObject_Free
42389723.0,2718860,python,python,_PyType_LookupStackRefAndVersion
42381277.0,2718781,python,python,_Py_Dealloc
42376205.0,2718915,python,python,_PyFrame_ClearExceptCode
42186719.0,2718792,python,python,unicodekeys_lookup_unicode
41891944.0,2718962,python,python,_PyType_LookupStackRefAndVersion
41423968.0,2718770,python,python,_PyType_LookupStackRefAndVersion
41421184.0,2718871,python,python,_PyObject_Free
41401649.0,2718882,python,python,_PyType_LookupStackRefAndVersion
41386106.0,2718804,python,python,_PyFrame_ClearExceptCode
41365259.0,2718770,python,python,_Py_Dealloc
41329132.0,2718792,python,python,initialize_locals
41304221.0,2718837,python,python,initialize_locals
41266572.0,2718948,python,python,_PyFrame_ClearExceptCode
41226528.0,2718926,python,python,_Py_Dealloc
41105259.0,2718756,python,python,_PyObject_Free
40649992.0,2718756,python,python,_PyType_LookupStackRefAndVersion
40451813.0,2718848,python,python,_PyType_LookupStackRefAndVersion
40451177.0,2718745,python,python,_Py_Dealloc
40391972.0,2718745,python,python,_PyFrame_ClearExceptCode
40380951.0,2718915,python,python,unicodekeys_lookup_unicode
40329274.0,2718926,python,python,_PyFrame_ClearExceptCode
39463941.0,2718962,python,python,_Py_Dealloc
39386206.0,2718937,python,python,_Py_Dealloc
39380717.0,2718860,python,python,_Py_Dealloc
39312247.0,2718837,python,python,_Py_Dealloc
39249786.0,2718871,python,python,_PyFrame_ClearExceptCode
38675759.0,2718837,python,python,_PyType_LookupStackRefAndVersion
38477795.0,2718904,python,python,_Py_Dealloc
38474272.0,2718882,python,python,_PyObject_Free
38414547.0,2718904,python,python,_PyType_LookupStackRefAndVersion
38411629.0,2718860,python,python,_PyObject_Free
38317030.0,2718837,python,python,unicodekeys_lookup_unicode
38235783.0,2718915,python,python,initialize_locals
37508472.0,2718962,python,python,initialize_locals
37471027.0,2718826,python,python,_PyType_LookupStackRefAndVersion
37408792.0,2718948,python,python,initialize_locals
37369274.0,2718893,python,python,_Py_Dealloc
37315891.0,2718882,python,python,_PyFrame_ClearExceptCode
37315384.0,2718937,python,python,_PyFrame_ClearExceptCode
37302152.0,2718770,python,python,initialize_locals
37217036.0,2718781,python,python,_PyFrame_ClearExceptCode
37157409.0,2718937,python,python,initialize_locals
36576356.0,2718804,python,python,unicodekeys_lookup_unicode
36521048.0,2718937,python,python,_PyType_LookupStackRefAndVersion
36505805.0,2718871,python,python,_PyType_LookupStackRefAndVersion
