self,pid,command,shared_obj,symbol
2119633606.0,1230723,python,python,_PyEval_EvalFrameDefault
1937565076.0,1230741,python,python,_PyEval_EvalFrameDefault
1937022608.0,1230800,python,python,_PyEval_EvalFrameDefault
1918134069.0,1230789,python,python,_PyEval_EvalFrameDefault
1882904771.0,1230763,python,python,_PyEval_EvalFrameDefault
1876513341.0,1230730,python,python,_PyEval_EvalFrameDefault
1855430431.0,1230752,python,python,_PyEval_EvalFrameDefault
707167176.0,1230723,python,python,visit_add_to_container
630526727.0,1230789,python,python,visit_add_to_container
623710741.0,1230752,python,python,visit_add_to_container
622283855.0,1230741,python,python,visit_add_to_container
614199326.0,1230800,python,python,visit_add_to_container
612159921.0,1230763,python,python,visit_add_to_container
609984102.0,1230730,python,python,visit_add_to_container
420194013.0,1230723,python,python,_PyObject_Malloc
382439215.0,1230741,python,python,_PyObject_Malloc
380106559.0,1230723,python,python,_PyGC_Collect
378785174.0,1230800,python,python,_PyObject_Malloc
378259483.0,1230752,python,python,_PyObject_Malloc
360661251.0,1230730,python,python,_PyObject_Malloc
352922331.0,1230763,python,python,_PyObject_Malloc
340861583.0,1230789,python,python,_PyObject_Malloc
332159456.0,1230800,python,python,_PyGC_Collect
332056770.0,1230730,python,python,_PyGC_Collect
331777008.0,1230741,python,python,_PyGC_Collect
326652497.0,1230763,python,python,_PyGC_Collect
323672977.0,1230789,python,python,_PyGC_Collect
317682445.0,1230752,python,python,_PyGC_Collect
269439922.0,1230763,python,python,initialize_locals
254968100.0,1230763,python,python,_PyObject_Free
249604067.0,1230723,python,python,initialize_locals
246016518.0,1230723,python,python,gc_collect_region
240139546.0,1230741,python,python,initialize_locals
235948625.0,1230730,python,python,initialize_locals
234076630.0,1230723,python,python,_PyFrame_ClearExceptCode
232720133.0,1230752,python,python,initialize_locals
230025451.0,1230741,python,python,_Py_Dealloc
227876657.0,1230789,python,python,_PyEval_EvalFrameDefault
222343301.0,1230800,python,python,_Py_Dealloc
220229956.0,1230730,python,python,_PyEval_EvalFrameDefault
220219939.0,1230800,python,python,_PyFrame_ClearExceptCode
219431492.0,1230723,python,python,_PyObject_Free
219410072.0,1230752,python,python,_PyFrame_ClearExceptCode
217489974.0,1230789,python,python,initialize_locals
216810600.0,1230763,python,python,_Py_Dealloc
216201618.0,1230763,python,python,_PyEval_EvalFrameDefault
216175082.0,1230800,python,python,initialize_locals
215129297.0,1230800,python,python,_PyEval_EvalFrameDefault
213143823.0,1230730,python,python,_Py_Dealloc
211001046.0,1230752,python,python,_PyObject_Free
207712534.0,1230752,python,python,_Py_Dealloc
207000130.0,1230730,python,python,_PyFrame_ClearExceptCode
205837802.0,1230752,python,python,gc_collect_region
204253117.0,1230789,python,python,_PyFrame_ClearExceptCode
203528929.0,1230800,python,python,_PyObject_Free
202406471.0,1230723,python,python,_PyType_LookupStackRefAndVersion
201523700.0,1230741,python,python,_PyEval_EvalFrameDefault
200417504.0,1230741,python,python,_PyObject_Free
200005106.0,1230789,python,python,_PyObject_Free
199901447.0,1230800,python,python,gc_collect_region
198638875.0,1230730,python,python,_PyObject_Free
194511912.0,1230723,python,python,_Py_Dealloc
193434023.0,1230789,python,python,gc_collect_region
192805073.0,1230763,python,python,gc_collect_region
190948059.0,1230730,python,python,gc_collect_region
189772151.0,1230763,python,python,_PyFrame_ClearExceptCode
185746610.0,1230800,python,python,PyObject_GC_UnTrack
185614047.0,1230741,python,python,_PyFrame_ClearExceptCode
183361284.0,1230789,python,python,_Py_Dealloc
180732223.0,1230741,python,python,gc_collect_region
179805096.0,1230723,python,python,PyObject_GC_UnTrack
177767761.0,1230730,python,python,PyObject_GC_UnTrack
169668381.0,1230741,python,python,PyObject_GC_UnTrack
162443320.0,1230763,python,python,PyObject_GC_UnTrack
162310830.0,1230752,python,python,PyObject_GC_UnTrack
154005865.0,1230730,python,python,_PyType_LookupStackRefAndVersion
153259852.0,1230789,python,python,PyObject_GC_UnTrack
149891163.0,1230752,python,python,_PyEvalFramePushAndInit
147102901.0,1230763,python,python,_PyType_LookupStackRefAndVersion
140486707.0,1230763,python,python,_PyEvalFramePushAndInit
140321450.0,1230789,python,python,_PyType_LookupStackRefAndVersion
135174899.0,1230723,python,python,_PyEvalFramePushAndInit
135126444.0,1230789,python,python,context_tp_dealloc
134701156.0,1230789,python,python,_PyEvalFramePushAndInit
131510521.0,1230723,python,python,context_tp_dealloc
130167860.0,1230800,python,python,_PyType_LookupStackRefAndVersion
128673781.0,1230723,python,python,mark_all_reachable
128213272.0,1230752,python,python,_PyType_LookupStackRefAndVersion
125563257.0,1230730,python,python,mark_all_reachable
124595826.0,1230789,python,python,mark_all_reachable
124594776.0,1230763,python,python,context_tp_dealloc
124478700.0,1230752,python,python,mark_all_reachable
123292610.0,1230800,python,python,_PyEvalFramePushAndInit
123093705.0,1230763,python,python,mark_all_reachable
122453997.0,1230752,python,python,_PyEval_FrameClearAndPop
121752293.0,1230800,python,python,mark_all_reachable
121670721.0,1230741,python,python,context_tp_dealloc
120936273.0,1230723,python,python,_PyEval_FrameClearAndPop
119322140.0,1230741,python,python,_PyEval_FrameClearAndPop
119209099.0,1230752,python,python,context_tp_dealloc
118447006.0,1230800,python,python,_PyEval_FrameClearAndPop
117785047.0,1230741,python,python,mark_all_reachable
117508981.0,1230730,python,python,_PyEval_Vector
116651213.0,1230730,python,python,context_tp_dealloc
114243920.0,1230741,python,python,_PyType_LookupStackRefAndVersion
114193343.0,1230741,python,python,_PyEvalFramePushAndInit
113531401.0,1230730,python,python,_PyEval_FrameClearAndPop
113511737.0,1230730,python,python,_PyEvalFramePushAndInit
111273414.0,1230789,python,python,subtype_dealloc
109272314.0,1230789,python,python,_PyEval_Vector
108814359.0,1230800,python,python,context_tp_dealloc
107017865.0,1230763,python,python,_PyEval_FrameClearAndPop
105819073.0,1230723,python,python,visit_reachable
104839926.0,1230800,python,python,subtype_dealloc
103811375.0,1230789,python,python,_PyEval_FrameClearAndPop
100370082.0,1230763,python,python,_PyEval_Vector
99733893.0,1230800,python,python,_PyEval_Vector
97445351.0,1230752,python,python,PyObject_RichCompareBool
95782647.0,1230723,python,python,_PyEval_Vector
94767434.0,1230723,python,python,subtype_dealloc
92060407.0,1230763,python,python,visit_reachable
91861804.0,1230741,python,python,_PyEval_Vector
91120867.0,1230789,python,python,visit_add_to_container
88733391.0,1230763,python,python,subtype_dealloc
88136900.0,1230741,python,python,visit_add_to_container
87997065.0,1230741,python,python,subtype_dealloc
86156870.0,1230752,python,python,visit_reachable
85979818.0,1230730,python,python,subtype_dealloc
85775741.0,1230752,python,python,subtype_dealloc
85752709.0,1230752,python,python,_PyEval_Vector
84708212.0,1230741,python,python,unicodekeys_lookup_unicode
83218641.0,1230800,python,python,visit_reachable
83190603.0,1230730,python,python,visit_reachable
83029388.0,1230763,python,python,visit_add_to_container
82927915.0,1230741,python,python,PyObject_RichCompareBool
82515017.0,1230730,python,python,visit_add_to_container
81865637.0,1230752,python,python,_PyObject_GenericGetAttrWithDict
79977140.0,1230800,python,python,gen_dealloc
79123927.0,1230723,python,python,_PyObject_GenericGetAttrWithDict
78103265.0,1230741,python,python,visit_reachable
77744861.0,1230789,python,python,visit_reachable
77588621.0,1230763,python,python,unicodekeys_lookup_unicode
75856286.0,1230800,python,python,visit_add_to_container
74660588.0,1230789,python,python,_PyObject_GenericGetAttrWithDict
74067076.0,1230723,python,python,gen_dealloc
72011413.0,1230752,python,python,gen_dealloc
71891498.0,1230763,python,python,gen_dealloc
70912996.0,1230723,python,python,visit_decref
69733545.0,1230763,python,python,_PyObject_GenericGetAttrWithDict
69229614.0,1230741,python,python,tuple_dealloc
69181239.0,1230730,python,python,gen_dealloc
69081532.0,1230741,python,python,_PyObject_GetMethodStackRef
66048195.0,1230741,python,python,gen_dealloc
65945508.0,1230763,python,python,_Py_BuiltinCallFast_StackRefSteal
64985027.0,1230789,python,python,gen_dealloc
64074277.0,1230741,python,python,_PyObject_GenericGetAttrWithDict
62836696.0,1230800,python,python,_PyObject_GenericGetAttrWithDict
62308512.0,1230730,python,python,visit_decref
62277134.0,1230723,python,python,subtype_traverse
62213922.0,1230723,python,python,_PyTuple_FromStackRefStealOnSuccess
62173629.0,1230723,python,python,_PyObject_Realloc
61307668.0,1230800,python,python,visit_decref
61263263.0,1230800,python,python,unicodekeys_lookup_unicode
61181933.0,1230752,python,python,_Py_VectorCall_StackRefSteal
61133408.0,1230752,python,python,unicodekeys_lookup_unicode
60265810.0,1230730,python,python,PyObject_Call
60136336.0,1230730,python,python,_PyObject_GetMethodStackRef
60042814.0,1230800,python,python,tuple_alloc
60022470.0,1230752,python,python,insert_to_emptydict
59354045.0,1230730,python,python,_PyObject_GenericGetAttrWithDict
59298104.0,1230723,python,python,PyObject_RichCompareBool
59256701.0,1230723,python,python,tuple_dealloc
59098146.0,1230789,python,python,visit_decref
58973239.0,1230789,python,python,PyObject_RichCompareBool
58951253.0,1230763,python,python,_PyObject_GetMethodStackRef
58884939.0,1230763,python,python,PyObject_RichCompareBool
58299356.0,1230800,python,python,tuple_dealloc
57137912.0,1230730,python,python,_Py_dict_lookup
57099556.0,1230789,python,python,unicodekeys_lookup_unicode
57060444.0,1230730,python,python,tuple_dealloc
56976210.0,1230789,python,python,_PyObject_Calloc
56855030.0,1230789,python,python,_Py_VectorCall_StackRefSteal
56796575.0,1230789,python,python,_Py_dict_lookup
56176844.0,1230752,python,python,_PyObject_GetMethodStackRef
56123457.0,1230723,python,python,_PyObject_GC_New
55869833.0,1230730,python,python,PyObject_RichCompareBool
55372621.0,1230741,python,python,visit_decref
55312962.0,1230723,python,python,_Py_dict_lookup
55301959.0,1230752,python,python,_Py_dict_lookup
55288307.0,1230741,python,python,_PyThreadState_PopFrame
55278512.0,1230741,python,python,PyCMethod_New
55210893.0,1230800,python,python,_PyObject_GetMethodStackRef
55025830.0,1230789,python,python,_PyObject_GetMethodStackRef
54376144.0,1230723,python,python,_PyArg_UnpackKeywords
54336079.0,1230723,python,python,_PyObject_GetAttrStackRef
54256999.0,1230723,python,python,PyUnicode_RichCompare
54165140.0,1230789,python,python,tuple_alloc
54163452.0,1230723,python,python,_PyObject_GetMethodStackRef
54147405.0,1230800,python,python,_Py_VectorCall_StackRefSteal
53331608.0,1230723,python,python,tuple_alloc
53181879.0,1230763,python,python,tuple_alloc
53165297.0,1230752,python,python,_PyObject_Calloc
53127408.0,1230800,python,python,PyObject_RichCompareBool
53071464.0,1230789,python,python,tuple_dealloc
52442375.0,1230752,python,python,subtype_traverse
52405069.0,1230730,python,python,_PyObject_Calloc
52346515.0,1230723,python,python,_PyType_AllocNoTrack
52285921.0,1230752,python,python,_PyTuple_FromStackRefStealOnSuccess
52223512.0,1230763,python,python,_PyObject_Realloc
52199497.0,1230752,python,python,_PyObject_GC_New
52161366.0,1230800,python,python,_PyObject_GC_New
52082290.0,1230730,python,python,unicodekeys_lookup_unicode
51993113.0,1230789,python,python,_PyArg_UnpackKeywords
51960852.0,1230763,python,python,PyObject_Call
51813394.0,1230789,python,python,_Py_BuiltinCallFast_StackRefSteal
51496339.0,1230752,python,python,visit_decref
51468900.0,1230730,python,python,_PyObject_Realloc
51460628.0,1230730,python,python,gc_collect_region
51388034.0,1230763,python,python,gc_collect_region
51356464.0,1230763,python,python,visit_decref
51337510.0,1230723,python,python,_PyThreadState_PopFrame
51310658.0,1230752,python,python,tuple_dealloc
51125635.0,1230723,python,[unknown],0xffffffffab6011d3
51049178.0,1230789,python,python,insert_to_emptydict
50979591.0,1230763,python,python,_Py_dict_lookup
50929573.0,1230763,python,python,_PyGC_Collect
50429241.0,1230741,python,python,_PyObject_GetAttrStackRef
50368367.0,1230741,python,python,_Py_VectorCall_StackRefSteal
50334169.0,1230763,python,python,tuple_dealloc
50283768.0,1230723,python,python,insert_to_emptydict
50283670.0,1230789,python,python,gc_collect_region
50265752.0,1230789,python,python,_PyObject_Realloc
50257785.0,1230763,python,python,_PyObject_Calloc
50039685.0,1230763,python,python,_Py_VectorCall_StackRefSteal
49956479.0,1230763,python,python,_PyArg_UnpackKeywords
49857740.0,1230789,python,python,_PyThreadState_PopFrame
49454767.0,1230723,python,python,_Py_VectorCall_StackRefSteal
49405814.0,1230730,python,python,PyIter_Send
49346096.0,1230741,python,python,_PyObject_Realloc
49198167.0,1230752,python,python,_PyThreadState_PopFrame
49008511.0,1230800,python,python,insert_to_emptydict
48489451.0,1230741,python,python,gc_collect_region
48473209.0,1230730,python,python,subtype_traverse
48338214.0,1230800,python,python,_Py_dict_lookup
47972243.0,1230789,python,python,PyUnicode_RichCompare
47797843.0,1230789,python,python,_PyTuple_FromStackRefStealOnSuccess
47594611.0,1230800,python,python,_PyGC_Collect
47574978.0,1230741,python,python,_PyGC_Collect
47448401.0,1230800,python,python,gc_collect_region
47414842.0,1230723,python,python,PyIter_Send
47407472.0,1230800,python,python,PyCMethod_New
47271066.0,1230730,python,python,_PyArg_UnpackKeywords
47123939.0,1230763,python,python,_PyObject_GC_New
46420243.0,1230800,python,python,list_dealloc
46419608.0,1230741,python,python,_PyObject_Calloc
46406131.0,1230763,python,python,TaskObj_clear
46397362.0,1230730,python,[unknown],0xffffffffab3cfc07
46396038.0,1230752,python,python,_Py_NewReference
46331461.0,1230789,python,python,PyCMethod_New
46328907.0,1230741,python,python,_PyArg_UnpackKeywords
46268396.0,1230730,python,python,_PyType_AllocNoTrack
46230723.0,1230789,python,python,_PyGC_Collect
46186596.0,1230741,python,python,_PyObject_GC_New
46158666.0,1230789,python,python,_PyObject_GC_New
45975355.0,1230730,python,python,_PyObject_Malloc
45524232.0,1230730,python,python,_PyGC_Collect
45500200.0,1230741,python,python,_Py_dict_lookup
45442518.0,1230730,python,python,list_dealloc
45401847.0,1230752,python,python,_PyObject_GetAttrStackRef
45360389.0,1230752,python,python,_PyArg_UnpackKeywords
45336961.0,1230741,python,python,_PyObject_Malloc
45317187.0,1230752,python,python,PyIter_Send
45284913.0,1230789,python,python,_PyObject_Malloc
45282991.0,1230741,python,python,insert_to_emptydict
45120504.0,1230789,python,python,subtype_traverse
44523072.0,1230730,python,python,_PyObject_GC_New
44445250.0,1230723,python,python,_Py_NewReference
44444812.0,1230723,python,python,_Py_BuiltinCallFast_StackRefSteal
43515030.0,1230723,python,python,_PyMember_GetOffset
43487506.0,1230730,python,python,_PyThreadState_PopFrame
43485423.0,1230752,python,[unknown],0xffffffffab3cfc07
43431542.0,1230730,python,python,_Py_BuiltinCallFast_StackRefSteal
43413658.0,1230741,python,python,_Py_BuiltinCallFast_StackRefSteal
43405689.0,1230800,python,[unknown],0xffffffffab3cfc07
43320711.0,1230752,python,python,PyCMethod_New
43289755.0,1230763,python,python,PyIter_Send
43192173.0,1230763,python,python,PyObject_VectorcallMethod
43190524.0,1230730,python,python,_asyncio_Task___init__
43104025.0,1230763,python,python,_PyThreadState_PopFrame
42997161.0,1230763,python,python,PyDict_GetItemRef
42491583.0,1230723,python,python,TaskObj_traverse
42483356.0,1230752,python,python,_PyObject_Realloc
42476866.0,1230723,python,python,_PyObject_Calloc
42434123.0,1230730,python,python,PyCMethod_New
42428484.0,1230763,python,python,PyCMethod_New
42417316.0,1230800,python,python,_PyObject_Realloc
42328087.0,1230800,python,python,_Py_BuiltinCallFast_StackRefSteal
41557435.0,1230741,python,python,subtype_traverse
41547570.0,1230730,python,python,_Py_VectorCall_StackRefSteal
41304070.0,1230730,python,python,tuple_alloc
41277467.0,1230763,python,python,insert_to_emptydict
41119896.0,1230789,python,python,_PyObject_GetAttrStackRef
40500256.0,1230800,python,python,PyIter_Send
40488522.0,1230800,python,python,_PyType_AllocNoTrack
40473735.0,1230800,python,python,_PyObject_GetAttrStackRef
40460621.0,1230752,python,python,PyObject_VectorcallMethod
40436370.0,1230800,python,python,_Py_NewReference
40233049.0,1230763,python,python,_PyThreadState_PushFrame
39580828.0,1230730,python,python,_PyObject_GetAttrStackRef
39529109.0,1230763,python,python,_PyObject_Malloc
39505853.0,1230741,python,python,list_dealloc
39469980.0,1230741,python,python,TaskObj_clear
39458281.0,1230752,python,python,_PyType_AllocNoTrack
39401572.0,1230741,python,[unknown],0xffffffffab6011d3
39355686.0,1230730,python,python,PyTuple_FromArray
39311568.0,1230723,python,python,unicodekeys_lookup_unicode
39233259.0,1230763,python,python,_asyncio_Task___init__
39098070.0,1230789,python,python,_Py_NewReference
38480419.0,1230741,python,python,_PyTuple_FromStackRefStealOnSuccess
38478367.0,1230730,python,[unknown],0xffffffffab6011d3
38460455.0,1230741,python,python,_PyType_AllocNoTrack
38326099.0,1230789,python,python,_asyncio_Task___init__
38318303.0,1230752,python,python,PyUnicode_RichCompare
38259534.0,1230763,python,python,PyTuple_FromArray
38168785.0,1230789,python,python,PyIter_Send
37898883.0,1230763,python,python,_Py_type_getattro_impl
37581112.0,1230741,python,python,PyUnicode_RichCompare
37572514.0,1230800,python,python,_PyObject_Malloc
37540773.0,1230800,python,python,_PyType_GetDict
37532497.0,1230800,python,python,PyLong_FromLong
37516910.0,1230741,python,python,_PyThreadState_PushFrame
37513821.0,1230800,python,python,TaskStepMethWrapper_call
37460595.0,1230730,python,python,PyUnicode_RichCompare
37453406.0,1230752,python,python,task_step_impl
37433761.0,1230730,python,python,insert_to_emptydict
37425083.0,1230789,python,python,TaskObj_traverse
37373576.0,1230789,python,[unknown],0xffffffffab6011d3
37369551.0,1230763,python,python,_PyObject_GetAttrStackRef
37259351.0,1230741,python,python,_asyncio_Task___init__
36657851.0,1230741,python,python,TaskObj_traverse
36627491.0,1230730,python,python,TaskObj_traverse
36619629.0,1230723,python,python,PyList_New
36612757.0,1230723,python,python,TaskStepMethWrapper_call
36545522.0,1230723,python,python,TaskObj_clear
36501719.0,1230800,python,python,PyObject_Call
36493851.0,1230800,python,python,PyObject_VectorcallMethod
36485617.0,1230800,python,python,task_step_impl
36461670.0,1230763,python,python,subtype_traverse
36407969.0,1230741,python,python,TaskStepMethWrapper_call
36406743.0,1230730,python,python,_PyTuple_FromStackRefStealOnSuccess
36393075.0,1230789,python,python,_PyThreadState_PushFrame
35583569.0,1230730,python,python,TaskStepMethWrapper_call
35570001.0,1230741,python,[unknown],0xffffffffab3cfc07
35552549.0,1230723,python,python,PyCMethod_New
35550798.0,1230752,python,python,PyContext_CopyCurrent
35538882.0,1230730,python,python,_Py_NewReference
35515713.0,1230730,python,python,_PyType_GetDict
35506516.0,1230741,python,python,PyObject_VectorcallMethod
35499951.0,1230752,python,python,_Py_BuiltinCallFast_StackRefSteal
35497599.0,1230763,python,[JIT],0x000074b091eeb763
35491298.0,1230800,python,[unknown],0xffffffffab6011d3
35485016.0,1230800,python,python,_PyArg_UnpackKeywords
35479060.0,1230800,python,python,_PyTuple_FromStackRefStealOnSuccess
35473477.0,1230741,python,python,PyIter_Send
35465065.0,1230723,python,python,_PyThreadState_PushFrame
35434029.0,1230800,python,python,PyUnicode_RichCompare
35327010.0,1230763,python,[unknown],0xffffffffab6011d3
35298967.0,1230789,python,python,_PyType_AllocNoTrack
35290745.0,1230789,python,python,TaskObj_clear
35280945.0,1230723,python,[unknown],0xffffffffab3cfc07
