self,pid,command,shared_obj,symbol
6507441513.0,970775,python,python,k_mul
6197187247.0,970795,python,python,k_mul
6089716921.0,970828,python,python,k_mul
6016470709.0,970854,python,python,k_mul
6008053638.0,970806,python,python,k_mul
5963792264.0,970817,python,python,k_mul
5926254278.0,970842,python,python,k_mul
1343225927.0,970775,python,python,_PyEval_EvalFrameDefault
1215237341.0,970828,python,python,_PyEval_EvalFrameDefault
1203128695.0,970854,python,python,_PyEval_EvalFrameDefault
1170937731.0,970806,python,python,_PyEval_EvalFrameDefault
1136605982.0,970817,python,python,_PyEval_EvalFrameDefault
1134032255.0,970795,python,python,_PyEval_EvalFrameDefault
1114511028.0,970842,python,python,_PyEval_EvalFrameDefault
1086117488.0,970775,python,python,_PyObject_Malloc
978915732.0,970828,python,python,_PyObject_Malloc
966120029.0,970817,python,python,_PyObject_Malloc
958966625.0,970795,python,python,_PyObject_Malloc
942890519.0,970842,python,python,_PyObject_Malloc
937071672.0,970854,python,python,_PyObject_Malloc
936976525.0,970806,python,python,_PyObject_Malloc
786879658.0,970854,python,python,PyErr_CheckSignals
759947078.0,970775,python,python,visit_add_to_container
758189581.0,970795,python,python,_PyObject_Free
749636889.0,970817,python,python,_PyObject_Free
703436120.0,970828,python,python,_PyObject_Free
703427687.0,970775,python,python,_PyObject_Free
702354445.0,970854,python,python,visit_add_to_container
699651191.0,970854,python,python,_PyObject_Free
693146432.0,970806,python,python,visit_add_to_container
693074714.0,970828,python,python,visit_add_to_container
690250396.0,970842,python,python,_PyObject_Free
689867677.0,970842,python,python,visit_add_to_container
683742597.0,970795,python,python,PyErr_CheckSignals
679440075.0,970817,python,python,visit_add_to_container
668731432.0,970775,python,python,PyErr_CheckSignals
665509109.0,970795,python,python,visit_add_to_container
664648734.0,970842,python,python,PyErr_CheckSignals
646925595.0,970806,python,python,_PyObject_Free
640964708.0,970817,python,python,PyErr_CheckSignals
635098833.0,970806,python,python,PyErr_CheckSignals
625920154.0,970795,python,python,k_mul
619447587.0,970775,python,python,_Py_Dealloc
617412059.0,970828,python,python,PyErr_CheckSignals
614919431.0,970806,python,python,k_mul
597179630.0,970828,python,python,k_mul
593771800.0,970842,python,python,k_mul
590034804.0,970775,python,python,_PyErr_CheckSignalsTstate
588409326.0,970854,python,python,k_mul
574896362.0,970842,python,python,_Py_Dealloc
573702203.0,970806,python,python,_Py_Dealloc
561092332.0,970795,python,python,_Py_Dealloc
543658591.0,970854,python,python,_Py_Dealloc
541189303.0,970842,python,python,_PyErr_CheckSignalsTstate
532492285.0,970795,python,python,_PyErr_CheckSignalsTstate
530231455.0,970828,python,python,_Py_Dealloc
510423692.0,970817,python,python,_PyErr_CheckSignalsTstate
510384393.0,970817,python,python,_Py_Dealloc
473146135.0,970828,python,python,_PyErr_CheckSignalsTstate
466769170.0,970806,python,python,_PyErr_CheckSignalsTstate
462710471.0,970775,python,python,_PyGC_Collect
452362549.0,970854,python,python,_PyErr_CheckSignalsTstate
427641419.0,970817,python,python,_PyGC_Collect
420155379.0,970842,python,python,_PyGC_Collect
419735239.0,970806,python,python,_PyGC_Collect
418724568.0,970828,python,python,_PyGC_Collect
407147734.0,970854,python,python,_PyGC_Collect
405689430.0,970795,python,python,_PyGC_Collect
376769429.0,970828,python,python,_PyRunRemoteDebugger
344539118.0,970854,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
343285638.0,970842,python,python,_PyRunRemoteDebugger
342326279.0,970775,python,python,_PyRunRemoteDebugger
341381034.0,970817,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
329383870.0,970806,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
327448698.0,970817,python,python,_PyRunRemoteDebugger
326660344.0,970854,python,python,_PyRunRemoteDebugger
326463717.0,970842,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
324713463.0,970775,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
323547199.0,970795,python,python,_PyRunRemoteDebugger
321598943.0,970806,python,python,_PyRunRemoteDebugger
313711303.0,970795,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
295480548.0,970775,python,python,initialize_locals
291977574.0,970828,python,_math_integer.cpython-315-x86_64-linux-gnu.so,factorial_partial_product
285222157.0,970775,python,python,gc_collect_region
284690744.0,970828,python,python,initialize_locals
279827649.0,970795,python,python,initialize_locals
274840832.0,970817,python,python,initialize_locals
274750222.0,970775,python,python,_Py_IsMainThread
271064829.0,970817,python,python,_Py_IsMainThread
270859356.0,970806,python,python,initialize_locals
267323401.0,970854,python,python,initialize_locals
267125248.0,970817,python,python,_PyFrame_ClearExceptCode
262627953.0,970795,python,python,_PyFrame_ClearExceptCode
259038897.0,970775,python,python,_PyFrame_ClearExceptCode
258311340.0,970775,python,python,PyObject_GC_UnTrack
251033753.0,970775,python,python,PyThread_get_thread_ident
248337492.0,970806,python,python,_PyFrame_ClearExceptCode
248236349.0,970795,python,python,PyObject_GC_UnTrack
247376595.0,970828,python,python,gc_collect_region
243550516.0,970806,python,python,gc_collect_region
243235633.0,970854,python,python,gc_collect_region
243146539.0,970842,python,python,initialize_locals
242942095.0,970842,python,python,gc_collect_region
241483277.0,970854,python,python,_PyFrame_ClearExceptCode
239539487.0,970828,python,python,_Py_IsMainThread
239350106.0,970817,python,python,gc_collect_region
238433717.0,970854,python,libc.so.6,__memset_avx2_unaligned_erms
237280402.0,970842,python,python,PyObject_GC_UnTrack
237152204.0,970795,python,python,gc_collect_region
234962815.0,970828,python,python,_PyFrame_ClearExceptCode
234418664.0,970842,python,python,_Py_IsMainThread
234367262.0,970842,python,python,_PyFrame_ClearExceptCode
229549866.0,970795,python,python,_Py_IsMainThread
226334078.0,970817,python,python,PyObject_GC_UnTrack
222528155.0,970842,python,libc.so.6,__memset_avx2_unaligned_erms
221668896.0,970806,python,python,_Py_IsMainThread
221379744.0,970806,python,libc.so.6,__memset_avx2_unaligned_erms
219500526.0,970828,python,python,PyObject_GC_UnTrack
218833531.0,970854,python,python,PyThread_get_thread_ident
214789832.0,970795,python,libc.so.6,__memset_avx2_unaligned_erms
210661743.0,970828,python,libc.so.6,__memset_avx2_unaligned_erms
209850665.0,970795,python,python,PyThread_get_thread_ident
208722864.0,970842,python,python,PyThread_get_thread_ident
208499165.0,970775,python,libc.so.6,__memset_avx2_unaligned_erms
206636479.0,970854,python,python,PyObject_GC_UnTrack
205828301.0,970806,python,python,PyObject_GC_UnTrack
202818473.0,970817,python,python,PyThread_get_thread_ident
193920960.0,970806,python,python,PyThread_get_thread_ident
192965543.0,970817,python,libc.so.6,__memset_avx2_unaligned_erms
192751481.0,970775,python,python,_PyType_LookupStackRefAndVersion
192299144.0,970828,python,python,_PyType_LookupStackRefAndVersion
187766325.0,970806,python,python,_PyType_LookupStackRefAndVersion
179095519.0,970828,python,python,_PyEval_EvalFrameDefault
178418789.0,970842,python,python,_PyEval_EvalFrameDefault
178090499.0,970828,python,python,PyThread_get_thread_ident
177754353.0,970842,python,python,_PyType_LookupStackRefAndVersion
174300759.0,970854,python,python,_Py_IsMainThread
172261941.0,970842,python,python,context_tp_dealloc
170770597.0,970854,python,python,_PyType_LookupStackRefAndVersion
169852791.0,970854,python,python,_PyEvalFramePushAndInit
168126804.0,970806,python,python,context_tp_dealloc
166221720.0,970795,python,python,_PyEval_Vector
166132326.0,970854,python,python,_PyEval_EvalFrameDefault
165405040.0,970775,python,python,mark_all_reachable
163435610.0,970828,python,python,context_tp_dealloc
161308000.0,970775,python,python,_PyEval_Vector
160305031.0,970817,python,python,context_tp_dealloc
160266969.0,970775,python,python,context_tp_dealloc
159830189.0,970795,python,python,_PyEval_EvalFrameDefault
159380243.0,970817,python,libc.so.6,__GI___pthread_self
159372035.0,970795,python,libc.so.6,__GI___pthread_self
159252224.0,970817,python,python,_PyType_LookupStackRefAndVersion
159091717.0,970775,python,python,_PyEvalFramePushAndInit
158483228.0,970795,python,python,context_tp_dealloc
154290981.0,970817,python,python,PyLong_FromUnsignedLong
153101490.0,970775,python,python,visit_reachable
151570767.0,970817,python,python,mark_all_reachable
150837366.0,970775,python,libc.so.6,__GI___pthread_self
149366070.0,970842,python,python,_PyEval_Vector
149043008.0,970854,python,python,context_tp_dealloc
148957669.0,970795,python,python,_PyEvalFramePushAndInit
148322765.0,970806,python,python,_PyEval_EvalFrameDefault
147452180.0,970806,python,libc.so.6,__GI___pthread_self
145434135.0,970775,python,python,PyNumber_Multiply
145206080.0,970854,python,python,_PyEval_Vector
144280190.0,970806,python,python,_PyEval_Vector
142424128.0,970828,python,libc.so.6,__GI___pthread_self
142400178.0,970842,python,libc.so.6,__GI___pthread_self
142059156.0,970775,python,python,_PyEval_FrameClearAndPop
141431542.0,970817,python,python,PyNumber_Multiply
140526754.0,970795,python,python,mark_all_reachable
139726822.0,970806,python,python,mark_all_reachable
139552181.0,970806,python,python,_PyEvalFramePushAndInit
138339324.0,970795,python,python,_PyType_LookupStackRefAndVersion
137506986.0,970817,python,python,_PyEval_FrameClearAndPop
137503355.0,970806,python,python,PyLong_FromUnsignedLong
137267810.0,970842,python,python,_PyEvalFramePushAndInit
135591281.0,970817,python,python,_PyEval_Vector
135453556.0,970775,python,python,long_alloc
134187668.0,970775,python,python,PyLong_FromUnsignedLong
133664020.0,970828,python,python,mark_all_reachable
132661117.0,970795,python,python,PyLong_FromUnsignedLong
131675107.0,970828,python,python,_PyEval_Vector
130633157.0,970842,python,python,mark_all_reachable
128660456.0,970806,python,python,visit_reachable
128659379.0,970828,python,python,PyLong_FromUnsignedLong
128536843.0,970775,python,python,long_lshift1
127511919.0,970854,python,python,_PyEval_FrameClearAndPop
126761839.0,970795,python,python,long_alloc
126688420.0,970795,python,python,visit_reachable
126547963.0,970842,python,python,long_alloc
126540453.0,970854,python,python,mark_all_reachable
125674168.0,970854,python,python,visit_reachable
