self,pid,command,shared_obj,symbol
1388072534.0,2880762,python,python,_PyEval_EvalFrameDefault
1036571608.0,2880971,python,python,_PyEval_EvalFrameDefault
1032121417.0,2880860,python,python,_PyEval_EvalFrameDefault
1032036218.0,2880814,python,python,_PyEval_EvalFrameDefault
1025951710.0,2880938,python,python,_PyEval_EvalFrameDefault
1024871515.0,2880995,python,python,_PyEval_EvalFrameDefault
1022969756.0,2880916,python,python,_PyEval_EvalFrameDefault
1020966771.0,2880825,python,python,_PyEval_EvalFrameDefault
1018408597.0,2880769,python,python,_PyEval_EvalFrameDefault
1012280783.0,2880949,python,python,_PyEval_EvalFrameDefault
1000078109.0,2880983,python,python,_PyEval_EvalFrameDefault
990599486.0,2880960,python,python,_PyEval_EvalFrameDefault
989350674.0,2880905,python,python,_PyEval_EvalFrameDefault
985697271.0,2880927,python,python,_PyEval_EvalFrameDefault
980833318.0,2880803,python,python,_PyEval_EvalFrameDefault
980651388.0,2880894,python,python,_PyEval_EvalFrameDefault
980116070.0,2880883,python,python,_PyEval_EvalFrameDefault
967534539.0,2880849,python,python,_PyEval_EvalFrameDefault
963583392.0,2880792,python,python,_PyEval_EvalFrameDefault
959174006.0,2880872,python,python,_PyEval_EvalFrameDefault
925202945.0,2880781,python,python,_PyEval_EvalFrameDefault
386598144.0,2880803,python,python,_PyEval_EvalFrameDefault
378401191.0,2880916,python,python,_PyEval_EvalFrameDefault
377156482.0,2880781,python,python,_PyEval_EvalFrameDefault
369131654.0,2880927,python,python,_PyEval_EvalFrameDefault
368378163.0,2880769,python,python,_PyEval_EvalFrameDefault
365910390.0,2880949,python,python,_PyEval_EvalFrameDefault
364348818.0,2880894,python,python,_PyEval_EvalFrameDefault
364159584.0,2880905,python,python,_PyEval_EvalFrameDefault
360813964.0,2880995,python,python,_PyEval_EvalFrameDefault
358313503.0,2880983,python,python,_PyEval_EvalFrameDefault
353599952.0,2880814,python,python,_PyEval_EvalFrameDefault
350281732.0,2880860,python,python,_PyEval_EvalFrameDefault
339984927.0,2880849,python,python,_PyEval_EvalFrameDefault
339778072.0,2880960,python,python,_PyEval_EvalFrameDefault
336720980.0,2880825,python,python,_PyEval_EvalFrameDefault
333636378.0,2880971,python,python,_PyEval_EvalFrameDefault
331979513.0,2880938,python,python,_PyEval_EvalFrameDefault
330696969.0,2880792,python,python,_PyEval_EvalFrameDefault
314980464.0,2880872,python,python,_PyEval_EvalFrameDefault
271823567.0,2880762,python,python,_PyGC_Collect
228555787.0,2880762,python,python,gc_collect_region
215627362.0,2880983,python,python,_PyGC_Collect
215393762.0,2880872,python,python,_PyGC_Collect
214775048.0,2880938,python,python,_PyGC_Collect
212674131.0,2880803,python,python,_PyGC_Collect
212476576.0,2880894,python,python,_PyGC_Collect
211546565.0,2880792,python,python,_PyGC_Collect
211317508.0,2880825,python,python,_PyGC_Collect
210375949.0,2880814,python,python,_PyGC_Collect
210370766.0,2880927,python,python,_PyGC_Collect
209655729.0,2880860,python,python,_PyGC_Collect
208948574.0,2880905,python,python,_PyGC_Collect
207988703.0,2880960,python,python,_PyGC_Collect
207957014.0,2880883,python,python,_PyGC_Collect
207054164.0,2880916,python,python,_PyGC_Collect
206960168.0,2880781,python,python,_PyGC_Collect
206798163.0,2880849,python,python,_PyGC_Collect
203958551.0,2880995,python,python,_PyGC_Collect
197952944.0,2880971,python,python,_PyGC_Collect
195991757.0,2880762,python,python,visit_add_to_container
195702336.0,2880769,python,python,_PyGC_Collect
194097525.0,2880803,python,python,gc_collect_region
190894867.0,2880949,python,python,_PyGC_Collect
189166774.0,2880883,python,python,gc_collect_region
181366605.0,2880825,python,python,gc_collect_region
181191536.0,2880792,python,python,gc_collect_region
181073100.0,2880960,python,python,gc_collect_region
180038853.0,2880983,python,python,gc_collect_region
178947634.0,2880781,python,python,gc_collect_region
177249431.0,2880814,python,python,gc_collect_region
175404729.0,2880905,python,python,gc_collect_region
175310086.0,2880916,python,python,gc_collect_region
175212813.0,2880995,python,python,gc_collect_region
175003562.0,2880927,python,python,gc_collect_region
171021811.0,2880949,python,python,gc_collect_region
170325782.0,2880938,python,python,gc_collect_region
170158051.0,2880849,python,python,gc_collect_region
170070633.0,2880894,python,python,gc_collect_region
167439317.0,2880971,python,python,gc_collect_region
166281329.0,2880872,python,python,gc_collect_region
166206645.0,2880860,python,python,gc_collect_region
164819846.0,2880762,python,python,_PyObject_Malloc
163096985.0,2880938,python,python,visit_add_to_container
162004272.0,2880883,python,python,visit_add_to_container
159382976.0,2880860,python,python,visit_add_to_container
159330071.0,2880792,python,python,visit_add_to_container
158251536.0,2880769,python,python,gc_collect_region
