self,pid,command,shared_obj,symbol
1104710378.0,22718,python,python,_PyEval_EvalFrameDefault
966783612.0,22747,python,python,_PyEval_EvalFrameDefault
957020924.0,22780,python,python,_PyEval_EvalFrameDefault
913228111.0,22758,python,python,_PyEval_EvalFrameDefault
892134759.0,22769,python,python,_PyEval_EvalFrameDefault
865570771.0,22736,python,python,_PyEval_EvalFrameDefault
372768154.0,22718,python,python,_PyObject_Malloc
270553742.0,22780,python,python,_PyObject_Malloc
255458501.0,22758,python,python,_PyObject_Malloc
246188078.0,22736,python,python,_PyObject_Malloc
243380760.0,22747,python,python,_PyObject_Malloc
224056142.0,22769,python,python,_PyObject_Malloc
196929507.0,22769,python,python,unicode_from_format
193797878.0,22718,python,python,unicode_from_format
184836041.0,22780,python,python,unicode_from_format
170945640.0,22747,python,python,unicode_from_format
169727264.0,22736,python,python,unicode_from_format
169226839.0,22758,python,python,unicode_from_format
163155270.0,22718,python,python,_PyUnicode_ResizeCompact
143337886.0,22747,python,python,_PyFrame_ClearExceptCode
141435851.0,22758,python,python,_PyUnicode_ResizeCompact
138562975.0,22780,python,python,_PyUnicode_ResizeCompact
136513122.0,22769,python,python,_PyObject_Free
136503063.0,22769,python,python,_PyUnicode_ResizeCompact
131513428.0,22747,python,python,_PyUnicode_ResizeCompact
131440665.0,22718,python,python,_PyFrame_ClearExceptCode
131252531.0,22736,python,python,_PyEval_EvalFrameDefault
129149792.0,22736,python,python,_PyUnicode_ResizeCompact
128576138.0,22718,python,python,unicodekeys_lookup_unicode
120894847.0,22769,python,python,_PyEval_EvalFrameDefault
118613681.0,22718,python,python,_PyObject_Free
114654281.0,22736,python,python,_PyObject_Free
111995059.0,22780,python,python,_PyEval_EvalFrameDefault
108674841.0,22758,python,python,_PyFrame_ClearExceptCode
107783256.0,22758,python,python,_PyObject_Free
107671147.0,22780,python,python,_PyFrame_ClearExceptCode
106570881.0,22780,python,python,_Py_VectorCallInstrumentation_StackRefSteal
105744220.0,22747,python,python,_PyObject_Realloc
104626747.0,22747,python,python,_PyEval_EvalFrameDefault
103732629.0,22758,python,python,_PyEval_EvalFrameDefault
101574992.0,22769,python,python,_PyFrame_ClearExceptCode
100976701.0,22718,python,python,_PyObject_Realloc
100876742.0,22718,python,python,_Py_VectorCallInstrumentation_StackRefSteal
100833576.0,22747,python,python,unicodekeys_lookup_unicode
100432603.0,22736,python,python,_PyFrame_ClearExceptCode
100332426.0,22736,python,python,_PyObject_Realloc
99564813.0,22736,python,python,_Py_VectorCallInstrumentation_StackRefSteal
99529990.0,22747,python,python,_Py_VectorCallInstrumentation_StackRefSteal
96543255.0,22758,python,python,unicodekeys_lookup_unicode
95170622.0,22780,python,python,unicodekeys_lookup_unicode
95048519.0,22780,python,python,_PyObject_Free
93078190.0,22725,python,python,_PyEval_EvalFrameDefault
93044557.0,22758,python,python,_Py_VectorCallInstrumentation_StackRefSteal
92883406.0,22718,python,python,_Py_dict_lookup
92624336.0,22736,python,python,unicodekeys_lookup_unicode
92105169.0,22747,python,python,_PyObject_Free
90957717.0,22780,python,python,_PyObject_Realloc
89894643.0,22758,python,python,_PyObject_Realloc
89231661.0,22769,python,python,_PyObject_Realloc
88909320.0,22736,python,libc.so.6,__memmove_avx_unaligned_erms
87063130.0,22718,python,python,_copy_characters.constprop.0.isra.0
85677974.0,22736,python,python,_Py_dict_lookup
85014901.0,22769,python,python,_Py_VectorCallInstrumentation_StackRefSteal
81956614.0,22736,python,libc.so.6,__strchr_avx2
80074211.0,22747,python,python,_Py_dict_lookup
77204039.0,22718,python,python,_PyUnicode_JoinArray.part.0
76306998.0,22769,python,python,_Py_Dealloc
75201145.0,22780,python,python,_copy_characters.constprop.0.isra.0
75166691.0,22769,python,python,_Py_dict_lookup
74992228.0,22718,python,python,_Py_Dealloc
74173775.0,22769,python,python,unicodekeys_lookup_unicode
70098256.0,22769,python,libc.so.6,__memmove_avx_unaligned_erms
70029272.0,22718,python,python,PyUnicode_New
69950099.0,22736,python,python,_copy_characters.constprop.0.isra.0
69214648.0,22780,python,python,_Py_dict_lookup
69016491.0,22769,python,python,PyUnicode_New
