self,pid,command,shared_obj,symbol
441836927.0,3823627,python,python,_PyEval_EvalFrameDefault
350161933.0,3823667,python,python,_PyEval_EvalFrameDefault
345064020.0,3823690,python,python,_PyEval_EvalFrameDefault
340480524.0,3823634,python,python,_PyEval_EvalFrameDefault
340059414.0,3823645,python,python,_PyEval_EvalFrameDefault
333173925.0,3823679,python,python,_PyEval_EvalFrameDefault
197326363.0,3823690,python,python,PyFloat_FromDouble
149891080.0,3823627,python,python,_PyCompactLong_Subtract
143816092.0,3823645,python,python,_PyFrame_ClearExceptCode
142509107.0,3823645,python,python,_PyCompactLong_Subtract
140444363.0,3823690,python,python,_Py_Dealloc
133213623.0,3823679,python,python,_Py_Dealloc
130325773.0,3823634,python,python,_PyCompactLong_Subtract
124482620.0,3823634,python,python,_PyFrame_ClearExceptCode
121431820.0,3823690,python,python,_PyCompactLong_Subtract
121267016.0,3823667,python,python,_PyCompactLong_Subtract
119560968.0,3823667,python,python,_Py_Dealloc
119264971.0,3823627,python,python,_PyFrame_ClearExceptCode
118297922.0,3823679,python,python,_PyCompactLong_Subtract
117646090.0,3823690,python,python,_PyFrame_ClearExceptCode
116640556.0,3823634,python,python,_Py_Dealloc
115897417.0,3823679,python,python,_PyFrame_ClearExceptCode
115681008.0,3823627,python,python,_Py_Dealloc
114507570.0,3823645,python,python,make_range_object
113686894.0,3823627,python,python,make_range_object
111618440.0,3823627,python,python,PyFloat_FromDouble
111545519.0,3823667,python,python,_PyFrame_ClearExceptCode
110682574.0,3823634,python,python,PyFloat_FromDouble
104524418.0,3823645,python,python,_Py_Dealloc
102793828.0,3823679,python,python,make_range_object
100803231.0,3823627,python,python,_PyCompactLong_Add
96109763.0,3823667,python,python,make_range_object
91067446.0,3823679,python,python,_PyCompactLong_Add
89006127.0,3823679,python,python,PyFloat_FromDouble
87770181.0,3823634,python,python,_PyCompactLong_Add
86792410.0,3823645,python,python,PyFloat_FromDouble
85039957.0,3823627,python,python,_PyEvalFramePushAndInit
82853201.0,3823627,python,python,range_iter
80405875.0,3823645,python,python,_PyEval_EvalFrameDefault
80134185.0,3823667,python,python,PyFloat_FromDouble
78320657.0,3823690,python,python,_PyEval_EvalFrameDefault
76614595.0,3823656,python,python,_PyEval_EvalFrameDefault
76177212.0,3823634,python,python,make_range_object
76000682.0,3823679,python,python,_PyEval_EvalFrameDefault
74919567.0,3823627,python,python,initialize_locals
73144827.0,3823645,python,python,_PyCompactLong_Add
72376870.0,3823667,python,python,_PyEval_EvalFrameDefault
72068057.0,3823690,python,python,_PyCompactLong_Add
71319906.0,3823645,python,libm.so.6,__ieee754_pow_fma
71146814.0,3823667,python,python,_PyCompactLong_Add
70912046.0,3823690,python,python,_PyEval_FrameClearAndPop
69203296.0,3823667,python,python,initialize_locals
68250190.0,3823645,python,python,_PyObject_Free
68165658.0,3823690,python,python,make_range_object
67909452.0,3823634,python,python,_PyEval_EvalFrameDefault
67730639.0,3823627,python,python,float_pow
67041833.0,3823690,python,python,range_iter
66310968.0,3823667,python,python,_PyObject_Free
66159746.0,3823667,python,python,float_pow
66103599.0,3823667,python,python,PyLong_FromLong
64339108.0,3823679,python,python,range_iter
64290826.0,3823690,python,python,float_pow
63248499.0,3823645,python,python,_PyEvalFramePushAndInit
62884586.0,3823627,python,libm.so.6,__ieee754_pow_fma
61170769.0,3823645,python,python,float_compactlong_true_div
61126809.0,3823627,python,python,_PyEval_FrameClearAndPop
60402139.0,3823679,python,libm.so.6,__ieee754_pow_fma
60378992.0,3823627,python,python,_Py_NewReference
60361285.0,3823645,python,python,float_richcompare
60263546.0,3823634,python,python,_PyEvalFramePushAndInit
60255123.0,3823667,python,python,range_iter
60246089.0,3823690,python,python,_Py_NewReference
60087218.0,3823634,python,python,range_iter
59299958.0,3823645,python,python,range_iter
