self,pid,command,shared_obj,symbol
1134642096.0,2943710,python,python,_PyEval_EvalFrameDefault
772991992.0,2943899,python,python,_PyEval_EvalFrameDefault
745024129.0,2943913,python,python,_PyEval_EvalFrameDefault
743205516.0,2943786,python,python,_PyEval_EvalFrameDefault
741823089.0,2943819,python,python,_PyEval_EvalFrameDefault
729860752.0,2943855,python,python,_PyEval_EvalFrameDefault
729676706.0,2943888,python,python,_PyEval_EvalFrameDefault
715361939.0,2943935,python,python,_PyEval_EvalFrameDefault
715114977.0,2943739,python,python,_PyEval_EvalFrameDefault
714826453.0,2943830,python,python,_PyEval_EvalFrameDefault
712722130.0,2943728,python,python,_PyEval_EvalFrameDefault
708638431.0,2943844,python,python,_PyEval_EvalFrameDefault
708286172.0,2943775,python,python,_PyEval_EvalFrameDefault
705463645.0,2943808,python,python,_PyEval_EvalFrameDefault
703713336.0,2943924,python,python,_PyEval_EvalFrameDefault
702730276.0,2943764,python,python,_PyEval_EvalFrameDefault
695926172.0,2943877,python,python,_PyEval_EvalFrameDefault
686851650.0,2943946,python,python,_PyEval_EvalFrameDefault
678895810.0,2943717,python,python,_PyEval_EvalFrameDefault
652006857.0,2943797,python,python,_PyEval_EvalFrameDefault
256252165.0,2943819,python,python,_PyEval_EvalFrameDefault
253390772.0,2943786,python,python,_PyEval_EvalFrameDefault
252580611.0,2943717,python,python,_PyEval_EvalFrameDefault
249501107.0,2943844,python,python,_PyEval_EvalFrameDefault
246958751.0,2943855,python,python,_PyEval_EvalFrameDefault
246701013.0,2943946,python,python,_PyEval_EvalFrameDefault
243700292.0,2943888,python,python,_PyEval_EvalFrameDefault
242494292.0,2943913,python,python,_PyEval_EvalFrameDefault
241777120.0,2943899,python,python,_PyEval_EvalFrameDefault
240251061.0,2943877,python,python,_PyEval_EvalFrameDefault
236023268.0,2943808,python,python,_PyEval_EvalFrameDefault
233962424.0,2943797,python,python,_PyEval_EvalFrameDefault
233303913.0,2943924,python,python,_PyEval_EvalFrameDefault
228297688.0,2943739,python,python,_PyEval_EvalFrameDefault
225701283.0,2943728,python,python,_PyEval_EvalFrameDefault
225584636.0,2943935,python,python,_PyEval_EvalFrameDefault
219475812.0,2943830,python,python,_PyEval_EvalFrameDefault
217999172.0,2943866,python,python,_PyEval_EvalFrameDefault
217662023.0,2943775,python,python,_PyEval_EvalFrameDefault
210359235.0,2943764,python,python,_PyEval_EvalFrameDefault
163761409.0,2943710,python,python,gen_dealloc
123063959.0,2943717,python,python,gen_dealloc
121564056.0,2943797,python,python,_PyObject_Free
120026835.0,2943710,python,python,_PyObject_Free
119900805.0,2943786,python,python,gen_dealloc
116940650.0,2943808,python,python,gen_dealloc
114534671.0,2943946,python,python,gen_dealloc
113023952.0,2943775,python,python,gen_dealloc
107990990.0,2943877,python,python,gen_dealloc
106996184.0,2943888,python,python,gen_dealloc
106713785.0,2943855,python,python,gen_dealloc
104931238.0,2943935,python,python,gen_dealloc
104857865.0,2943924,python,python,gen_dealloc
102989243.0,2943797,python,python,gen_dealloc
102741547.0,2943844,python,python,gen_dealloc
101992836.0,2943764,python,python,gen_dealloc
101715526.0,2943710,python,python,_PyObject_Malloc
100823772.0,2943739,python,python,_PyObject_Free
100044481.0,2943819,python,python,gen_dealloc
97913387.0,2943728,python,python,gen_dealloc
94937935.0,2943739,python,python,_PyObject_Malloc
93799321.0,2943830,python,python,gen_dealloc
93775946.0,2943913,python,python,gen_dealloc
87418073.0,2943844,python,python,_PyObject_Free
86987430.0,2943877,python,python,_PyObject_Free
86838471.0,2943739,python,python,gen_dealloc
84091186.0,2943935,python,python,_PyObject_Free
83513189.0,2943946,python,python,_PyObject_Free
82977757.0,2943830,python,python,_PyObject_Free
82309613.0,2943899,python,python,gen_dealloc
81633862.0,2943855,python,python,_PyObject_Free
80282588.0,2943819,python,python,_PyObject_Free
79966666.0,2943728,python,python,_PyObject_Free
78535076.0,2943924,python,python,_PyObject_Free
76870662.0,2943710,python,python,_PyObject_GC_NewVar
75966612.0,2943775,python,python,_PyObject_Free
73108545.0,2943728,python,python,_PyObject_Malloc
71127344.0,2943913,python,python,_PyObject_Malloc
70161933.0,2943877,python,python,_PyObject_Malloc
70064666.0,2943797,python,python,_PyObject_Malloc
69842493.0,2943899,python,python,_PyObject_Free
68856414.0,2943710,python,python,make_gen
68400666.0,2943717,python,python,_PyObject_Malloc
68388216.0,2943786,python,python,_PyObject_Free
68387354.0,2943764,python,python,_PyObject_Free
67367691.0,2943808,python,python,make_gen
67337415.0,2943935,python,python,_PyObject_Malloc
67320059.0,2943808,python,python,_PyObject_Malloc
66459579.0,2943808,python,python,_PyObject_Free
66279523.0,2943913,python,python,_PyObject_Free
65461455.0,2943764,python,python,_PyObject_Malloc
62351140.0,2943786,python,python,_PyObject_Malloc
61405352.0,2943855,python,python,_PyObject_Malloc
61371814.0,2943888,python,python,_PyObject_Free
61362467.0,2943844,python,python,_PyObject_Malloc
61105796.0,2943924,python,python,_PyObject_Malloc
60881666.0,2943924,python,python,make_gen
59851950.0,2943775,python,python,_PyObject_Malloc
59425304.0,2943717,python,python,_PyObject_Free
59115557.0,2943710,python,python,_Py_Dealloc
57214395.0,2943728,python,python,make_gen
57169828.0,2943717,python,python,make_gen
56380806.0,2943888,python,python,make_gen
54490155.0,2943888,python,python,_PyObject_Malloc
54387594.0,2943764,python,python,_Py_Dealloc
53520968.0,2943946,python,python,_PyObject_Malloc
52491628.0,2943877,python,python,make_gen
52454640.0,2943844,python,python,make_gen
51287080.0,2943710,python,python,_PyFrame_ClearExceptCode
50106925.0,2943717,python,python,_PyObject_GC_NewVar
49577256.0,2943797,python,python,gen_dealloc
49538092.0,2943775,python,python,_PyObject_GC_NewVar
49501700.0,2943797,python,python,_PyObject_GC_NewVar
49484145.0,2943830,python,python,_PyObject_Malloc
49419792.0,2943830,python,python,_Py_Dealloc
49286300.0,2943819,python,python,make_gen
48129304.0,2943913,python,python,make_gen
47432214.0,2943775,python,python,make_gen
46954269.0,2943786,python,python,make_gen
46878794.0,2943764,python,python,make_gen
46602437.0,2943855,python,python,make_gen
46543344.0,2943797,python,python,make_gen
46511679.0,2943946,python,python,make_gen
45231067.0,2943935,python,python,make_gen
44611561.0,2943786,python,python,_PyObject_GC_NewVar
44456455.0,2943830,python,python,make_gen
44386133.0,2943899,python,python,_PyObject_Malloc
44339583.0,2943946,python,python,_Py_Dealloc
44288526.0,2943710,python,python,_PyCompactLong_Subtract
44237909.0,2943899,python,python,_PyObject_GC_NewVar
44095910.0,2943899,python,python,make_gen
42427140.0,2943877,python,python,gen_dealloc
41834661.0,2943775,python,python,gen_dealloc
41758591.0,2943830,python,python,gen_dealloc
41610583.0,2943877,python,python,_Py_Dealloc
41548494.0,2943844,python,python,gen_dealloc
41443579.0,2943935,python,python,gen_dealloc
39691366.0,2943819,python,python,_PyObject_Malloc
39614618.0,2943946,python,python,_PyFrame_ClearExceptCode
39604326.0,2943877,python,python,_PyObject_GC_NewVar
39359574.0,2943866,python,python,_PyObject_Free
39097434.0,2943797,python,python,_Py_Dealloc
39051081.0,2943739,python,python,gen_dealloc
38864814.0,2943717,python,python,gen_dealloc
38493957.0,2943739,python,python,make_gen
38387502.0,2943710,python,python,_PyEval_FrameClearAndPop
37853328.0,2943819,python,python,_PyObject_GC_NewVar
37670478.0,2943830,python,python,_PyCompactLong_Subtract
37571615.0,2943764,python,python,gen_dealloc
37555477.0,2943913,python,python,_Py_Dealloc
