self,pid,command,shared_obj,symbol
1366774160.0,3215714,python,python,_PyEval_EvalFrameDefault
1306743401.0,3215765,python,python,_PyEval_EvalFrameDefault
1266468133.0,3215743,python,python,_PyEval_EvalFrameDefault
1249905004.0,3215776,python,python,_PyEval_EvalFrameDefault
1218838892.0,3215721,python,python,_PyEval_EvalFrameDefault
1211888872.0,3215732,python,python,_PyEval_EvalFrameDefault
1181636221.0,3215754,python,python,_PyEval_EvalFrameDefault
860128897.0,3215743,python,python,call_instrumentation_vector.part.0.isra.0
692431722.0,3215754,python,python,call_instrumentation_vector.part.0.isra.0
691732629.0,3215732,python,python,call_instrumentation_vector.part.0.isra.0
682967447.0,3215714,python,python,call_instrumentation_vector.part.0.isra.0
670778407.0,3215721,python,python,call_instrumentation_vector.part.0.isra.0
629315925.0,3215765,python,python,call_instrumentation_vector.part.0.isra.0
626643330.0,3215714,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
622130038.0,3215776,python,python,call_instrumentation_vector.part.0.isra.0
581775346.0,3215732,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
581313171.0,3215776,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
577543095.0,3215765,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
556072761.0,3215714,python,python,unicodekeys_lookup_unicode
556015937.0,3215721,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
555064594.0,3215743,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
553315418.0,3215714,python,python,_Py_call_instrumentation_line
552317381.0,3215732,python,python,unicodekeys_lookup_unicode
530852948.0,3215754,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_trace
489603854.0,3215743,python,python,unicodekeys_lookup_unicode
487446810.0,3215765,python,python,unicodekeys_lookup_unicode
479879435.0,3215754,python,python,unicodekeys_lookup_unicode
449640791.0,3215721,python,python,unicodekeys_lookup_unicode
434893379.0,3215721,python,python,_Py_call_instrumentation_line
431838733.0,3215776,python,python,_Py_call_instrumentation_line
429732100.0,3215754,python,python,_Py_call_instrumentation_line
412137588.0,3215776,python,python,unicodekeys_lookup_unicode
409273105.0,3215743,python,python,_Py_call_instrumentation_line
395020062.0,3215765,python,python,_Py_call_instrumentation_line
390465979.0,3215732,python,python,_Py_call_instrumentation_line
368952210.0,3215714,python,python,_PyObject_Free
356447650.0,3215754,python,python,_PyObject_Free
322979598.0,3215714,python,python,_Py_dict_lookup
311006525.0,3215765,python,python,_Py_dict_lookup
302244386.0,3215776,python,python,_PyObject_Free
299321378.0,3215721,python,python,_PyObject_Free
284833666.0,3215721,python,python,_Py_dict_lookup
266476073.0,3215732,python,python,_Py_dict_lookup
263293248.0,3215743,python,python,_Py_dict_lookup
255544309.0,3215714,python,python,_PyObject_Malloc
252324756.0,3215721,python,python,_PyObject_Malloc
247519601.0,3215776,python,python,_Py_dict_lookup
244915430.0,3215765,python,python,_PyObject_Free
244597080.0,3215754,python,python,_Py_dict_lookup
243501259.0,3215776,python,python,_PyObject_Malloc
231793089.0,3215765,python,python,_PyObject_Malloc
219847968.0,3215765,python,python,PyDict_GetItem
214844460.0,3215732,python,python,_PyObject_Malloc
202136488.0,3215776,python,python,PyDict_GetItem
199808077.0,3215754,python,python,_PyObject_Malloc
198297569.0,3215743,python,python,PyDict_GetItem
191316442.0,3215714,python,python,set_add_entry_takeref
190326897.0,3215714,python,python,PyDict_GetItem
183334523.0,3215721,python,python,set_add_entry_takeref
181770909.0,3215743,python,python,_PyObject_Malloc
181373871.0,3215732,python,python,_PyObject_Free
179406620.0,3215732,python,python,set_add_entry_takeref
178436922.0,3215721,python,python,PyDict_GetItem
174260585.0,3215776,python,python,set_add_entry_takeref
172449959.0,3215714,python,python,siphash13
161619770.0,3215721,python,python,siphash13
160661418.0,3215743,python,python,siphash13
159579433.0,3215732,python,python,siphash13
157647117.0,3215765,python,python,siphash13
154568804.0,3215765,python,python,set_add_entry_takeref
151464295.0,3215754,python,python,siphash13
150858714.0,3215743,python,python,_PyEval_EvalFrameDefault
149722641.0,3215732,python,python,PyDict_GetItem
144625221.0,3215754,python,python,set_add_entry_takeref
144255765.0,3215732,python,python,_PyEval_EvalFrameDefault
142733369.0,3215765,python,python,_PyEval_EvalFrameDefault
142622146.0,3215732,python,python,_Py_Dealloc
142588041.0,3215732,python,python,PyLong_FromLong
141452562.0,3215754,python,python,PyDict_GetItem
140654968.0,3215714,python,python,PyLong_FromLong
140594909.0,3215776,python,python,PyLong_FromLong
138681205.0,3215721,python,python,PyLong_FromLong
136524416.0,3215714,python,python,_Py_Dealloc
135747214.0,3215743,python,python,_PyObject_Free
134488387.0,3215754,python,python,PyLong_FromLong
133509674.0,3215754,python,python,_PyCode_GetCode
131818545.0,3215732,python,python,dict_setdefault_ref_lock_held
131817771.0,3215776,python,python,siphash13
130860621.0,3215714,python,python,PyObject_GenericSetAttr
129863347.0,3215721,python,python,_PyType_LookupStackRefAndVersion
128894033.0,3215743,python,python,set_add_entry_takeref
124729207.0,3215765,python,python,PyLong_FromLong
123982964.0,3215743,python,python,PyFrame_GetCode
121598419.0,3215754,python,python,_PyEval_EvalFrameDefault
120916413.0,3215721,python,python,PyObject_GenericSetAttr
120857095.0,3215743,python,python,_PyType_LookupStackRefAndVersion
119869313.0,3215765,python,python,PyObject_GenericSetAttr
118307513.0,3215721,python,python,_PyEval_EvalFrameDefault
118019179.0,3215714,python,python,PyUnicode_InternFromString
116922864.0,3215754,python,python,PyObject_GenericSetAttr
115963356.0,3215743,python,python,PyObject_GenericSetAttr
113855877.0,3215743,python,python,PyLong_FromLong
112982741.0,3215714,python,python,dict_setdefault_ref_lock_held
112939090.0,3215765,python,python,_Py_Dealloc
111824401.0,3215743,python,python,_Py_Dealloc
111014708.0,3215765,python,python,_PyType_LookupStackRefAndVersion
110879228.0,3215776,python,python,PyObject_GenericSetAttr
108252125.0,3215732,python,python,_PyType_LookupStackRefAndVersion
105154380.0,3215754,python,python,_PyType_LookupStackRefAndVersion
103956954.0,3215754,python,python,PySet_Add
103063658.0,3215743,python,python,PyUnicode_InternFromString
103006766.0,3215743,python,python,_PyCode_GetCode
102971011.0,3215754,python,python,PyUnicode_InternFromString
102084239.0,3215714,python,python,_PyCode_GetCode
101990417.0,3215754,python,python,PyObject_GC_Del
100143401.0,3215732,python,python,PyObject_GenericSetAttr
99948325.0,3215765,python,python,PyUnicode_InternFromString
99154535.0,3215721,python,python,dict_setdefault_ref_lock_held
99066484.0,3215732,python,python,PySet_Add
98172193.0,3215721,python,python,PyUnicode_InternFromString
98064056.0,3215776,python,python,_Py_Dealloc
97155616.0,3215721,python,python,unicode_decode_utf8.part.0
97071842.0,3215743,python,python,_PyFrame_ClearExceptCode
95148284.0,3215743,python,python,find_first_nonascii
94987241.0,3215721,python,python,_Py_Dealloc
94263857.0,3215714,python,python,unicode_decode_utf8.part.0
94134528.0,3215765,python,python,dict_setdefault_ref_lock_held
94067208.0,3215754,python,python,_Py_hashtable_get_entry_generic
90229636.0,3215776,python,python,PyFrame_GetCode
90175447.0,3215765,python,python,_PyFrame_ClearExceptCode
90152267.0,3215776,python,python,dict_setdefault_ref_lock_held
88185384.0,3215776,python,python,PyUnicode_InternFromString
87149954.0,3215721,python,python,_PyCode_GetCode
86249930.0,3215743,python,python,PySet_Add
86166540.0,3215776,python,python,_PyType_LookupStackRefAndVersion
86144490.0,3215732,python,python,PyUnicode_InternFromString
85980053.0,3215776,python,python,unicode_decode_utf8.part.0
85148130.0,3215721,python,python,PySet_Add
84089107.0,3215754,python,python,unicode_decode_utf8.part.0
84035674.0,3215754,python,python,find_first_nonascii
83172512.0,3215743,python,python,call_instrumentation_vector.part.0.isra.0
83074283.0,3215776,python,python,_PyDict_LoadGlobalStackRef
82182383.0,3215743,python,python,PyObject_SetAttr
81204079.0,3215754,python,python,dict_setdefault_ref_lock_held
80311974.0,3215765,python,python,unicode_decode_utf8.part.0
79217038.0,3215732,python,python,find_first_nonascii
79101838.0,3215765,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_set_pdata_stack.constprop.0
78260350.0,3215732,python,python,_PyFrame_ClearExceptCode
78240663.0,3215743,python,python,unicode_decode_utf8.part.0
76380012.0,3215732,python,python,PyObject_SetAttr
76338579.0,3215776,python,python,PySet_Add
76319754.0,3215765,python,python,_Py_hashtable_get_entry_generic
76269005.0,3215714,python,python,PySet_Add
76267659.0,3215743,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_set_pdata_stack.constprop.0
75298241.0,3215732,python,python,PyUnicode_New.part.0
74245990.0,3215714,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_set_pdata_stack.constprop.0
74218402.0,3215765,python,python,PySet_Add
74214306.0,3215754,python,tracer.cpython-316-x86_64-linux-gnu.so,CTracer_set_pdata_stack.constprop.0
74191785.0,3215714,python,python,_PyFrame_ClearExceptCode
73614983.0,3215743,python,python,_PyObject_GC_NewVar
73311350.0,3215721,python,python,find_first_nonascii
