self,pid,command,shared_obj,symbol
490762754.0,331029,python,python,_PyEval_EvalFrameDefault
343780277.0,330796,python,python,_PyEval_EvalFrameDefault
343697954.0,331225,python,python,_PyEval_EvalFrameDefault
331541745.0,331114,python,python,_PyEval_EvalFrameDefault
325852589.0,331036,python,python,_PyEval_EvalFrameDefault
324014580.0,331058,python,python,_PyEval_EvalFrameDefault
318191569.0,331148,python,python,_PyEval_EvalFrameDefault
315561586.0,331170,python,python,_PyEval_EvalFrameDefault
315028291.0,331236,python,python,_PyEval_EvalFrameDefault
314990890.0,331214,python,python,_PyEval_EvalFrameDefault
312103568.0,331192,python,python,_PyEval_EvalFrameDefault
310660562.0,331136,python,python,_PyEval_EvalFrameDefault
310022086.0,331103,python,python,_PyEval_EvalFrameDefault
308258340.0,331247,python,python,_PyEval_EvalFrameDefault
299164860.0,331091,python,python,_PyEval_EvalFrameDefault
298371414.0,331080,python,python,_PyEval_EvalFrameDefault
297168565.0,331181,python,python,_PyEval_EvalFrameDefault
293782715.0,331125,python,python,_PyEval_EvalFrameDefault
290834456.0,331203,python,python,_PyEval_EvalFrameDefault
290207257.0,331069,python,python,_PyEval_EvalFrameDefault
281903505.0,331159,python,python,_PyEval_EvalFrameDefault
276618353.0,331047,python,python,_PyEval_EvalFrameDefault
223017982.0,330924,python,python,_PyEval_EvalFrameDefault
222148119.0,331013,python,python,_PyEval_EvalFrameDefault
218286500.0,330935,python,python,_PyEval_EvalFrameDefault
218143775.0,330968,python,python,_PyEval_EvalFrameDefault
217669441.0,330957,python,python,_PyEval_EvalFrameDefault
217207169.0,330880,python,python,_PyEval_EvalFrameDefault
215147878.0,330836,python,python,_PyEval_EvalFrameDefault
213222212.0,330858,python,python,_PyEval_EvalFrameDefault
211623017.0,330946,python,python,_PyEval_EvalFrameDefault
208684815.0,331002,python,python,_PyEval_EvalFrameDefault
208320834.0,330913,python,python,_PyEval_EvalFrameDefault
207196475.0,330847,python,python,_PyEval_EvalFrameDefault
204700521.0,330869,python,python,_PyEval_EvalFrameDefault
193860146.0,330803,python,python,_PyEval_EvalFrameDefault
193346323.0,330979,python,python,_PyEval_EvalFrameDefault
190744285.0,330891,python,python,_PyEval_EvalFrameDefault
186855257.0,330990,python,python,_PyEval_EvalFrameDefault
179722027.0,330825,python,python,_PyEval_EvalFrameDefault
176305906.0,330902,python,python,_PyEval_EvalFrameDefault
172001331.0,330814,python,python,_PyEval_EvalFrameDefault
161831813.0,331029,python,python,_PyObject_Malloc
160318423.0,331259,python,python,_Py_dict_lookup
137143450.0,331058,python,python,_PyEval_EvalFrameDefault
