self,pid,command,shared_obj,symbol
2361816121.0,3928998,python,python,_PyEval_EvalFrameDefault
2037668157.0,3929028,python,python,_PyEval_EvalFrameDefault
1995971599.0,3929017,python,python,_PyEval_EvalFrameDefault
1933445840.0,3929006,python,python,_PyEval_EvalFrameDefault
1916810578.0,3929050,python,python,_PyEval_EvalFrameDefault
1872594874.0,3929039,python,python,_PyEval_EvalFrameDefault
410891028.0,3928998,python,python,_PyFrame_ClearExceptCode
393819737.0,3929050,python,python,_PyFrame_ClearExceptCode
353762497.0,3929006,python,python,_PyFrame_ClearExceptCode
350358947.0,3929039,python,python,_PyFrame_ClearExceptCode
339354211.0,3929017,python,python,_PyFrame_ClearExceptCode
334324174.0,3929028,python,python,_PyFrame_ClearExceptCode
289989301.0,3928998,python,python,_PyEval_FrameClearAndPop
277923837.0,3929039,python,python,_PyEval_FrameClearAndPop
269814372.0,3929028,python,python,_PyEval_FrameClearAndPop
267673771.0,3929050,python,python,_PyEval_EvalFrameDefault
266191230.0,3929050,python,python,_PyEval_FrameClearAndPop
260078591.0,3929062,python,python,_PyEval_EvalFrameDefault
257703201.0,3929039,python,python,_PyEval_EvalFrameDefault
252448185.0,3929006,python,python,_PyEval_EvalFrameDefault
240838319.0,3929017,python,python,_PyEval_EvalFrameDefault
235410559.0,3929028,python,python,_PyEval_EvalFrameDefault
232194944.0,3929017,python,python,_PyEval_FrameClearAndPop
216936487.0,3929006,python,python,_PyEval_FrameClearAndPop
156396447.0,3929006,python,python,_PyType_LookupStackRefAndVersion
152247486.0,3928998,python,python,gc_collect_region
149549082.0,3929039,python,python,_PyType_LookupStackRefAndVersion
149438608.0,3929050,python,python,_PyType_LookupStackRefAndVersion
145253280.0,3929028,python,python,gc_collect_region
144340507.0,3929017,python,python,gc_collect_region
139239873.0,3929039,python,python,gc_collect_region
138491179.0,3929017,python,python,_PyType_LookupStackRefAndVersion
134026665.0,3928998,python,python,listiter_next
131883755.0,3928998,python,python,_PyObject_Malloc
131722207.0,3929028,python,python,_PyType_LookupStackRefAndVersion
131386133.0,3929006,python,python,gc_collect_region
130408471.0,3928998,python,python,_PyType_LookupStackRefAndVersion
128625077.0,3929017,python,python,listiter_next
126579425.0,3929006,python,python,listiter_next
120774710.0,3929028,python,python,listiter_next
116876487.0,3929050,python,python,_PyThreadState_PopFrame
116514393.0,3929050,python,python,gc_collect_region
115782081.0,3929039,python,python,_PyThreadState_PopFrame
114753141.0,3929006,python,python,_PyThreadState_PopFrame
112331558.0,3928998,python,python,_PyThreadState_PopFrame
108776361.0,3929017,python,python,_PyThreadState_PopFrame
107529580.0,3929017,python,python,_PyObject_Malloc
105720346.0,3929039,python,python,listiter_next
104859935.0,3929028,python,python,_PyThreadState_PopFrame
101021480.0,3929006,python,python,_PyObject_Malloc
96803904.0,3929039,python,python,_PyObject_Malloc
93978151.0,3929050,python,python,listiter_next
93944717.0,3929006,python,python,_Py_VectorCallInstrumentation_StackRefSteal
93893734.0,3928998,python,python,_PyForIter_VirtualIteratorNext
91676516.0,3928998,python,python,_PyObject_Free
91048320.0,3929039,python,python,_Py_VectorCallInstrumentation_StackRefSteal
90733844.0,3929028,python,python,_PyObject_Malloc
87800901.0,3928998,python,python,_PyObject_GetMethodStackRef
87132728.0,3929050,python,python,_Py_VectorCallInstrumentation_StackRefSteal
87050057.0,3929017,python,python,_Py_VectorCallInstrumentation_StackRefSteal
86952112.0,3928998,python,python,_Py_VectorCallInstrumentation_StackRefSteal
84187790.0,3929050,python,python,_PyObject_Malloc
84051805.0,3929039,python,python,_PyForIter_VirtualIteratorNext
83207746.0,3929050,python,python,_PyForIter_VirtualIteratorNext
79127980.0,3928998,python,python,_Py_Dealloc
78226283.0,3929006,python,python,_Py_Dealloc
77036634.0,3929006,python,python,_PyObject_Free
76924881.0,3929028,python,python,_PyForIter_VirtualIteratorNext
76259460.0,3929006,python,python,_PyForIter_VirtualIteratorNext
73302225.0,3929050,python,python,_PyObject_Free
72227111.0,3929028,python,python,_Py_VectorCallInstrumentation_StackRefSteal
70234875.0,3929017,python,python,_PyForIter_VirtualIteratorNext
69339347.0,3929039,python,python,_PyObject_GetMethodStackRef
69338078.0,3929028,python,python,_PyObject_GetMethodStackRef
68351754.0,3929050,python,python,_PyObject_GetMethodStackRef
65212667.0,3929006,python,python,_PyObject_GetMethodStackRef
64248582.0,3929017,python,python,_Py_Dealloc
64224928.0,3929028,python,python,_Py_Dealloc
60403780.0,3929039,python,python,_Py_Dealloc
59350838.0,3929039,python,python,_PyObject_Free
58392302.0,3929006,python,python,unicodekeys_lookup_unicode
57404879.0,3929028,python,python,PyMethod_New
57317237.0,3929017,python,python,_PyObject_GetMethodStackRef
57161715.0,3929017,python,python,_PyObject_Free
56358526.0,3929050,python,python,unicodekeys_lookup_unicode
56339564.0,3928998,python,python,_Py_type_getattro
55328624.0,3928998,python,python,unicodekeys_lookup_unicode
53216311.0,3928998,python,python,PyMethod_New
52379524.0,3929028,python,python,unicodekeys_lookup_unicode
50545232.0,3929017,python,python,unicodekeys_lookup_unicode
50515949.0,3929050,python,python,_Py_Dealloc
50266374.0,3928998,python,libc.so.6,__memset_avx2_unaligned_erms
49437230.0,3929028,python,python,_Py_type_getattro
49414325.0,3929006,python,python,_Py_type_getattro
48515939.0,3929050,python,libc.so.6,__memset_avx2_unaligned_erms
46637698.0,3929028,python,libc.so.6,__memset_avx2_unaligned_erms
46552905.0,3929017,python,python,PyMethod_New
46440863.0,3929017,python,libc.so.6,__memset_avx2_unaligned_erms
46384453.0,3928998,python,libc.so.6,__memmove_avx_unaligned_erms
46368909.0,3929050,python,python,_Py_type_getattro
45372579.0,3929050,python,python,visit_decref
44536369.0,3929039,python,python,unicodekeys_lookup_unicode
44452948.0,3928998,python,python,visit_decref
43561300.0,3929039,python,libc.so.6,__memset_avx2_unaligned_erms
43553934.0,3928998,python,python,do_super_lookup
43523154.0,3928998,python,python,_PyGC_Collect
43507772.0,3929039,python,python,_Py_type_getattro
42577311.0,3929028,python,python,PyObject_Vectorcall
42543853.0,3928998,python,[JIT],0x00007193a6d0f203
42516743.0,3929050,python,python,_PyObject_GetAttrStackRef
42400611.0,3929039,python,python,PyObject_Vectorcall
42298374.0,3929006,python,[JIT],0x00007b1a4f53d203
41518792.0,3929006,python,python,PyObject_Vectorcall
41477187.0,3928998,python,[JIT],0x00007193a6d0f1e8
40620341.0,3929028,python,python,_PyObject_Free
40587532.0,3928998,python,python,PyObject_Vectorcall
40585730.0,3929050,python,libc.so.6,__memmove_avx_unaligned_erms
40565681.0,3929006,python,python,do_super_lookup
40546378.0,3928998,python,python,PyType_IsSubtype
40509458.0,3929039,python,python,visit_decref
40370762.0,3929017,python,python,list_iter
39618684.0,3929039,python,[JIT],0x00007a610b012203
39596610.0,3929039,python,python,_PyCompactLong_Add
