self,pid,command,shared_obj,symbol
11996997721.0,2890347,python,python,_PyEval_EvalFrameDefault
10198854048.0,2890383,python,python,_PyEval_EvalFrameDefault
10025177042.0,2890356,python,python,_PyEval_EvalFrameDefault
9993631407.0,2890412,python,python,_PyEval_EvalFrameDefault
9942077158.0,2890400,python,python,_PyEval_EvalFrameDefault
9930131590.0,2890347,python,python,sre_ucs1_match
9895080614.0,2890426,python,python,_PyEval_EvalFrameDefault
9116800024.0,2890426,python,python,sre_ucs1_match
9044919084.0,2890383,python,python,sre_ucs1_match
9024423221.0,2890356,python,python,sre_ucs1_match
9005994573.0,2890412,python,python,sre_ucs1_match
8883421856.0,2890400,python,python,sre_ucs1_match
7016630543.0,2890347,python,python,gc_collect_main
6458968931.0,2890383,python,python,gc_collect_main
6438394489.0,2890412,python,python,gc_collect_main
6410778572.0,2890356,python,python,gc_collect_main
6400693879.0,2890426,python,python,gc_collect_main
6323180827.0,2890400,python,python,gc_collect_main
4160812811.0,2890400,python,python,_PyTypeCache_Lookup
4083693566.0,2890347,python,python,_PyTypeCache_Lookup
3974175695.0,2890426,python,python,_PyTypeCache_Lookup
3864573448.0,2890383,python,python,_PyTypeCache_Lookup
3833211907.0,2890412,python,python,_PyTypeCache_Lookup
3781303596.0,2890356,python,python,_PyTypeCache_Lookup
2926112825.0,2890347,python,python,_PyObject_Malloc
2836408687.0,2890347,python,python,unicodekeys_lookup_unicode
2831428007.0,2890383,python,python,_PyObject_Malloc
2749692548.0,2890400,python,python,unicodekeys_lookup_unicode
2732537220.0,2890426,python,python,_PyObject_Malloc
2708423267.0,2890412,python,python,_PyObject_Malloc
2693767876.0,2890356,python,python,_PyObject_Malloc
2678087280.0,2890356,python,python,unicodekeys_lookup_unicode
2662991218.0,2890383,python,python,unicodekeys_lookup_unicode
2654712225.0,2890400,python,python,_PyObject_Malloc
2587945969.0,2890412,python,python,unicodekeys_lookup_unicode
2421993096.0,2890426,python,python,unicodekeys_lookup_unicode
2361686278.0,2890347,python,python,_PyObject_GenericGetAttrWithDict
2155616536.0,2890426,python,python,_PyObject_GenericGetAttrWithDict
2141798354.0,2890412,python,python,_PyObject_GenericGetAttrWithDict
2083650738.0,2890347,python,python,visit_decref
2064770750.0,2890400,python,python,_PyObject_GenericGetAttrWithDict
2049087039.0,2890356,python,python,_PyObject_GenericGetAttrWithDict
2048334916.0,2890347,python,python,_PyFrame_ClearExceptCode
2006316076.0,2890383,python,python,_PyObject_GenericGetAttrWithDict
1928223918.0,2890369,python,python,_PyEval_EvalFrameDefault
1925599512.0,2890412,python,python,visit_decref
1923790208.0,2890383,python,python,_PyEval_EvalFrameDefault
1921175180.0,2890383,python,python,_PyFrame_ClearExceptCode
1920353254.0,2890400,python,python,_PyEval_EvalFrameDefault
1883524839.0,2890426,python,python,_PyFrame_ClearExceptCode
1872671666.0,2890400,python,python,visit_decref
1869274854.0,2890400,python,python,_PyFrame_ClearExceptCode
1865935209.0,2890356,python,python,visit_decref
1862695216.0,2890426,python,python,visit_decref
1861456810.0,2890383,python,python,visit_decref
1855778183.0,2890426,python,python,_PyEval_EvalFrameDefault
1848509316.0,2890347,python,python,_PyObject_Free
1837677365.0,2890412,python,python,_PyFrame_ClearExceptCode
1822238281.0,2890356,python,python,_PyFrame_ClearExceptCode
1808195131.0,2890356,python,python,_PyEval_EvalFrameDefault
1803409795.0,2890412,python,python,_PyEval_EvalFrameDefault
1795392247.0,2890356,python,python,_PyObject_Free
1751187777.0,2890383,python,python,_PyObject_Free
1727633782.0,2890400,python,python,_PyObject_Free
1716800645.0,2890426,python,python,_PyObject_Free
1713886737.0,2890412,python,python,_PyObject_Free
1585538053.0,2890347,python,libc.so.6,__memmove_avx_unaligned_erms
1561709585.0,2890426,python,libc.so.6,__memmove_avx_unaligned_erms
1556038867.0,2890383,python,libc.so.6,__memmove_avx_unaligned_erms
1535255261.0,2890412,python,libc.so.6,__memmove_avx_unaligned_erms
1513825619.0,2890347,python,python,list_dealloc
1492255590.0,2890400,python,libc.so.6,__memmove_avx_unaligned_erms
1485501697.0,2890347,python,python,_Py_dict_lookup
1448475106.0,2890356,python,libc.so.6,__memmove_avx_unaligned_erms
1447704418.0,2890426,python,python,list_dealloc
1394975572.0,2890356,python,python,list_dealloc
1376667894.0,2890412,python,python,_Py_dict_lookup
1362640151.0,2890400,python,python,list_dealloc
1359645147.0,2890347,python,python,_Py_Dealloc
1357660201.0,2890347,python,python,_PyType_LookupStackRefAndVersion
1354319438.0,2890412,python,python,list_dealloc
1334217861.0,2890356,python,python,_Py_dict_lookup
1323887236.0,2890383,python,python,list_dealloc
1312253803.0,2890426,python,python,_Py_dict_lookup
1282860529.0,2890383,python,python,_Py_dict_lookup
1282552310.0,2890356,python,python,_Py_Dealloc
1271441264.0,2890383,python,python,_PyType_LookupStackRefAndVersion
1270197780.0,2890400,python,python,_Py_dict_lookup
1247172818.0,2890412,python,python,_PyObject_GetAttrStackRef
1239840978.0,2890383,python,python,_Py_Dealloc
1220583145.0,2890356,python,python,_PyType_LookupStackRefAndVersion
1211150348.0,2890412,python,python,_Py_Dealloc
1185843870.0,2890400,python,python,_PyType_LookupStackRefAndVersion
1182578580.0,2890426,python,python,_Py_Dealloc
1182080547.0,2890426,python,python,_PyType_LookupStackRefAndVersion
1179373746.0,2890400,python,python,_Py_Dealloc
1177550530.0,2890412,python,python,_PyType_LookupStackRefAndVersion
1128483523.0,2890347,python,python,_PyObject_GetAttrStackRef
1127645098.0,2890356,python,python,_PyObject_GetAttrStackRef
1120229865.0,2890383,python,python,_PyObject_GetAttrStackRef
1089985475.0,2890347,python,python,initialize_locals
1083064443.0,2890426,python,python,_PyObject_GetAttrStackRef
1033211193.0,2890412,python,python,initialize_locals
1029417671.0,2890400,python,python,_PyObject_GetAttrStackRef
996824768.0,2890347,python,python,_PyObject_TryGetInstanceAttribute
973570478.0,2890400,python,python,_PyObject_TryGetInstanceAttribute
969612852.0,2890400,python,python,initialize_locals
