self,pid,command,shared_obj,symbol
1873326386.0,203160,python,python,_PyEval_EvalFrameDefault
1693251965.0,203218,python,python,_PyEval_EvalFrameDefault
1639520921.0,203193,python,python,_PyEval_EvalFrameDefault
1629247352.0,203181,python,python,_PyEval_EvalFrameDefault
1600677244.0,203207,python,python,_PyEval_EvalFrameDefault
1591967130.0,203229,python,python,_PyEval_EvalFrameDefault
211841848.0,203160,python,python,_PyObject_Malloc
203185846.0,203181,python,python,_PyObject_Malloc
200424313.0,203218,python,python,_PyEval_EvalFrameDefault
199332650.0,203193,python,python,_PyEval_EvalFrameDefault
198855756.0,203207,python,python,_PyEval_EvalFrameDefault
195434760.0,203181,python,python,_PyEval_EvalFrameDefault
190065298.0,203193,python,python,_PyObject_Malloc
184499675.0,203207,python,python,_PyObject_Malloc
178014122.0,203218,python,python,_PyObject_Malloc
177604411.0,203160,python,python,_PyObject_Free
175362290.0,203170,python,python,_PyEval_EvalFrameDefault
173859796.0,203229,python,python,_PyEval_EvalFrameDefault
152465584.0,203229,python,python,_PyObject_Malloc
144084415.0,203193,python,python,_PyObject_Free
138845135.0,203160,python,python,_Py_Dealloc
133110558.0,203160,python,libz.so.1.3,inflate
130176414.0,203207,python,python,_PyObject_Free
128508443.0,203229,python,python,_PyObject_Free
128073605.0,203181,python,python,_PyObject_Free
128056666.0,203218,python,python,_PyObject_Free
118509299.0,203193,python,libz.so.1.3,inflate
116170442.0,203207,python,python,_Py_Dealloc
116135384.0,203218,python,libz.so.1.3,inflate
111511979.0,203218,python,python,_Py_Dealloc
110045522.0,203229,python,libz.so.1.3,inflate
104986039.0,203229,python,python,_Py_Dealloc
103898185.0,203181,python,python,_Py_Dealloc
98686792.0,203181,python,libz.so.1.3,inflate
98648633.0,203207,python,libz.so.1.3,inflate
93318887.0,203193,python,python,_Py_Dealloc
84745094.0,203218,python,python,_PyFrame_ClearExceptCode
74913526.0,203207,python,python,_PyFrame_ClearExceptCode
74663250.0,203160,python,python,_PyFrame_ClearExceptCode
73591453.0,203193,python,python,_PyFrame_ClearExceptCode
68158318.0,203207,python,libc.so.6,__memmove_avx_unaligned_erms
66790509.0,203229,python,python,_PyFrame_ClearExceptCode
65739410.0,203229,python,libc.so.6,__memmove_avx_unaligned_erms
65192436.0,203160,python,libc.so.6,__memmove_avx_unaligned_erms
63136320.0,203181,python,python,_PyFrame_ClearExceptCode
59134612.0,203160,python,libz.so.1.3,0x000000000000381f
56145326.0,203181,python,libc.so.6,__memmove_avx_unaligned_erms
53319962.0,203160,python,python,_PyType_LookupStackRefAndVersion
52937048.0,203193,python,libc.so.6,__memmove_avx_unaligned_erms
51212654.0,203218,python,python,tuple_dealloc
47389823.0,203181,python,python,PyObject_GC_UnTrack
47215532.0,203229,python,python,PyObject_GC_UnTrack
46354618.0,203160,python,python,subtype_dealloc
46331452.0,203207,python,libz.so.1.3,0x000000000000381f
45460572.0,203160,python,python,_Py_dict_lookup
45321209.0,203207,python,libc.so.6,_int_malloc
45252721.0,203218,python,python,PyObject_GC_UnTrack
44423808.0,203181,python,python,_PyType_LookupStackRefAndVersion
44364101.0,203207,python,python,PyObject_GC_UnTrack
44335995.0,203218,python,libc.so.6,__memmove_avx_unaligned_erms
43820166.0,203229,python,libz.so.1.3,0x000000000000381f
43338201.0,203207,python,python,_PyType_LookupStackRefAndVersion
43292882.0,203218,python,libz.so.1.3,0x000000000000381f
43259154.0,203207,python,python,_PyEval_FrameClearAndPop
42522020.0,203181,python,libc.so.6,_int_malloc
42147918.0,203193,python,libc.so.6,_int_malloc
42129387.0,203193,python,python,_PyType_LookupStackRefAndVersion
41293124.0,203160,python,python,PyObject_GC_UnTrack
40451540.0,203181,python,python,PyLong_FromString
40258253.0,203229,python,python,subtype_dealloc
40221616.0,203229,python,libc.so.6,_int_malloc
40066381.0,203229,python,libc.so.6,__strlen_avx2
39418703.0,203160,python,python,initialize_locals
39169167.0,203193,python,python,_PyEval_FrameClearAndPop
38285520.0,203218,python,python,_PyType_LookupStackRefAndVersion
37484944.0,203218,python,libc.so.6,_int_malloc
37442627.0,203207,python,python,tuple_dealloc
37406381.0,203193,python,python,tuple_dealloc
37242867.0,203218,python,python,subtype_dealloc
36507261.0,203160,python,python,PySlice_AdjustIndices
36438183.0,203218,python,python,_PyEval_FrameClearAndPop
36410056.0,203181,python,libz.so.1.3,0x000000000000381f
36330625.0,203229,python,python,tuple_dealloc
36301531.0,203193,python,python,PySlice_AdjustIndices
36235257.0,203193,python,libz.so.1.3,0x000000000000381f
36166876.0,203193,python,python,do_mkvalue
35491418.0,203218,python,libc.so.6,__strlen_avx2
35477792.0,203160,python,python,PyLong_FromString
35455635.0,203218,python,python,PyLong_FromString
35298378.0,203229,python,python,initialize_locals
34498025.0,203218,python,python,list_dealloc
34464472.0,203229,python,python,_PyEval_FrameClearAndPop
34449694.0,203160,python,python,tuple_dealloc
33562708.0,203207,python,python,PyLong_FromString
33493639.0,203218,python,python,_Py_dict_lookup
33493387.0,203160,python,[unknown],0xffffffffaa71b26f
33437495.0,203160,python,python,tuple_alloc
32568352.0,203160,python,python,list_dealloc
32540577.0,203218,python,python,tuple_alloc
32530545.0,203181,python,python,_PyCallMethodDescriptorFastWithKeywords_StackRefSteal
32335932.0,203218,python,python,PySlice_AdjustIndices
32265140.0,203193,python,python,PyObject_GC_UnTrack
32186767.0,203229,python,python,PySlice_AdjustIndices
31553617.0,203207,python,python,subtype_dealloc
31519024.0,203181,python,python,PyList_New.constprop.0
31499379.0,203193,python,python,subtype_dealloc
31499205.0,203181,python,python,subtype_dealloc
31405145.0,203229,python,python,_PyType_LookupStackRefAndVersion
30590532.0,203181,python,python,PyObject_RichCompare
30582862.0,203181,python,libc.so.6,__strlen_avx2
30567254.0,203160,python,python,_PyEval_FrameClearAndPop
30520915.0,203160,python,libc.so.6,_int_malloc
30513442.0,203207,python,python,do_mkvalue
30381334.0,203160,python,python,_PyCallMethodDescriptorFastWithKeywords_StackRefSteal
30184196.0,203193,python,python,initialize_locals
29624720.0,203207,python,python,_Py_dict_lookup
29612788.0,203207,python,libc.so.6,__strlen_avx2
29400380.0,203229,python,python,PyLong_FromString
28585303.0,203181,python,libc.so.6,__memset_avx2_unaligned_erms
28387695.0,203193,python,python,tuple_alloc
27614212.0,203229,python,libz.so.1.3,adler32_z
27572796.0,203229,python,python,_PyCallMethodDescriptorFastWithKeywords_StackRefSteal
27553788.0,203160,python,libc.so.6,__strlen_avx2
27196044.0,203229,python,python,PyObject_RichCompare
27171426.0,203218,python,python,initialize_locals
26669372.0,203207,python,libc.so.6,__memset_avx2_unaligned_erms
26669248.0,203160,python,[unknown],0xffffffffab6001c6
26662991.0,203207,python,[unknown],0xffffffffaa71b26f
26654446.0,203181,python,python,tuple_alloc
26635442.0,203218,python,python,PyList_New.constprop.0
26576140.0,203160,python,python,_PyBuildSlice_ConsumeRefs
26418033.0,203193,python,python,PyLong_FromString
25693430.0,203181,python,python,_PyType_AllocNoTrack
25688293.0,203207,python,python,tuple_alloc
25670170.0,203218,python,libz.so.1.3,adler32_z
25662395.0,203160,python,python,PyObject_RichCompare
25650882.0,203229,python,python,tuple_alloc
25617535.0,203218,python,libc.so.6,__memcmp_avx2_movbe
25583409.0,203207,python,python,_PyCallMethodDescriptorFastWithKeywords_StackRefSteal
