self,pid,command,shared_obj,symbol
2777558732.0,978138,python,python,_PyEval_EvalFrameDefault
2518495936.0,978196,python,python,_PyEval_EvalFrameDefault
2432701625.0,978210,python,python,_PyEval_EvalFrameDefault
2431632065.0,978158,python,python,_PyEval_EvalFrameDefault
2375527494.0,978170,python,python,_PyEval_EvalFrameDefault
2370298261.0,978223,python,python,_PyEval_EvalFrameDefault
854768160.0,978139,Thread-1,_PyEval_EvalFrameDefault,[.]
783893640.0,978224,Thread-1,_PyEval_EvalFrameDefault,[.]
770125114.0,978211,Thread-1,_PyEval_EvalFrameDefault,[.]
767022355.0,978171,Thread-1,_PyEval_EvalFrameDefault,[.]
747276221.0,978159,Thread-1,_PyEval_EvalFrameDefault,[.]
738805158.0,978197,Thread-1,_PyEval_EvalFrameDefault,[.]
344926901.0,978170,python,python,_PyFrame_ClearExceptCode
332499172.0,978158,python,python,_PyFrame_ClearExceptCode
328317654.0,978138,python,python,_PyFrame_ClearExceptCode
327018438.0,978210,python,python,_PyFrame_ClearExceptCode
324269638.0,978146,python,python,_PyEval_EvalFrameDefault
320070079.0,978210,python,python,_PyEval_EvalFrameDefault
317929423.0,978223,python,python,_PyEval_EvalFrameDefault
307394838.0,978223,python,python,_PyFrame_ClearExceptCode
305973977.0,978158,python,python,_PyEval_EvalFrameDefault
305852145.0,978196,python,python,_PyEval_EvalFrameDefault
305571680.0,978170,python,python,_PyEval_EvalFrameDefault
283384856.0,978196,python,python,_PyFrame_ClearExceptCode
251906573.0,978223,python,python,_PyObject_Malloc
248708169.0,978138,python,python,_PyObject_Malloc
238208845.0,978210,python,python,_PyObject_Malloc
233397336.0,978158,python,python,_PyObject_Malloc
232711141.0,978196,python,python,_PyObject_Malloc
217632876.0,978170,python,python,_PyObject_Malloc
179329336.0,978170,python,python,_PyType_LookupStackRefAndVersion
174700811.0,978138,python,python,_PyEval_FrameClearAndPop
169082060.0,978138,python,python,_PyObject_Free
