self,pid,command,shared_obj,symbol
275293294.0,2459266,python,python,subtype_traverse
268840586.0,2459248,python,python,subtype_traverse
261180145.0,2459277,python,python,subtype_traverse
245971504.0,2459311,python,python,subtype_traverse
242496741.0,2459248,python,python,gc_collect_main
238723254.0,2459299,python,python,subtype_traverse
235666276.0,2459255,python,python,subtype_traverse
233068102.0,2459288,python,python,subtype_traverse
226194699.0,2459288,python,python,gc_collect_main
223902943.0,2459277,python,python,gc_collect_main
223498636.0,2459266,python,python,gc_collect_main
215240665.0,2459248,python,python,PyFloat_FromDouble
212808279.0,2459248,python,libm.so.6,__sin_fma
212066119.0,2459277,python,libm.so.6,__sin_fma
209503873.0,2459299,python,python,gc_collect_main
206796784.0,2459299,python,libm.so.6,__cos_fma
206510962.0,2459288,python,libm.so.6,__sin_fma
205748139.0,2459311,python,python,gc_collect_main
204826327.0,2459255,python,python,gc_collect_main
200278277.0,2459311,python,libm.so.6,__sin_fma
197628483.0,2459255,python,libm.so.6,__sin_fma
194940233.0,2459248,python,python,_Py_Dealloc
194604038.0,2459277,python,libm.so.6,__cos_fma
192851141.0,2459266,python,python,PyFloat_FromDouble
191714894.0,2459299,python,python,PyFloat_FromDouble
190398992.0,2459248,python,python,_PyObject_Free
189247014.0,2459255,python,python,_Py_Dealloc
188789134.0,2459255,python,libm.so.6,__cos_fma
186907996.0,2459266,python,libm.so.6,__sin_fma
185959770.0,2459248,python,libm.so.6,__cos_fma
185551417.0,2459255,python,python,PyFloat_FromDouble
183142075.0,2459311,python,python,_Py_Dealloc
182380377.0,2459299,python,libm.so.6,__sin_fma
181548111.0,2459277,python,python,_Py_Dealloc
177067848.0,2459288,python,python,_Py_Dealloc
176565126.0,2459288,python,libm.so.6,__cos_fma
176314484.0,2459248,python,python,_PyFrame_ClearExceptCode
176090749.0,2459311,python,python,PyFloat_FromDouble
175223347.0,2459248,python,python,visit_decref
174490976.0,2459311,python,python,_PyObject_Free
173972265.0,2459266,python,libm.so.6,__cos_fma
173670755.0,2459288,python,python,PyFloat_FromDouble
173115476.0,2459277,python,python,PyFloat_FromDouble
171401457.0,2459288,python,python,visit_decref
170289905.0,2459299,python,python,visit_decref
169104004.0,2459266,python,python,_Py_Dealloc
168093001.0,2459299,python,python,_Py_Dealloc
167240794.0,2459311,python,python,visit_reachable
167176171.0,2459248,python,python,_PyObject_Malloc
163920315.0,2459299,python,python,visit_reachable
163857000.0,2459311,python,libm.so.6,__cos_fma
163854463.0,2459311,python,python,visit_decref
