self,pid,command,shared_obj,symbol
518889897.0,979265,python,python,_PyEval_EvalFrameDefault
463167782.0,979319,python,python,_PyEval_EvalFrameDefault
449783493.0,979341,python,python,_PyEval_EvalFrameDefault
442366812.0,979330,python,python,_PyEval_EvalFrameDefault
432831702.0,979272,python,python,_PyEval_EvalFrameDefault
418930210.0,979283,python,python,_PyEval_EvalFrameDefault
413284780.0,979190,python,python,_PyEval_EvalFrameDefault
394840940.0,979219,python,python,_PyEval_EvalFrameDefault
386089343.0,979294,python,python,_PyEval_EvalFrameDefault
379393601.0,979197,python,python,_PyEval_EvalFrameDefault
373758157.0,979230,python,python,_PyEval_EvalFrameDefault
362795724.0,979241,python,python,_PyEval_EvalFrameDefault
354108666.0,979208,python,python,_PyEval_EvalFrameDefault
345893388.0,979254,python,python,_PyEval_EvalFrameDefault
306430145.0,979190,python,python,_PyObject_Malloc
238887679.0,979197,python,python,_PyObject_Malloc
232512620.0,979254,python,python,_PyObject_Malloc
227246147.0,979219,python,python,_PyObject_Malloc
223955478.0,979208,python,python,_PyObject_Malloc
220246473.0,979190,python,python,unicodekeys_lookup_unicode
214813693.0,979241,python,python,_PyObject_Malloc
210024173.0,979241,python,python,unicodekeys_lookup_unicode
205748577.0,979230,python,python,_PyObject_Malloc
205399596.0,979197,python,python,unicodekeys_lookup_unicode
202534331.0,979190,python,python,insert_to_emptydict
188049961.0,979190,python,libc.so.6,__memset_avx2_unaligned_erms
187826928.0,979230,python,python,unicodekeys_lookup_unicode
184685227.0,979190,python,python,_Py_Dealloc
180833208.0,979219,python,python,unicodekeys_lookup_unicode
178806073.0,979190,python,python,_Py_dict_lookup
177523433.0,979219,python,python,insertdict
175776323.0,979197,python,libc.so.6,__memset_avx2_unaligned_erms
172138532.0,979197,python,python,_Py_Dealloc
172018462.0,979265,python,python,_PyObject_Malloc
169149657.0,979219,python,python,_PyDict_FromItems
166315342.0,979208,python,python,_Py_dict_lookup
165213247.0,979197,python,python,_Py_dict_lookup
163315299.0,979283,python,python,_PyObject_Malloc
161501403.0,979219,python,python,_Py_dict_lookup
160890608.0,979190,python,python,insertdict
160698052.0,979190,python,python,_PyType_LookupStackRefAndVersion
160119672.0,979254,python,python,insertdict
159990423.0,979208,python,python,insertdict
159893541.0,979230,python,python,insertdict
159891305.0,979190,python,python,_PyFrame_ClearExceptCode
158451891.0,979319,python,python,_PyObject_Malloc
158163697.0,979330,python,python,_PyObject_Malloc
157659210.0,979272,python,python,_PyObject_Malloc
156553184.0,979230,python,python,_Py_dict_lookup
156492973.0,979254,python,python,unicodekeys_lookup_unicode
155433546.0,979208,python,libc.so.6,__memset_avx2_unaligned_erms
153808470.0,979190,python,python,_PyObject_Free
153147084.0,979241,python,python,_PyObject_Free
152103863.0,979341,python,python,_PyObject_Malloc
150526291.0,979230,python,libc.so.6,__memset_avx2_unaligned_erms
148397021.0,979241,python,libc.so.6,__memset_avx2_unaligned_erms
147389810.0,979254,python,python,_Py_dict_lookup
146556598.0,979208,python,python,unicodekeys_lookup_unicode
144033051.0,979294,python,python,_PyObject_Malloc
143223561.0,979219,python,libc.so.6,__memset_avx2_unaligned_erms
142283983.0,979208,python,python,_Py_Dealloc
142004083.0,979219,python,python,_Py_Dealloc
139476445.0,979230,python,python,_Py_Dealloc
139158154.0,979254,python,libc.so.6,__memset_avx2_unaligned_erms
137532254.0,979254,python,python,_Py_Dealloc
137501161.0,979219,python,python,_PyFrame_ClearExceptCode
136771798.0,979241,python,python,_Py_dict_lookup
136561771.0,979254,python,python,_PyObject_Free
135562062.0,979254,python,python,_PyType_LookupStackRefAndVersion
135517955.0,979241,python,python,insertdict
134134014.0,979197,python,python,_PyFrame_ClearExceptCode
133613152.0,979208,python,python,_PyObject_Free
133306067.0,979197,python,python,insertdict
131446307.0,979219,python,python,_PyObject_Free
128685849.0,979241,python,python,_PyFrame_ClearExceptCode
127119576.0,979319,python,python,_Py_dict_lookup
126705965.0,979254,python,python,_PyFrame_ClearExceptCode
125080507.0,979230,python,python,_PyObject_Free
124422823.0,979197,python,python,insert_to_emptydict
122739410.0,979283,python,python,_Py_dict_lookup
118686492.0,979272,python,python,_Py_dict_lookup
118585551.0,979265,python,python,_PyObject_Free
118252427.0,979265,python,python,_Py_dict_lookup
116726232.0,979241,python,python,_Py_Dealloc
115772305.0,979208,python,python,_PyFrame_ClearExceptCode
115610999.0,979190,python,python,_PyDict_FromItems
114552270.0,979219,python,python,_PyType_LookupStackRefAndVersion
113852269.0,979208,python,python,insert_to_emptydict
113672110.0,979265,python,python,_Py_Dealloc
112392572.0,979294,python,python,_Py_dict_lookup
112366264.0,979330,python,python,_PyObject_Free
111869689.0,979208,python,python,_PyType_LookupStackRefAndVersion
111858265.0,979241,python,python,_PyType_LookupStackRefAndVersion
111560575.0,979197,python,python,_PyType_LookupStackRefAndVersion
111488795.0,979241,python,python,insert_to_emptydict
110086441.0,979341,python,python,_Py_dict_lookup
108796367.0,979219,python,python,insert_to_emptydict
108729825.0,979190,python,python,_Py_BuildMap_StackRefSteal
108550396.0,979272,python,python,_PyObject_Free
107586577.0,979197,python,python,_PyObject_Free
106491515.0,979272,python,python,_PyEval_EvalFrameDefault
105324598.0,979319,python,python,_PyObject_Free
103908043.0,979230,python,python,insert_to_emptydict
103885324.0,979230,python,python,_PyType_LookupStackRefAndVersion
103732998.0,979190,python,python,PyDict_GetItemRef
103613563.0,979272,python,python,_Py_Dealloc
102091012.0,979330,python,python,_PyEval_EvalFrameDefault
100542294.0,979330,python,python,_Py_dict_lookup
99827128.0,979230,python,python,_PyFrame_ClearExceptCode
99647297.0,979190,python,python,_PyTuple_FromStackRefStealOnSuccess
98744122.0,979330,python,python,_Py_Dealloc
97512641.0,979283,python,python,_Py_Dealloc
96791976.0,979294,python,python,_PyObject_Free
96192132.0,979319,python,python,_Py_Dealloc
94301853.0,979283,python,python,_PyObject_Free
93901608.0,979265,python,python,_PyTuple_FromStackRefStealOnSuccess
93471411.0,979283,python,python,_PyEval_EvalFrameDefault
92890516.0,979197,python,python,_PyDict_FromItems
91755381.0,979265,python,python,unicodekeys_lookup_unicode
91181756.0,979241,python,python,PyDict_GetItemRef
90953743.0,979241,python,python,_PyDict_FromItems
89834697.0,979254,python,python,insert_to_emptydict
89798219.0,979341,python,python,_PyEval_EvalFrameDefault
89527413.0,979341,python,python,_PyObject_Free
89474027.0,979294,python,python,_PyEval_EvalFrameDefault
89071172.0,979254,python,python,_PyDict_FromItems
89037760.0,979219,python,python,PyDict_GetItemRef
88928569.0,979230,python,python,_PyDict_FromItems
88554358.0,979283,python,python,_PyTuple_FromStackRefStealOnSuccess
86965572.0,979197,python,python,long_to_decimal_string_internal
86074301.0,979272,python,libc.so.6,__memset_avx2_unaligned_erms
85979369.0,979254,python,python,PyDict_GetItemRef
84048511.0,979272,python,python,_PyTuple_FromStackRefStealOnSuccess
82763211.0,979283,python,python,pattern_subx
82289433.0,979319,python,python,_PyEval_EvalFrameDefault
82118962.0,979208,python,python,PyDict_GetItemRef
82098459.0,979241,python,python,_Py_BuildMap_StackRefSteal
81869374.0,979330,python,python,_PyTuple_FromStackRefStealOnSuccess
81216315.0,979254,python,python,_PyJIT
81116216.0,979197,python,python,_Py_BuildMap_StackRefSteal
80872927.0,979190,python,python,long_to_decimal_string_internal
80151386.0,979294,python,python,pattern_subx
80068890.0,979219,python,python,_PyTuple_FromStackRefStealOnSuccess
80007502.0,979219,python,python,new_dict
79865979.0,979208,python,python,_PyEval_EvalFrameDefault
79835556.0,979341,python,python,_Py_Dealloc
79262707.0,979241,python,python,_Py_type_getattro_stackref
79016611.0,979190,python,python,dictkeys_decref.part.0.constprop.0
79005612.0,979190,python,python,_PyEval_FrameClearAndPop
78971941.0,979294,python,python,_Py_Dealloc
78184116.0,979208,python,python,_Py_BuildMap_StackRefSteal
78077666.0,979230,python,python,PyDict_GetItemRef
77255910.0,979208,python,python,_PyEval_FrameClearAndPop
77145503.0,979254,python,python,_Py_BuildMap_StackRefSteal
77066671.0,979241,python,python,_PyTuple_FromStackRefStealOnSuccess
76994372.0,979197,python,python,dictkeys_decref.part.0.constprop.0
76258487.0,979319,python,python,tuple_alloc
76159039.0,979230,python,python,_PyJIT
76059781.0,979197,python,python,_Py_type_getattro_stackref
75243273.0,979197,python,python,PyDict_GetItemRef
75032887.0,979190,python,python,_Py_type_getattro_stackref
74914813.0,979190,python,python,find_empty_slot.constprop.0
