self,pid,command,shared_obj,symbol
1191097555.0,980265,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1024409636.0,980294,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1019477359.0,980272,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
988948586.0,980283,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
974373813.0,980316,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
960011462.0,980328,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
624108240.0,980265,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
610382078.0,980265,python,python,_PyObject_Malloc
525665264.0,980283,python,python,_PyObject_Malloc
523854246.0,980316,python,python,_PyObject_Malloc
513072453.0,980328,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
512108535.0,980328,python,python,_PyObject_Malloc
497493339.0,980272,python,python,_PyObject_Malloc
494195603.0,980294,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
483207175.0,980316,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
483036695.0,980272,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
479103267.0,980294,python,python,_PyObject_Malloc
453551169.0,980283,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
428365208.0,980265,python,python,siphash13
427629853.0,980294,python,python,unicodekeys_lookup_unicode
401253262.0,980265,python,python,unicodekeys_lookup_unicode
387989097.0,980283,python,python,_PyObject_Free
384225416.0,980283,python,python,unicodekeys_lookup_unicode
381386226.0,980328,python,python,_PyObject_Free
374212750.0,980294,python,python,_PyObject_Free
373927440.0,980265,python,python,_PyObject_Free
365491379.0,980283,python,python,siphash13
349528275.0,980272,python,python,unicodekeys_lookup_unicode
349464518.0,980316,python,python,unicodekeys_lookup_unicode
339502123.0,980328,python,python,unicodekeys_lookup_unicode
338557020.0,980272,python,python,siphash13
335657115.0,980294,python,python,siphash13
334637969.0,980328,python,python,siphash13
324534775.0,980316,python,python,siphash13
319967637.0,980316,python,python,_PyObject_Free
310876804.0,980272,python,python,_PyObject_Free
303715256.0,980265,python,python,dict_setdefault_ref_lock_held
297134728.0,980316,python,python,dict_setdefault_ref_lock_held
257121419.0,980265,python,python,_Py_Dealloc
255460004.0,980328,python,python,dict_setdefault_ref_lock_held
253504096.0,980294,python,python,dict_setdefault_ref_lock_held
246395883.0,980283,python,python,dict_setdefault_ref_lock_held
243382676.0,980272,python,python,dict_setdefault_ref_lock_held
232477764.0,980265,python,python,PyLong_FromString
227261203.0,980265,python,python,insertdict
216742566.0,980316,python,python,PyLong_FromString
214554807.0,980265,python,python,_Py_dict_lookup
211939324.0,980294,python,python,PyLong_FromString
205864206.0,980294,python,python,PyUnicode_Substring
204869889.0,980328,python,python,_Py_dict_lookup
202917231.0,980272,python,python,PyLong_FromString
200942342.0,980328,python,python,PyLong_FromString
200841835.0,980265,python,python,PyUnicode_Substring
193941876.0,980283,python,python,insertdict
192886196.0,980272,python,python,_Py_dict_lookup
190244616.0,980316,python,python,_Py_Dealloc
190037851.0,980294,python,python,_Py_Dealloc
185020942.0,980283,python,python,dictkeys_decref.part.0.constprop.0
184220758.0,980283,python,python,PyUnicode_Substring
183996505.0,980265,python,python,PyUnicode_New.part.0
182260910.0,980294,python,python,_Py_dict_lookup
