self,pid,command,shared_obj,symbol
474732490.0,1897709,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
400203036.0,1897709,python,python,_PyObject_Malloc
385387306.0,1897762,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
382518492.0,1897784,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
377623165.0,1897751,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
366678036.0,1897709,python,python,PyUnicodeWriter_WriteChar
362771389.0,1897729,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
362693986.0,1897740,python,_json.cpython-316-x86_64-linux-gnu.so,encoder_listencode_obj
343956449.0,1897729,python,python,PyUnicodeWriter_WriteChar
342109218.0,1897709,python,_json.cpython-316-x86_64-linux-gnu.so,ascii_escape_size
333177903.0,1897709,python,python,_PyUnicode_ResizeCompact
328861035.0,1897751,python,python,PyUnicodeWriter_WriteChar
319075681.0,1897740,python,python,PyUnicodeWriter_WriteChar
314934014.0,1897729,python,python,_PyObject_Malloc
313252376.0,1897784,python,python,PyUnicodeWriter_WriteChar
307683618.0,1897740,python,python,_PyUnicode_ResizeCompact
297338117.0,1897762,python,python,PyUnicodeWriter_WriteChar
294157412.0,1897751,python,python,_PyUnicode_ResizeCompact
293113168.0,1897784,python,python,_PyUnicode_ResizeCompact
288292610.0,1897729,python,python,_PyUnicode_ResizeCompact
282303307.0,1897762,python,python,_PyUnicode_ResizeCompact
281095762.0,1897740,python,python,_PyObject_Malloc
273337033.0,1897751,python,_json.cpython-316-x86_64-linux-gnu.so,ascii_escape_size
267233361.0,1897751,python,python,_PyObject_Malloc
265586179.0,1897762,python,_json.cpython-316-x86_64-linux-gnu.so,ascii_escape_size
259649513.0,1897784,python,_json.cpython-316-x86_64-linux-gnu.so,ascii_escape_size
256371994.0,1897740,python,_json.cpython-316-x86_64-linux-gnu.so,ascii_escape_size
251570474.0,1897784,python,python,_PyObject_Malloc
