self,pid,command,shared_obj,symbol
1228800350.0,2291296,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1035379650.0,2291303,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1031908378.0,2291347,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1030490786.0,2291336,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
1026330117.0,2291314,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
942482385.0,2291325,python,_json.cpython-315-x86_64-linux-gnu.so,scanstring_unicode
627376416.0,2291296,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
529014760.0,2291303,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
516947320.0,2291314,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
510713139.0,2291325,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
510091361.0,2291325,python,python,unicodekeys_lookup_unicode
508727889.0,2291347,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
508109413.0,2291336,python,_json.cpython-315-x86_64-linux-gnu.so,scan_once_unicode
505623747.0,2291296,python,python,unicodekeys_lookup_unicode
496513057.0,2291296,python,python,siphash13
496426873.0,2291296,python,python,_PyObject_Malloc
468265492.0,2291314,python,python,unicodekeys_lookup_unicode
465019538.0,2291314,python,python,_PyObject_Malloc
463092910.0,2291347,python,python,unicodekeys_lookup_unicode
462399110.0,2291336,python,python,_PyObject_Malloc
459104493.0,2291303,python,python,_PyObject_Malloc
456358140.0,2291336,python,python,unicodekeys_lookup_unicode
430440094.0,2291303,python,python,unicodekeys_lookup_unicode
419992575.0,2291347,python,python,_PyObject_Malloc
415472115.0,2291325,python,python,_PyObject_Malloc
415369543.0,2291296,python,python,_PyObject_Free
410640088.0,2291325,python,python,_PyObject_Free
404469380.0,2291303,python,python,siphash13
401034340.0,2291314,python,python,siphash13
399568541.0,2291325,python,python,siphash13
369636398.0,2291336,python,python,_PyObject_Free
364301017.0,2291336,python,python,siphash13
361672792.0,2291296,python,python,PyUnicode_Substring
354991396.0,2291347,python,python,siphash13
354682818.0,2291303,python,python,_PyObject_Free
320941103.0,2291347,python,python,_PyObject_Free
320811740.0,2291314,python,python,_PyObject_Free
300056460.0,2291303,python,python,PyUnicode_Substring
292651283.0,2291347,python,python,PyUnicode_Substring
287279363.0,2291314,python,python,PyUnicode_Substring
286764187.0,2291325,python,python,PyUnicode_Substring
276157093.0,2291336,python,python,PyUnicode_Substring
264609752.0,2291296,python,python,dict_setdefault_ref_lock_held
253901209.0,2291296,python,python,_Py_dict_lookup
251083747.0,2291347,python,python,PyUnicode_New.part.0
246432785.0,2291314,python,python,PyUnicode_New.part.0
245513822.0,2291296,python,python,PyLong_FromString
244547708.0,2291296,python,python,PyUnicode_New.part.0
239547333.0,2291325,python,python,dict_setdefault_ref_lock_held
239523531.0,2291325,python,python,PyUnicode_New.part.0
231891424.0,2291303,python,python,PyUnicode_New.part.0
222486716.0,2291296,python,python,_Py_Dealloc
216750959.0,2291336,python,python,_Py_dict_lookup
215294115.0,2291303,python,python,dict_setdefault_ref_lock_held
208029767.0,2291303,python,python,_Py_Dealloc
205992805.0,2291314,python,python,dict_setdefault_ref_lock_held
200707513.0,2291296,python,python,insertdict
198822450.0,2291347,python,python,_Py_dict_lookup
197996534.0,2291336,python,python,insertdict
197989678.0,2291347,python,python,dict_setdefault_ref_lock_held
195752546.0,2291325,python,python,PyLong_FromString
194882674.0,2291347,python,python,insertdict
194090128.0,2291336,python,python,dict_setdefault_ref_lock_held
193957735.0,2291325,python,python,_Py_dict_lookup
192788034.0,2291303,python,python,PyLong_FromString
192550252.0,2291347,python,python,PyLong_FromString
192310871.0,2291336,python,python,_Py_Dealloc
191139832.0,2291336,python,python,PyLong_FromString
191031693.0,2291325,python,python,_Py_Dealloc
189267120.0,2291303,python,python,_Py_dict_lookup
189170626.0,2291314,python,python,_Py_dict_lookup
188022570.0,2291336,python,python,PyUnicode_New.part.0
