self,pid,command,shared_obj,symbol
971083419.0,654785,python,python,_PyEval_EvalFrameDefault
908187576.0,654803,python,python,_PyEval_EvalFrameDefault
837219975.0,654826,python,python,_PyEval_EvalFrameDefault
811734803.0,654848,python,python,_PyEval_EvalFrameDefault
803497421.0,654814,python,python,_PyEval_EvalFrameDefault
760498426.0,654837,python,python,_PyEval_EvalFrameDefault
701944967.0,654792,python,python,_PyEval_EvalFrameDefault
655967705.0,654785,python,python,_Py_dict_lookup
618723963.0,654696,python,python,_PyEval_EvalFrameDefault
542878515.0,654861,python,python,_PyEval_EvalFrameDefault
526625613.0,654792,python,python,_PyFrame_ClearExceptCode
452014573.0,654785,python,python,_PyFrame_ClearExceptCode
440131436.0,654837,python,python,_Py_dict_lookup
438060676.0,654758,python,python,_PyEval_EvalFrameDefault
425213520.0,654848,python,python,_Py_dict_lookup
420135802.0,654703,python,python,_PyEval_EvalFrameDefault
412319025.0,654714,python,python,_PyEval_EvalFrameDefault
405396782.0,654814,python,python,_PyFrame_ClearExceptCode
402364898.0,654747,python,python,_PyEval_EvalFrameDefault
399334123.0,654826,python,python,_PyFrame_ClearExceptCode
397909765.0,654803,python,python,_PyFrame_ClearExceptCode
396734546.0,654736,python,python,_PyEval_EvalFrameDefault
389244643.0,654879,python,python,_PyEval_EvalFrameDefault
388790332.0,654725,python,python,_PyEval_EvalFrameDefault
388664022.0,654785,python,python,PyDict_New
383876278.0,654837,python,python,_PyFrame_ClearExceptCode
383587736.0,654901,python,python,_PyEval_EvalFrameDefault
381646929.0,654814,python,python,_Py_dict_lookup
378349182.0,654792,python,python,PyDict_New
375117153.0,654792,python,python,_Py_dict_lookup
364209827.0,654826,python,python,_Py_dict_lookup
362870395.0,654912,python,python,_PyEval_EvalFrameDefault
362690498.0,654785,python,python,_PyEvalFramePushAndInit
360298450.0,654923,python,python,_PyEval_EvalFrameDefault
350660425.0,654803,python,python,_Py_dict_lookup
349703499.0,654848,python,python,_PyFrame_ClearExceptCode
348824314.0,654785,python,python,initialize_locals
330365119.0,654890,python,python,_PyEval_EvalFrameDefault
324595928.0,654792,python,python,initialize_locals
322860333.0,654848,python,python,initialize_locals
317886920.0,654826,python,python,PyDict_New
316310972.0,654868,python,python,_PyEval_EvalFrameDefault
307742548.0,654814,python,python,initialize_locals
303875539.0,654803,python,python,initialize_locals
303177091.0,654814,python,python,PyDict_New
302379296.0,654837,python,python,initialize_locals
297769356.0,654826,python,python,_PyEvalFramePushAndInit
294235155.0,654826,python,python,initialize_locals
293118207.0,654848,python,python,PyDict_New
288490096.0,654792,python,python,_PyEvalFramePushAndInit
281290548.0,654837,python,python,_PyEvalFramePushAndInit
281137628.0,654814,python,python,_PyEvalFramePushAndInit
279125158.0,654837,python,python,PyDict_New
260289248.0,654803,python,python,_PyEvalFramePushAndInit
259419552.0,654848,python,python,_PyEvalFramePushAndInit
255198350.0,654803,python,python,PyDict_New
249354180.0,654848,python,python,dict_dealloc
248294343.0,654803,python,python,dict_dealloc
235550537.0,654696,python,python,_PyObject_Malloc
234831404.0,654814,python,python,dict_dealloc
232649299.0,654803,python,python,_PyEval_FrameClearAndPop
231171934.0,654785,python,python,dict_dealloc
211197815.0,654785,python,python,_PyEval_FrameClearAndPop
206065339.0,654792,python,python,dict_dealloc
204493522.0,654714,python,python,_PyObject_Malloc
204162975.0,654861,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
199051672.0,654861,python,python,_PyObject_Malloc
197224239.0,654736,python,python,_PyObject_Malloc
195854296.0,654725,python,python,_PyObject_Malloc
195110708.0,654826,python,python,dict_dealloc
193398337.0,654785,python,python,_PyDict_Subscript
186829676.0,654792,python,python,_PyEval_FrameClearAndPop
185333285.0,654803,python,python,_PyDict_Subscript
185298932.0,654747,python,python,_PyObject_Malloc
185080089.0,654792,python,python,_PyDict_Subscript
184838919.0,654868,python,python,_PyObject_Malloc
184183180.0,654848,python,python,_PyEval_FrameClearAndPop
183623774.0,654747,python,python,_PyType_LookupStackRefAndVersion
182579870.0,654923,python,python,_PyCode_CheckLineNumber
182079610.0,654747,python,python,_PyEval_EvalFrameDefault
181318842.0,654696,python,python,_PyCode_CheckLineNumber
179949132.0,654785,python,python,_Py_Dealloc
179280764.0,654837,python,python,_PyEval_FrameClearAndPop
178882002.0,654848,python,python,_PyDict_Subscript
178836109.0,654758,python,python,_PyObject_Malloc
178467971.0,654736,python,python,_PyEval_EvalFrameDefault
177955158.0,654703,python,python,_PyObject_Malloc
176528790.0,654696,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
176249242.0,654696,python,python,_PyFrame_ClearExceptCode
174771365.0,654703,python,python,_PyCode_CheckLineNumber
174317503.0,654714,python,python,_PyEval_EvalFrameDefault
172420862.0,654814,python,python,_PyDict_Subscript
172404790.0,654837,python,python,_PyDict_Subscript
171856024.0,654912,python,python,_PyObject_Malloc
170578811.0,654861,python,python,_PyCode_CheckLineNumber
170314719.0,654725,python,python,_PyEval_EvalFrameDefault
169723608.0,654696,python,python,_PyType_LookupStackRefAndVersion
169336430.0,654826,python,python,_PyDict_Subscript
168508381.0,654736,python,python,_PyType_LookupStackRefAndVersion
168109973.0,654837,python,python,dict_dealloc
164967472.0,654725,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
164904782.0,654758,python,python,_PyEval_EvalFrameDefault
163785620.0,654736,python,python,_PyCode_CheckLineNumber
163742088.0,654923,python,python,_PyFrame_ClearExceptCode
163701961.0,654814,python,python,_PyEval_FrameClearAndPop
