self,pid,command,shared_obj,symbol
8779100169.0,1176716,python,python,_PyEval_EvalFrameDefault
7932265451.0,1176761,python,python,_PyEval_EvalFrameDefault
7838588056.0,1176801,python,python,_PyEval_EvalFrameDefault
7763228506.0,1176749,python,python,_PyEval_EvalFrameDefault
7655209190.0,1176814,python,python,_PyEval_EvalFrameDefault
7637608541.0,1176737,python,python,_PyEval_EvalFrameDefault
7380805533.0,1176716,python,python,_Py_dict_lookup
6911583622.0,1176737,python,python,_Py_dict_lookup
6895658885.0,1176761,python,python,_Py_dict_lookup
6758156004.0,1176749,python,python,_Py_dict_lookup
6738619979.0,1176801,python,python,_Py_dict_lookup
6737892560.0,1176814,python,python,_Py_dict_lookup
4414037374.0,1176716,python,python,PyObject_RichCompareBool
4018118167.0,1176814,python,python,PyObject_RichCompareBool
4002836346.0,1176749,python,python,PyObject_RichCompareBool
3930520209.0,1176737,python,python,PyObject_RichCompareBool
3880244224.0,1176761,python,python,PyObject_RichCompareBool
3821559668.0,1176801,python,python,PyObject_RichCompareBool
2843592594.0,1176716,python,python,tuple_richcompare
2689257147.0,1176761,python,python,tuple_richcompare
2687217522.0,1176801,python,python,tuple_richcompare
2588782624.0,1176737,python,python,tuple_richcompare
2576984356.0,1176749,python,python,tuple_richcompare
2574642453.0,1176814,python,python,tuple_richcompare
1992890363.0,1176716,python,python,_PyDict_Subscript
1842978839.0,1176737,python,python,_PyDict_Subscript
1811796932.0,1176814,python,python,_PyDict_Subscript
1811510312.0,1176761,python,python,_PyDict_Subscript
1789987080.0,1176801,python,python,_PyDict_Subscript
1747264566.0,1176749,python,python,_PyDict_Subscript
1442525372.0,1176716,python,python,_PyLong_GCD
1415514500.0,1176737,python,python,_PyLong_GCD
1407850978.0,1176801,python,python,_PyLong_GCD
1382364555.0,1176814,python,python,_PyLong_GCD
1377433725.0,1176761,python,python,_PyLong_GCD
1353150623.0,1176749,python,python,_PyLong_GCD
1106500864.0,1176716,python,python,_PyObject_Free
1018653256.0,1176761,python,python,_PyObject_Free
981374846.0,1176737,python,python,_PyObject_Free
975633002.0,1176716,python,python,_PyFrame_ClearExceptCode
942721360.0,1176737,python,python,_PyEval_EvalFrameDefault
930498864.0,1176716,python,python,_Py_Dealloc
927496949.0,1176801,python,python,_PyObject_Malloc
922040733.0,1176801,python,python,_PyObject_Free
920177436.0,1176716,python,python,gen_iternext
916284946.0,1176814,python,python,_PyObject_Free
914886964.0,1176814,python,python,_Py_Dealloc
914663270.0,1176814,python,python,_PyEval_EvalFrameDefault
912174915.0,1176749,python,python,_PyEval_EvalFrameDefault
912008723.0,1176761,python,python,_PyEval_EvalFrameDefault
892939460.0,1176801,python,python,gen_iternext
877164323.0,1176801,python,python,_PyEval_EvalFrameDefault
872151067.0,1176801,python,python,_Py_Dealloc
871535449.0,1176737,python,python,_PyObject_Malloc
859131932.0,1176749,python,python,_PyObject_Free
850430067.0,1176814,python,python,_PyFrame_ClearExceptCode
