self,pid,command,shared_obj,symbol
666639211.0,1900358,python,python,_Py_Dealloc
648782643.0,1900325,python,python,_Py_Dealloc
631589887.0,1900369,python,python,_Py_Dealloc
618654028.0,1900347,python,python,_Py_Dealloc
608579463.0,1900336,python,python,_Py_Dealloc
605563608.0,1900301,python,python,_Py_Dealloc
555256058.0,1900358,python,python,PyFloat_FromDouble
550759216.0,1900347,python,python,PyFloat_FromDouble
449199460.0,1900301,python,python,PyFloat_FromDouble
421867584.0,1900369,python,python,PyFloat_FromDouble
412193530.0,1900325,python,python,PyFloat_FromDouble
387062033.0,1900301,python,libm.so.6,__ieee754_pow_fma
386817541.0,1900325,python,libm.so.6,__ieee754_pow_fma
381372259.0,1900358,python,libm.so.6,__ieee754_pow_fma
378607862.0,1900336,python,libm.so.6,__ieee754_pow_fma
370446323.0,1900336,python,python,PyFloat_FromDouble
366487276.0,1900347,python,libm.so.6,__ieee754_pow_fma
342764237.0,1900369,python,libm.so.6,__ieee754_pow_fma
222992037.0,1900347,python,python,float_dealloc
215871238.0,1900336,python,python,float_dealloc
197150732.0,1900347,python,python,_Py_NewReference
189168042.0,1900369,python,python,float_dealloc
188007684.0,1900301,python,python,float_dealloc
174192795.0,1900358,python,python,_Py_NewReference
169113518.0,1900369,python,python,_Py_NewReference
166516865.0,1900358,python,python,float_dealloc
166096723.0,1900301,python,python,_Py_NewReference
158242708.0,1900336,python,python,_Py_NewReference
157209685.0,1900325,python,python,float_dealloc
155939608.0,1900325,python,python,_Py_NewReference
127823404.0,1900369,python,python,float_pow
120747070.0,1900336,python,python,float_pow
113687276.0,1900325,python,python,float_pow
91943731.0,1900347,python,python,float_pow
88157115.0,1900358,python,python,float_pow
87039989.0,1900301,python,python,float_pow
75313602.0,1900325,python,python,_Py_Dealloc
69439043.0,1900301,python,python,_Py_Dealloc
65195804.0,1900358,python,python,_Py_Dealloc
64003122.0,1900336,python,python,_Py_Dealloc
63421357.0,1900369,python,python,_Py_Dealloc
60009385.0,1900325,python,python,_PyFloat_ExactDealloc
59295108.0,1900336,python,python,_PyFloat_ExactDealloc
57560185.0,1900347,python,python,_Py_Dealloc
56337255.0,1900358,python,python,PyFloat_FromDouble
54853869.0,1900369,python,python,_PyFloat_ExactDealloc
53549768.0,1900347,python,python,_PyFloat_ExactDealloc
53538493.0,1900301,python,python,_PyNumber_PowerNoMod
53461261.0,1900358,python,python,_PyFloat_ExactDealloc
48908740.0,1900347,python,python,PyFloat_FromDouble
46424650.0,1900325,python,python,PyFloat_FromDouble
46108455.0,1900301,python,python,PyFloat_FromDouble
45580037.0,1900336,python,python,_PyNumber_PowerNoMod
45527806.0,1900369,python,python,_PyNumber_PowerNoMod
45150006.0,1900369,python,libm.so.6,__ieee754_pow_fma
44629009.0,1900369,python,libm.so.6,pow@@GLIBC_2.29
43610423.0,1900358,python,python,_PyNumber_PowerNoMod
43527049.0,1900301,python,python,_PyFloat_ExactDealloc
42176767.0,1900301,python,libm.so.6,__ieee754_pow_fma
41577094.0,1900369,python,python,PyFloat_FromDouble
41182635.0,1900325,python,python,_PyNumber_PowerNoMod
40540704.0,1900336,python,python,PyFloat_FromDouble
38657632.0,1900347,python,libm.so.6,__ieee754_pow_fma
38625231.0,1900347,python,python,_PyNumber_PowerNoMod
35673042.0,1900358,python,[JIT],0x0000791cd88a5124
35657648.0,1900358,python,libm.so.6,pow@@GLIBC_2.29
34505085.0,1900336,python,libm.so.6,__ieee754_pow_fma
34398203.0,1900358,python,libm.so.6,__ieee754_pow_fma
34329695.0,1900325,python,libm.so.6,pow@@GLIBC_2.29
33687777.0,1900358,python,[JIT],0x0000791cd88a5435
