self,pid,command,shared_obj,symbol
4770966765.0,2694587,python,python,set_lookkey
4465959779.0,2694607,python,python,set_lookkey
4459986474.0,2694641,python,python,set_lookkey
4422172965.0,2694680,python,python,set_lookkey
4421006943.0,2694619,python,python,set_lookkey
4309894339.0,2694654,python,python,set_lookkey
4298894430.0,2694630,python,python,set_lookkey
3968376114.0,2694587,python,python,unicodekeys_lookup_unicode
3611200438.0,2694641,python,python,unicodekeys_lookup_unicode
3551034521.0,2694654,python,python,unicodekeys_lookup_unicode
3539520681.0,2694680,python,python,unicodekeys_lookup_unicode
3533032674.0,2694619,python,python,unicodekeys_lookup_unicode
3524075135.0,2694630,python,python,unicodekeys_lookup_unicode
3474436539.0,2694607,python,python,unicodekeys_lookup_unicode
2854073773.0,2694587,python,python,dictiter_iternextkey
2682997344.0,2694654,python,python,dictiter_iternextkey
2665181447.0,2694630,python,python,dictiter_iternextkey
2596013081.0,2694619,python,python,dictiter_iternextkey
2584816189.0,2694607,python,python,dictiter_iternextkey
2570758282.0,2694641,python,python,dictiter_iternextkey
2536833098.0,2694680,python,python,dictiter_iternextkey
1076898241.0,2694587,python,python,build_indices_unicode
997152584.0,2694607,python,python,build_indices_unicode
994004841.0,2694641,python,python,build_indices_unicode
990473141.0,2694680,python,python,build_indices_unicode
982359517.0,2694654,python,python,build_indices_unicode
980270512.0,2694619,python,python,build_indices_unicode
977772525.0,2694630,python,python,build_indices_unicode
483559308.0,2694587,python,libc.so.6,__memcmp_avx2_movbe
459521410.0,2694607,python,python,set_lookkey
455629632.0,2694607,python,libc.so.6,__memcmp_avx2_movbe
448260172.0,2694641,python,python,set_lookkey
443639350.0,2694680,python,libc.so.6,__memcmp_avx2_movbe
443507407.0,2694654,python,libc.so.6,__memcmp_avx2_movbe
443180660.0,2694680,python,python,set_lookkey
439734982.0,2694641,python,libc.so.6,__memcmp_avx2_movbe
439378775.0,2694630,python,python,set_lookkey
436582723.0,2694619,python,libc.so.6,__memcmp_avx2_movbe
433400680.0,2694630,python,libc.so.6,__memcmp_avx2_movbe
430348449.0,2694654,python,python,set_lookkey
428683584.0,2694619,python,python,_PyDict_Subscript
423720847.0,2694587,python,[JIT],0x000072f4cb32511f
411553348.0,2694587,python,python,_PyDict_Subscript
410637562.0,2694607,python,python,_PyDict_Subscript
409864044.0,2694680,python,python,_PyDict_Subscript
407593591.0,2694641,python,python,_PyDict_Subscript
399068876.0,2694630,python,[JIT],0x00007b943a12511f
379940256.0,2694630,python,python,_PyDict_Subscript
378760723.0,2694607,python,[JIT],0x0000758ad714911f
377169215.0,2694680,python,[JIT],0x00007dc9a85bd11f
373630930.0,2694654,python,python,_PyDict_Subscript
363149750.0,2694619,python,[JIT],0x000075eab535211f
358421968.0,2694654,python,python,unicodekeys_lookup_unicode
355789168.0,2694654,python,[JIT],0x0000756c7582e11f
352353091.0,2694641,python,[JIT],0x00007ff37cd6e11f
348900612.0,2694680,python,python,unicodekeys_lookup_unicode
343890015.0,2694607,python,python,unicodekeys_lookup_unicode
343121165.0,2694630,python,python,unicodekeys_lookup_unicode
325497838.0,2694641,python,python,unicodekeys_lookup_unicode
285522623.0,2694630,python,python,dictiter_iternextkey
276123195.0,2694641,python,python,dictiter_iternextkey
265655586.0,2694654,python,python,dictiter_iternextkey
264812143.0,2694607,python,python,dictiter_iternextkey
262597749.0,2694680,python,python,dictiter_iternextkey
227421223.0,2694654,python,python,_PyEval_EvalFrameDefault
223494273.0,2694641,python,python,_PyEval_EvalFrameDefault
219020843.0,2694587,python,python,_PyEval_EvalFrameDefault
216493866.0,2694680,python,python,_PyEval_EvalFrameDefault
210768626.0,2694587,python,python,set_dealloc
194937557.0,2694619,python,python,set_dealloc
193297912.0,2694630,python,python,set_dealloc
192206838.0,2694654,python,python,set_dealloc
192098174.0,2694607,python,python,_PyEval_EvalFrameDefault
191240592.0,2694680,python,python,set_dealloc
191215735.0,2694641,python,python,set_dealloc
190987258.0,2694630,python,python,_PyEval_EvalFrameDefault
187212978.0,2694607,python,python,set_dealloc
176145036.0,2694630,python,python,_PySet_Contains
173033188.0,2694587,python,python,dictkeys_decref.part.0.constprop.0
169495157.0,2694654,python,python,_PySet_Contains
168503272.0,2694619,python,python,_PyEval_EvalFrameDefault
162098719.0,2694607,python,python,_PySet_Contains
156635965.0,2694680,python,python,dictkeys_decref.part.0.constprop.0
156001983.0,2694587,python,python,list_dealloc
154716600.0,2694654,python,python,dictkeys_decref.part.0.constprop.0
152525894.0,2694641,python,python,dictkeys_decref.part.0.constprop.0
152331749.0,2694619,python,python,dictkeys_decref.part.0.constprop.0
151483254.0,2694607,python,python,dictkeys_decref.part.0.constprop.0
150982384.0,2694630,python,python,dictkeys_decref.part.0.constprop.0
148932692.0,2694587,python,python,unicode_hash
148332786.0,2694619,python,python,_PySet_Contains
147722585.0,2694587,python,python,deque_clear.part.0
147128395.0,2694587,python,python,_PySet_Contains
145648716.0,2694607,python,python,list_dealloc
144565319.0,2694619,python,python,list_dealloc
143380732.0,2694680,python,python,_PySet_Contains
142583579.0,2694680,python,python,list_dealloc
139619218.0,2694630,python,python,unicode_hash
138611680.0,2694641,python,python,list_dealloc
138589192.0,2694630,python,python,list_dealloc
135355953.0,2694630,python,python,deque_clear.part.0
133152479.0,2694654,python,python,list_dealloc
132148280.0,2694641,python,python,deque_clear.part.0
131672660.0,2694641,python,python,_PySet_Contains
131583915.0,2694607,python,python,unicode_hash
131164364.0,2694680,python,python,deque_clear.part.0
130798228.0,2694654,python,python,deque_clear.part.0
129632947.0,2694654,python,python,unicode_hash
128501217.0,2694607,python,python,deque_clear.part.0
127633447.0,2694619,python,python,unicode_hash
126678051.0,2694619,python,python,deque_clear.part.0
126340389.0,2694641,python,python,unicode_hash
125469711.0,2694680,python,python,unicode_hash
120651768.0,2694587,python,python,PyObject_Hash
118095392.0,2694607,python,libc.so.6,__memset_avx2_unaligned_erms
112862229.0,2694680,python,python,PyObject_Hash
108441505.0,2694587,python,python,set_table_resize
104017185.0,2694619,python,python,PyObject_Hash
99649016.0,2694680,python,python,build_indices_unicode
99409644.0,2694680,python,python,set_table_resize
99051850.0,2694654,python,python,build_indices_unicode
98287514.0,2694607,python,python,set_table_resize
97146668.0,2694630,python,python,build_indices_unicode
96909832.0,2694587,python,python,_Py_dict_lookup
96696042.0,2694641,python,python,build_indices_unicode
96644553.0,2694654,python,python,set_table_resize
96342332.0,2694607,python,python,build_indices_unicode
94967455.0,2694630,python,python,set_table_resize
94035104.0,2694641,python,libc.so.6,__memset_avx2_unaligned_erms
93873369.0,2694619,python,python,set_table_resize
93464647.0,2694587,python,python,_PyObject_Free
92739550.0,2694587,python,libc.so.6,__memset_avx2_unaligned_erms
91128754.0,2694641,python,python,set_table_resize
90984811.0,2694680,python,libc.so.6,__memset_avx2_unaligned_erms
90107442.0,2694641,python,python,set_add_entry_takeref
88118335.0,2694619,python,libc.so.6,__memset_avx2_unaligned_erms
87653963.0,2694680,python,python,_Py_dict_lookup
87520740.0,2694654,python,python,_Py_dict_lookup
87174323.0,2694630,python,python,_PyObject_Free
86881974.0,2694607,python,python,_Py_dict_lookup
85790813.0,2694641,python,python,PyObject_Hash
84883749.0,2694654,python,python,PyObject_Hash
82043920.0,2694607,python,python,PyObject_Hash
81989128.0,2694630,python,libc.so.6,__memset_avx2_unaligned_erms
79679523.0,2694630,python,python,PyObject_Hash
78787754.0,2694654,python,libc.so.6,__memset_avx2_unaligned_erms
78072416.0,2694587,python,python,set_add_entry_takeref
78051284.0,2694630,python,python,set_add_entry_takeref
77794480.0,2694630,python,python,_Py_dict_lookup
77036827.0,2694607,python,python,set_add_entry_takeref
76260530.0,2694619,python,python,_PyObject_Free
75834216.0,2694619,python,python,_Py_dict_lookup
75238029.0,2694619,python,[JIT],0x000075eab535211b
72171687.0,2694587,python,[kernel.kallsyms],__irqentry_text_end
71994778.0,2694680,python,python,set_add_entry_takeref
71238988.0,2694641,python,python,_Py_dict_lookup
70883040.0,2694654,python,python,set_add_entry_takeref
70328530.0,2694630,python,[kernel.kallsyms],__irqentry_text_end
70139051.0,2694654,python,python,_PyObject_Free
69298649.0,2694641,python,[kernel.kallsyms],__irqentry_text_end
68321643.0,2694680,python,python,_PyObject_Free
68218456.0,2694641,python,python,insertdict
68156925.0,2694680,python,python,insertdict
67999990.0,2694587,python,python,_Py_Dealloc
67919851.0,2694654,python,[kernel.kallsyms],__irqentry_text_end
67195344.0,2694607,python,python,_PyObject_Free
67095778.0,2694680,python,python,merge_from_seq2_lock_held
66863869.0,2694654,python,python,insertdict
