self,pid,command,shared_obj,symbol
269828719.0,563354,python,python,_PyObject_Malloc
265507081.0,563365,python,python,_PyObject_Malloc
264928878.0,563409,python,python,_PyObject_Malloc
259284479.0,563409,python,python,_PyObject_Free
255336276.0,563376,python,python,_PyObject_Free
250548788.0,563347,python,python,PySlice_AdjustIndices
250532946.0,563387,python,python,set_add_entry_takeref
250430422.0,563409,python,python,set_add_entry_takeref
248289894.0,563347,python,python,_PyObject_Free
247723683.0,563398,python,python,_PyObject_Free
247257378.0,563347,python,python,_Py_Dealloc
245418800.0,563347,python,python,set_add_entry_takeref
239694082.0,563347,python,python,_PyObject_Malloc
230473258.0,563387,python,python,_PyObject_Malloc
229612540.0,563365,python,python,_PyObject_Free
225642864.0,563354,python,python,_PyObject_Free
222705684.0,563398,python,python,_PyObject_Malloc
221779680.0,563398,python,python,set_add_entry_takeref
220915542.0,563365,python,python,set_add_entry_takeref
219783194.0,563354,python,python,set_add_entry_takeref
219696532.0,563387,python,python,_PyObject_Free
216547906.0,563387,python,python,_Py_Dealloc
213395724.0,563398,python,python,PySlice_AdjustIndices
212766052.0,563376,python,python,_PyObject_Malloc
211350668.0,563365,python,python,PySlice_AdjustIndices
210729972.0,563409,python,python,_Py_Dealloc
205882349.0,563376,python,python,set_add_entry_takeref
203836709.0,563376,python,python,PySlice_AdjustIndices
198312728.0,563365,python,python,_Py_Dealloc
196364610.0,563387,python,python,PySlice_AdjustIndices
183109175.0,563398,python,python,_Py_Dealloc
179135237.0,563376,python,python,_Py_Dealloc
178096362.0,563409,python,python,PySlice_AdjustIndices
171175706.0,563354,python,python,_Py_Dealloc
168253322.0,563354,python,python,PySlice_AdjustIndices
144196214.0,563409,python,python,PyList_New.constprop.0
140631690.0,563347,python,python,set_dealloc
131598933.0,563409,python,python,func_clear
126867745.0,563409,python,libc.so.6,__memmove_avx_unaligned_erms
125558838.0,563354,python,python,set_dealloc
124813024.0,563409,python,python,_PyCompactLong_Add
116887334.0,563387,python,python,set_dealloc
115754907.0,563347,python,python,_PyCompactLong_Add
113876060.0,563387,python,python,PyList_New.constprop.0
113215034.0,563387,python,python,_PyCompactLong_Add
110784806.0,563376,python,python,set_dealloc
110649399.0,563409,python,python,set_dealloc
107744696.0,563398,python,python,set_dealloc
104962091.0,563376,python,python,_PyCompactLong_Add
104210823.0,563409,python,python,PyObject_GC_UnTrack
103012134.0,563354,python,python,_PyCompactLong_Add
103010302.0,563354,python,python,_PyDict_LoadBuiltinsFromGlobals
101992605.0,563398,python,python,_PyCompactLong_Add
101854556.0,563354,python,python,PyList_New.constprop.0
101781784.0,563347,python,python,PyList_New.constprop.0
101015038.0,563387,python,libc.so.6,__memmove_avx_unaligned_erms
100163035.0,563365,python,python,set_dealloc
100101763.0,563398,python,python,PyList_New.constprop.0
99047485.0,563354,python,python,PyObject_GC_UnTrack
97037224.0,563376,python,python,_PyDict_LoadBuiltinsFromGlobals
95825965.0,563347,python,python,set_table_resize
92399564.0,563347,python,python,unicodekeys_lookup_unicode
92164274.0,563387,python,python,gen_dealloc
88146946.0,563387,python,python,PyObject_GC_UnTrack
87195654.0,563398,python,python,PyObject_GC_UnTrack
87191776.0,563347,python,python,list_dealloc
84949714.0,563365,python,python,PyList_New.constprop.0
84820552.0,563409,python,python,list_slice_lock_held
83043180.0,563398,python,python,_PyDict_LoadBuiltinsFromGlobals
82311236.0,563409,python,python,_PyDict_LoadBuiltinsFromGlobals
82108115.0,563376,python,python,list_dealloc
81627786.0,563365,python,python,_PyCompactLong_Add
81567289.0,563376,python,libc.so.6,__memmove_avx_unaligned_erms
81185620.0,563347,python,python,PyFunction_NewWithQualName
80484573.0,563409,python,python,PyFunction_NewWithQualName
78410203.0,563365,python,python,PyObject_GC_UnTrack
78145606.0,563354,python,python,list_dealloc
77507475.0,563409,python,python,PyLong_FromLong
76458563.0,563409,python,python,list_dealloc
76288526.0,563365,python,python,list_dealloc
76232285.0,563347,python,python,PyObject_GC_UnTrack
76222223.0,563387,python,python,list_dealloc
76179317.0,563387,python,python,_PyDict_LoadBuiltinsFromGlobals
75451372.0,563365,python,python,func_clear
75332430.0,563398,python,python,list_dealloc
75252924.0,563398,python,python,PyFunction_NewWithQualName
75156588.0,563347,python,python,list_ass_slice_lock_held
73247260.0,563398,python,python,_PyTypeCache_Lookup
72210386.0,563376,python,python,PyList_New.constprop.0
71397629.0,563387,python,python,PyLong_FromLong
71337559.0,563409,python,python,set_table_resize
71260158.0,563354,python,python,_PyFrame_ClearExceptCode
71214998.0,563347,python,python,PyLong_FromLong
70770457.0,563409,python,python,list_ass_subscript
70708695.0,563365,python,libc.so.6,__memmove_avx_unaligned_erms
69874677.0,563409,python,python,_PyList_BinarySlice
69363493.0,563354,python,python,func_clear
69183139.0,563376,python,python,_PyObject_Realloc
68736349.0,563365,python,python,_PyDict_LoadBuiltinsFromGlobals
67413447.0,563376,python,python,PyLong_FromLong
67350204.0,563376,python,python,_PyTypeCache_Lookup
67211935.0,563354,python,python,PyFunction_NewWithQualName
66315076.0,563376,python,python,PyObject_GC_UnTrack
66276479.0,563347,python,python,_PyDict_LoadBuiltinsFromGlobals
65351654.0,563347,python,python,func_clear
65330288.0,563398,python,python,set_table_resize
64402775.0,563398,python,libc.so.6,__memmove_avx_unaligned_erms
64395914.0,563387,python,python,PyFunction_NewWithQualName
64289346.0,563354,python,libc.so.6,__memmove_avx_unaligned_erms
63691432.0,563365,python,python,PyFunction_NewWithQualName
62700416.0,563409,python,python,_PyCompactLong_Subtract
62598324.0,563409,python,python,list_ass_slice_lock_held
62426823.0,563347,python,python,list_slice_lock_held
62254986.0,563354,python,python,PyLong_FromLong
62235239.0,563354,python,python,unicodekeys_lookup_unicode
61381001.0,563398,python,python,func_clear
61252278.0,563347,python,libc.so.6,__memmove_avx_unaligned_erms
60974699.0,563365,python,python,_PyCompactLong_Subtract
60838125.0,563409,python,python,_PyList_Concat
60250685.0,563398,python,python,list_ass_subscript
59800305.0,563365,python,python,PyLong_FromLong
59765809.0,563409,python,python,_PyObject_Realloc
59275103.0,563398,python,python,make_gen
58944556.0,563365,python,python,set_table_resize
58371255.0,563387,python,python,_PyList_BinarySlice
58312575.0,563347,python,python,make_range_object
58193343.0,563347,python,python,tuple_dealloc
57474454.0,563387,python,python,unicodekeys_lookup_unicode
57459047.0,563347,python,python,gen_dealloc
57421912.0,563347,python,python,_PyTypeCache_Lookup
57365778.0,563398,python,python,unicodekeys_lookup_unicode
57352997.0,563347,python,python,_PyEval_SliceIndex
57318136.0,563398,python,python,list_ass_slice_lock_held
57304232.0,563354,python,python,list_ass_slice_lock_held
56737807.0,563387,python,python,list_ass_slice_lock_held
56455380.0,563398,python,python,PyLong_FromLong
55547158.0,563354,python,python,_PyEval_SliceIndex
55479736.0,563376,python,python,list_slice_lock_held
55405374.0,563376,python,python,set_table_resize
55354122.0,563354,python,python,set_table_resize
55110029.0,563409,python,python,unicodekeys_lookup_unicode
54519715.0,563376,python,python,_PyTuple_FromStackRefStealOnSuccess
54310206.0,563347,python,python,_PyFrame_ClearExceptCode
53945739.0,563409,python,python,_PyTypeCache_Lookup
53472908.0,563354,python,python,_PyTypeCache_Lookup
53267053.0,563354,python,python,list_ass_subscript
52605126.0,563376,python,python,PyFunction_NewWithQualName
51528634.0,563398,python,python,range_iter
51488921.0,563398,python,python,_PyList_BinarySlice
51385581.0,563354,python,python,_PyCompactLong_Subtract
51303615.0,563409,python,python,_PyEval_SliceIndex
51254021.0,563347,python,python,range_reverse
51242283.0,563347,python,python,_PyList_BinarySlice
51224840.0,563409,python,python,make_range_object
51189515.0,563365,python,python,list_ass_slice_lock_held
51156857.0,563409,python,python,func_dealloc
51044424.0,563409,python,python,_PyTuple_FromStackRefStealOnSuccess
50583383.0,563387,python,python,_Py_dict_lookup
50563097.0,563387,python,python,_PyObject_Realloc
50468750.0,563376,python,python,list_ass_slice_lock_held
50446817.0,563376,python,python,unicodekeys_lookup_unicode
50375411.0,563409,python,python,tuple_dealloc
50248743.0,563387,python,python,range_iter
50178348.0,563365,python,python,tuple_dealloc
50150677.0,563347,python,python,range_iter
49597463.0,563387,python,python,set_table_resize
49579926.0,563387,python,python,PyCMethod_New
49496788.0,563398,python,python,_PyObject_Realloc
49086552.0,563409,python,python,_PyBuildSlice_ConsumeRefs
48944445.0,563365,python,python,PyCMethod_New
48523298.0,563398,python,[JIT],0x00007cc8a1c13108
48447342.0,563398,python,python,make_range_object
47600905.0,563387,python,python,func_clear
47511260.0,563376,python,python,list_ass_subscript
47507305.0,563398,python,python,_PyEval_SliceIndex
47480794.0,563376,python,python,make_range_object
47168861.0,563387,python,python,_PyBuildSlice_ConsumeRefs
47149704.0,563365,python,python,list_ass_subscript
47134535.0,563365,python,python,unicodekeys_lookup_unicode
47108085.0,563365,python,python,_PyEval_SliceIndex
46603733.0,563387,python,python,_PyTuple_FromStackRefStealOnSuccess
46576926.0,563387,python,python,_PyEval_SliceIndex
46491709.0,563387,python,python,_PyCompactLong_Subtract
46414381.0,563376,python,python,_PyList_BinarySlice
46219549.0,563365,python,python,method_get
45607672.0,563347,python,python,func_dealloc
45600446.0,563387,python,python,_PyTypeCache_Lookup
45580584.0,563365,python,python,list_slice_lock_held
45549664.0,563376,python,[JIT],0x00007c3608d3c108
45397241.0,563354,python,python,gen_dealloc
45350192.0,563376,python,python,_PyFrame_ClearExceptCode
45205766.0,563398,python,python,list_slice_lock_held
