self,pid,command,shared_obj,symbol
328770179.0,3224972,python,[kernel.kallsyms],memset_orig
303909478.0,3224972,python,[kernel.kallsyms],syscall_return_via_sysret
283673757.0,3224991,python,[kernel.kallsyms],memset_orig
278826425.0,3225013,python,[kernel.kallsyms],memset_orig
276346179.0,3225002,python,python,_PyObject_Malloc
276236584.0,3224972,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
272220130.0,3224972,python,python,_PyObject_Malloc
266501891.0,3225002,python,[kernel.kallsyms],memset_orig
262711489.0,3224972,python,python,_PyEval_EvalFrameDefault
261416842.0,3225002,python,[kernel.kallsyms],syscall_return_via_sysret
261276474.0,3225037,python,[kernel.kallsyms],memset_orig
255302270.0,3225048,python,[kernel.kallsyms],syscall_return_via_sysret
255098085.0,3224980,python,python,_PyObject_Malloc
252846550.0,3224991,python,[kernel.kallsyms],syscall_return_via_sysret
250552157.0,3224980,python,[kernel.kallsyms],memset_orig
249379119.0,3225037,python,[kernel.kallsyms],syscall_return_via_sysret
247532425.0,3225037,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
246543112.0,3224980,python,[kernel.kallsyms],syscall_return_via_sysret
242568530.0,3225013,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
241474242.0,3225048,python,[kernel.kallsyms],memset_orig
234147970.0,3224991,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
232599263.0,3224991,python,python,_PyEval_EvalFrameDefault
231531408.0,3224980,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
231162624.0,3225013,python,python,_PyObject_Malloc
228423953.0,3225002,python,python,_PyEval_EvalFrameDefault
223829946.0,3225002,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
223731596.0,3225048,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
222865616.0,3225037,python,python,_PyEval_EvalFrameDefault
221597886.0,3224980,python,python,_PyEval_EvalFrameDefault
220509424.0,3225037,python,python,_PyObject_Malloc
215877583.0,3225013,python,[kernel.kallsyms],syscall_return_via_sysret
215609149.0,3225048,python,python,_PyObject_Malloc
215520785.0,3225013,python,python,_PyEval_EvalFrameDefault
214246133.0,3224991,python,python,_PyObject_Malloc
209872927.0,3224972,python,python,_PyObject_Free
208881595.0,3225048,python,python,_PyEval_EvalFrameDefault
200413969.0,3224991,python,python,_PyObject_Free
197841593.0,3225048,python,python,_PyObject_Free
188167655.0,3224972,python,python,_Py_Dealloc
185043427.0,3225013,python,python,_Py_Dealloc
183934151.0,3225037,python,python,_PyObject_Free
182177655.0,3224980,python,python,_PyObject_Free
165634006.0,3225013,python,python,_PyObject_Free
164916220.0,3224991,python,python,_Py_Dealloc
164410515.0,3224972,python,[kernel.kallsyms],__d_lookup_rcu
159296456.0,3224980,python,python,_Py_Dealloc
158447541.0,3224980,python,[kernel.kallsyms],__d_lookup_rcu
158439704.0,3225002,python,python,_PyObject_Free
158356872.0,3225048,python,python,_Py_Dealloc
153525505.0,3225002,python,python,_Py_Dealloc
153462454.0,3225037,python,python,_Py_Dealloc
151617590.0,3224972,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
151469364.0,3225002,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
140570311.0,3225048,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
140547057.0,3225037,python,[kernel.kallsyms],__d_lookup_rcu
139966374.0,3225013,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
137644238.0,3225048,python,[kernel.kallsyms],entry_SYSCALL_64
130727230.0,3225037,python,[kernel.kallsyms],entry_SYSCALL_64
130560370.0,3224972,python,[kernel.kallsyms],ext4_htree_store_dirent
128753263.0,3225037,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
128724589.0,3224980,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
126532540.0,3224991,python,[kernel.kallsyms],__d_lookup_rcu
125786348.0,3225002,python,[kernel.kallsyms],__d_lookup_rcu
122676854.0,3224972,python,[kernel.kallsyms],entry_SYSCALL_64
120335272.0,3225013,python,[kernel.kallsyms],entry_SYSCALL_64
120117692.0,3225013,python,[kernel.kallsyms],__d_lookup_rcu
117859555.0,3224972,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
115284523.0,3224980,python,[kernel.kallsyms],ext4_htree_store_dirent
114672736.0,3225048,python,[kernel.kallsyms],__d_lookup_rcu
113645376.0,3224991,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
109182451.0,3224991,python,[kernel.kallsyms],ext4_htree_store_dirent
107634644.0,3224991,python,[kernel.kallsyms],entry_SYSCALL_64
105002072.0,3224980,python,[kernel.kallsyms],entry_SYSCALL_64
104709669.0,3225013,python,[kernel.kallsyms],ext4_htree_store_dirent
102912802.0,3225002,python,[kernel.kallsyms],ext4_htree_store_dirent
96828483.0,3225048,python,[kernel.kallsyms],ext4_htree_store_dirent
96180734.0,3224972,python,[kernel.kallsyms],str2hashbuf_signed
93451651.0,3225037,python,[kernel.kallsyms],ext4_htree_store_dirent
93081794.0,3224972,python,python,_PyType_LookupStackRefAndVersion
92869997.0,3224991,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
92079039.0,3225002,python,[kernel.kallsyms],filldir64
90899302.0,3224980,python,python,_PyFrame_ClearExceptCode
90154458.0,3224972,python,python,_PyFrame_ClearExceptCode
89767770.0,3224972,python,[kernel.kallsyms],filldir64
89116901.0,3225048,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
86544219.0,3225002,python,[kernel.kallsyms],half_md4_transform.isra.0
84027535.0,3225002,python,python,_PyType_LookupStackRefAndVersion
83893070.0,3224972,python,python,initialize_locals
83204381.0,3224991,python,python,_PyType_LookupStackRefAndVersion
83101226.0,3225002,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
81158618.0,3224980,python,[kernel.kallsyms],filldir64
81156591.0,3225002,python,[kernel.kallsyms],entry_SYSCALL_64
81105907.0,3224972,python,[kernel.kallsyms],half_md4_transform.isra.0
80738861.0,3225013,python,python,_PyFrame_ClearExceptCode
80645430.0,3225048,python,python,_PyFrame_ClearExceptCode
80270095.0,3225048,python,[kernel.kallsyms],filldir64
80201124.0,3225037,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
80073530.0,3225037,python,python,initialize_locals
79233461.0,3225048,python,python,_PyType_LookupStackRefAndVersion
78893156.0,3225013,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
78470048.0,3225013,python,[kernel.kallsyms],half_md4_transform.isra.0
78132697.0,3224980,python,python,_PyType_LookupStackRefAndVersion
76274014.0,3224980,python,[kernel.kallsyms],link_path_walk.part.0.constprop.0
75563976.0,3225013,python,python,_PyType_LookupStackRefAndVersion
75207587.0,3225048,python,python,_PyEvalFramePushAndInit
74260691.0,3225037,python,python,_PyType_LookupStackRefAndVersion
74235336.0,3225002,python,python,take_gil
74217394.0,3225002,python,python,initialize_locals
74168079.0,3224980,python,python,initialize_locals
73732849.0,3225048,python,[kernel.kallsyms],half_md4_transform.isra.0
73478608.0,3225048,python,[kernel.kallsyms],str2hashbuf_signed
72170599.0,3225037,python,python,_PyFrame_ClearExceptCode
71890785.0,3225037,python,[kernel.kallsyms],half_md4_transform.isra.0
71611393.0,3225002,python,[kernel.kallsyms],str2hashbuf_signed
71058327.0,3224980,python,python,take_gil
70199611.0,3225037,python,[kernel.kallsyms],filldir64
68609818.0,3224980,python,[kernel.kallsyms],str2hashbuf_signed
68283976.0,3224991,python,python,initialize_locals
67772615.0,3225013,python,[kernel.kallsyms],str2hashbuf_signed
67198284.0,3224991,python,python,take_gil
67050176.0,3224991,python,python,_PyEvalFramePushAndInit
66748889.0,3225013,python,[kernel.kallsyms],filldir64
66263359.0,3224972,python,python,_PyEvalFramePushAndInit
65383929.0,3225037,python,[kernel.kallsyms],str2hashbuf_signed
65164455.0,3224972,python,python,take_gil
64337807.0,3225048,python,python,unicodekeys_lookup_unicode
63894667.0,3224980,python,[kernel.kallsyms],half_md4_transform.isra.0
63855346.0,3224991,python,[kernel.kallsyms],filldir64
63771201.0,3225013,python,python,initialize_locals
63282795.0,3224991,python,[kernel.kallsyms],half_md4_transform.isra.0
62250849.0,3224991,python,python,structseq_dealloc
62221145.0,3224991,python,python,_PyFrame_ClearExceptCode
60178993.0,3225002,python,python,_PyFrame_ClearExceptCode
59244508.0,3224972,python,[kernel.kallsyms],__kmalloc
59219234.0,3224980,python,[kernel.kallsyms],__kmalloc
59096551.0,3225013,python,python,_PyEvalFramePushAndInit
58462403.0,3224972,python,python,structseq_dealloc
58454775.0,3224972,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
58220959.0,3224991,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
57290106.0,3225048,python,python,initialize_locals
56390447.0,3225037,python,python,_PyEvalFramePushAndInit
56274102.0,3225002,python,python,_PyEvalFramePushAndInit
55516550.0,3225002,python,python,PyLong_FromLongLong
55231599.0,3225013,python,python,PyLong_FromLongLong
