self,pid,command,shared_obj,symbol
928564941.0,2961077,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
646389744.0,2961270,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
627713587.0,2961234,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
622562602.0,2961077,python,python,PyDict_Next
616222066.0,2961256,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
602373054.0,2961184,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
596429198.0,2961140,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
586115712.0,2961129,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
583131626.0,2961096,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
580817822.0,2961173,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
578910669.0,2961303,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
572553398.0,2961151,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
565870403.0,2961118,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
562233552.0,2961314,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
560174570.0,2961084,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
559288046.0,2961195,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
559084602.0,2961107,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
557477268.0,2961162,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
556001350.0,2961292,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
548955840.0,2961222,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
548082940.0,2961245,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
538989676.0,2961281,python,_pickle.cpython-315-x86_64-linux-gnu.so,save.constprop.0
517523424.0,2961077,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
500866576.0,2961077,python,_pickle.cpython-315-x86_64-linux-gnu.so,_Pickler_Write
463329814.0,2961195,python,python,PyDict_Next
449797216.0,2961256,python,python,PyDict_Next
447610732.0,2961151,python,python,PyDict_Next
446394222.0,2961084,python,python,PyDict_Next
444102114.0,2961129,python,python,PyDict_Next
437311039.0,2961162,python,python,PyDict_Next
436571906.0,2961314,python,python,PyDict_Next
433882569.0,2961140,python,python,PyDict_Next
425255048.0,2961303,python,python,PyDict_Next
423752888.0,2961077,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_long
422742746.0,2961222,python,python,PyDict_Next
422740393.0,2961292,python,python,PyDict_Next
420970022.0,2961118,python,python,PyDict_Next
417976037.0,2961281,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
417836844.0,2961234,python,python,PyDict_Next
417655137.0,2961245,python,python,PyDict_Next
413283167.0,2961107,python,python,PyDict_Next
409448448.0,2961096,python,python,PyDict_Next
405575295.0,2961162,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
405566389.0,2961184,python,python,PyDict_Next
401130417.0,2961118,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
401066584.0,2961173,python,python,PyDict_Next
388099993.0,2961096,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
380850526.0,2961245,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
370159595.0,2961140,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
370087853.0,2961107,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
369524536.0,2961151,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
367166421.0,2961270,python,python,PyDict_Next
362954743.0,2961222,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
361250626.0,2961303,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
361132691.0,2961173,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
358622809.0,2961129,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
358429205.0,2961256,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
356735707.0,2961084,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
355721849.0,2961281,python,python,PyDict_Next
351040209.0,2961234,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
350066413.0,2961314,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
338207124.0,2961292,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
323890925.0,2961195,python,_pickle.cpython-315-x86_64-linux-gnu.so,save_dict
