self,pid,command,shared_obj,symbol
477785570.0,2695497,python,python,_Py_dict_lookup
452559765.0,2695497,python,python,_PyEval_EvalFrameDefault
437621458.0,2695550,python,python,_Py_dict_lookup
433795615.0,2695504,python,python,_Py_dict_lookup
424180929.0,2695497,python,python,_PyObject_Malloc
387140377.0,2695504,python,python,_PyObject_Malloc
385830253.0,2695497,python,python,_PyObject_Free
370268807.0,2695562,python,python,_Py_dict_lookup
360798756.0,2695574,python,python,_Py_dict_lookup
355526902.0,2695528,python,python,_PyEval_EvalFrameDefault
346097040.0,2695562,python,python,_PyEval_EvalFrameDefault
338019313.0,2695562,python,python,_PyObject_Malloc
336798925.0,2695528,python,python,_PyObject_Malloc
329414603.0,2695528,python,python,_Py_dict_lookup
326065116.0,2695497,python,python,_PyFrame_ClearExceptCode
322663468.0,2695550,python,python,_PyObject_Free
321254709.0,2695574,python,python,_PyObject_Free
320083468.0,2695550,python,python,_PyEval_EvalFrameDefault
320013887.0,2695574,python,python,_PyEval_EvalFrameDefault
316395927.0,2695528,python,python,_PyFrame_ClearExceptCode
308325187.0,2695574,python,python,_PyObject_Malloc
295706606.0,2695504,python,python,_PyEval_EvalFrameDefault
288182930.0,2695562,python,python,_PyFrame_ClearExceptCode
285964070.0,2695550,python,python,_PyObject_Malloc
285232378.0,2695562,python,python,_PyObject_Free
275483405.0,2695504,python,python,_PyFrame_ClearExceptCode
268992605.0,2695574,python,python,_PyFrame_ClearExceptCode
260779096.0,2695504,python,python,_PyObject_Free
255834555.0,2695550,python,python,_PyFrame_ClearExceptCode
251927258.0,2695528,python,python,_PyObject_Free
213953841.0,2695497,python,python,_Py_Dealloc
193798931.0,2695528,python,python,initialize_locals
193423873.0,2695504,python,python,initialize_locals
188364961.0,2695497,python,python,tuple_dealloc
184612920.0,2695550,python,python,initialize_locals
180587200.0,2695562,python,python,initialize_locals
176581191.0,2695497,python,python,initialize_locals
173957662.0,2695562,python,python,_Py_Dealloc
169817745.0,2695504,python,python,tuple_dealloc
169633901.0,2695504,python,python,_Py_Dealloc
167110177.0,2695574,python,python,initialize_locals
161068473.0,2695550,python,python,_Py_Dealloc
155527527.0,2695528,python,python,tuple_dealloc
155085561.0,2695550,python,python,_PyEval_FrameClearAndPop
151182440.0,2695574,python,python,tuple_dealloc
150123300.0,2695574,python,python,_Py_Dealloc
148151931.0,2695550,python,python,tuple_dealloc
143912961.0,2695497,python,libc.so.6,__strlen_avx2
143891682.0,2695497,python,python,_PyEval_FrameClearAndPop
137610204.0,2695528,python,python,_Py_Dealloc
131475296.0,2695562,python,python,tuple_dealloc
128249985.0,2695497,python,python,_PyEvalFramePushAndInit
127971483.0,2695528,python,python,_PyEval_FrameClearAndPop
127232217.0,2695574,python,libc.so.6,__strlen_avx2
126521934.0,2695504,python,python,_PyEval_FrameClearAndPop
124968772.0,2695562,python,python,_PyEval_FrameClearAndPop
124637803.0,2695574,python,python,_PyEval_FrameClearAndPop
123558743.0,2695562,python,libc.so.6,__strlen_avx2
122374739.0,2695550,python,libc.so.6,__strlen_avx2
122299177.0,2695497,python,python,PyBuffer_FillInfo
120069981.0,2695497,python,python,PyBuffer_Release
118398138.0,2695497,python,python,_Py_BuiltinCallFast_StackRef
114298409.0,2695497,python,libc.so.6,__memmove_avx_unaligned_erms
