self,pid,command,shared_obj,symbol
3097800565.0,4131047,python,python,x_divrem
3095972770.0,4131000,python,python,x_divrem
3065990929.0,4131024,python,python,k_mul
3056822903.0,4131035,python,python,x_divrem
3055270416.0,4130987,python,python,x_divrem
3043224576.0,4130976,python,python,x_divrem
3024135988.0,4130987,python,python,k_mul
3003486976.0,4131024,python,python,x_divrem
2963308540.0,4131035,python,python,k_mul
2940154231.0,4131047,python,python,k_mul
2933221930.0,4130976,python,python,k_mul
2922447120.0,4131000,python,python,k_mul
1156987832.0,4130976,python,python,x_add
1134047593.0,4131035,python,python,x_add
1114359157.0,4131024,python,python,x_add
1113436625.0,4131000,python,python,x_add
1109440459.0,4131047,python,python,x_add
1060635287.0,4130987,python,python,x_add
530739566.0,4131047,python,python,x_sub
518585225.0,4130987,python,python,x_sub
517217727.0,4131024,python,python,x_sub
514388347.0,4130976,python,python,x_sub
511993194.0,4131035,python,python,x_sub
504312646.0,4131000,python,python,x_sub
324504509.0,4131000,python,python,x_divrem
321778206.0,4131047,python,python,x_divrem
316952259.0,4131024,python,python,x_divrem
314926899.0,4130987,python,python,x_divrem
307921622.0,4130976,python,python,x_divrem
297309098.0,4131035,python,python,k_mul
285083175.0,4130976,python,python,k_mul
283160233.0,4131024,python,python,k_mul
282310193.0,4131035,python,python,x_divrem
279172310.0,4130987,python,python,k_mul
278468837.0,4131047,python,python,k_mul
277989664.0,4131000,python,python,k_mul
253652975.0,4131047,python,libc.so.6,__memset_avx2_unaligned_erms
247479493.0,4130976,python,libc.so.6,__memset_avx2_unaligned_erms
242515560.0,4130987,python,libc.so.6,__memset_avx2_unaligned_erms
232687281.0,4131035,python,libc.so.6,__memset_avx2_unaligned_erms
214202857.0,4131000,python,libc.so.6,__memset_avx2_unaligned_erms
206029719.0,4131024,python,libc.so.6,__memset_avx2_unaligned_erms
153641083.0,4131047,python,libc.so.6,_int_malloc
151141343.0,4131024,python,libc.so.6,_int_malloc
138762355.0,4131035,python,libc.so.6,_int_malloc
131776922.0,4131000,python,libc.so.6,_int_malloc
127796973.0,4130987,python,libc.so.6,_int_malloc
126617642.0,4130976,python,libc.so.6,_int_malloc
126442676.0,4131035,python,python,x_add
113888390.0,4130976,python,python,x_add
109817476.0,4131000,python,python,x_add
107867638.0,4130987,python,python,x_add
106843646.0,4131047,python,python,x_add
104742917.0,4131024,python,python,x_add
63132544.0,4131024,python,python,x_sub
58484495.0,4130987,python,python,x_sub
57448489.0,4130976,python,python,_PyEval_EvalFrameDefault
57148120.0,4131024,python,python,_PyEval_EvalFrameDefault
53368547.0,4130976,python,python,x_sub
52387662.0,4131047,python,python,x_sub
52176114.0,4131035,python,python,x_sub
51123221.0,4131047,python,python,_PyEval_EvalFrameDefault
50148289.0,4131035,python,python,_PyEval_EvalFrameDefault
49595060.0,4130987,python,python,_PyEval_EvalFrameDefault
43572784.0,4131047,python,libc.so.6,_int_free_merge_chunk
43535931.0,4131000,python,python,_PyEval_EvalFrameDefault
42578966.0,4131000,python,python,x_sub
42086337.0,4131000,python,python,_Py_Dealloc
40385871.0,4131000,python,libc.so.6,_int_free_merge_chunk
39607857.0,4130987,python,libc.so.6,_int_free_merge_chunk
39604975.0,4130976,python,libc.so.6,_int_free_merge_chunk
38631932.0,4131035,python,libc.so.6,_int_free_merge_chunk
37584557.0,4130987,python,python,_Py_Dealloc
33657075.0,4130976,python,libc.so.6,unlink_chunk.isra.0
33490216.0,4131000,python,libc.so.6,unlink_chunk.isra.0
32714251.0,4131035,python,libc.so.6,unlink_chunk.isra.0
31621394.0,4131035,python,python,_Py_Dealloc
30409193.0,4131024,python,python,_Py_Dealloc
30008918.0,4131024,python,python,_PyObject_Free
29730145.0,4131000,python,libc.so.6,__memset_avx2_unaligned_erms
29601324.0,4131024,python,libc.so.6,_int_free_merge_chunk
28681369.0,4131024,python,libc.so.6,__memset_avx2_unaligned_erms
28549849.0,4130976,python,python,_PyObject_Free
28506752.0,4130987,python,libc.so.6,malloc
27311038.0,4131000,python,python,_PyObject_Free
26644233.0,4131024,python,python,long_alloc
26467543.0,4131000,python,libc.so.6,malloc
25772217.0,4130976,python,libc.so.6,__memset_avx2_unaligned_erms
25497994.0,4130987,python,python,_PyObject_Free
25355289.0,4130976,python,python,_PyObject_Malloc
25304697.0,4131047,python,python,_PyObject_Free
25162178.0,4130976,python,python,long_alloc
24786607.0,4131047,python,libc.so.6,__memset_avx2_unaligned_erms
24782855.0,4131035,python,libc.so.6,__memset_avx2_unaligned_erms
24732409.0,4131047,python,python,long_alloc
24634975.0,4130987,python,python,long_alloc
24632211.0,4131035,python,libc.so.6,malloc
24622802.0,4131047,python,python,_Py_Dealloc
24584409.0,4131035,python,python,_PyObject_Free
23707707.0,4131024,python,libc.so.6,unlink_chunk.isra.0
22754390.0,4131047,python,libc.so.6,malloc
22726311.0,4131000,python,python,long_alloc
21810071.0,4130976,python,python,_Py_Dealloc
21797778.0,4130976,python,libc.so.6,_int_free_maybe_consolidate
21752206.0,4131035,python,libc.so.6,cfree@GLIBC_2.2.5
21722711.0,4131000,python,python,_PyObject_Malloc
21638401.0,4131024,python,libc.so.6,malloc
20819072.0,4130987,python,libc.so.6,__memset_avx2_unaligned_erms
20795023.0,4130987,python,libc.so.6,unlink_chunk.isra.0
20426030.0,4131000,python,libc.so.6,cfree@GLIBC_2.2.5
19813339.0,4130976,python,python,_PyEval_EvalFrameDefault
19812276.0,4130987,python,libc.so.6,_int_free
19788392.0,4131000,python,libc.so.6,_int_malloc
19764828.0,4131035,python,python,_PyObject_Malloc
18803459.0,4131047,python,libc.so.6,unlink_chunk.isra.0
18656384.0,4131024,python,python,_PyObject_Malloc
18301547.0,4131024,python,python,_PyEval_EvalFrameDefault
17821154.0,4130987,python,libc.so.6,cfree@GLIBC_2.2.5
17457923.0,4131000,python,libc.so.6,_int_free
17034102.0,4131035,python,python,_PyEval_EvalFrameDefault
16869290.0,4131035,python,libc.so.6,_int_free_maybe_consolidate
16839434.0,4130976,python,libc.so.6,cfree@GLIBC_2.2.5
16227027.0,4131047,python,python,_PyObject_Malloc
15659926.0,4131047,python,libc.so.6,_int_free
14988451.0,4130976,python,python,PyErr_CheckSignals
14878338.0,4131047,python,libc.so.6,cfree@GLIBC_2.2.5
14825306.0,4131024,python,libc.so.6,_int_free_maybe_consolidate
14704465.0,4130987,python,python,_PyObject_Malloc
13864144.0,4131047,python,python,_PyCompactLong_Multiply
13860825.0,4131024,python,python,_PyFrame_ClearExceptCode
13850503.0,4130987,python,libc.so.6,_int_malloc
13804200.0,4131047,python,libc.so.6,_int_malloc
13750509.0,4131024,python,libc.so.6,_int_malloc
13734064.0,4131035,python,python,long_mul
13280198.0,4131035,python,python,long_alloc
12875570.0,4131000,python,python,PyNumber_Multiply
12784783.0,4130987,python,python,PyNumber_Multiply
12736215.0,4131035,python,python,_PyCompactLong_Multiply
12593360.0,4130976,python,libc.so.6,malloc
12517800.0,4130987,python,python,_PyFrame_ClearExceptCode
12516799.0,4130976,python,python,_PyFrame_ClearExceptCode
12332188.0,4131000,python,python,_PyEval_EvalFrameDefault
12093190.0,4131047,python,python,_PyEval_EvalFrameDefault
11899591.0,4130987,python,python,long_mul
11895766.0,4131047,python,python,_PyFrame_ClearExceptCode
11809032.0,4130976,python,python,PyNumber_Multiply
11655671.0,4131000,python,python,long_mul
10995463.0,4130987,python,python,_PyEval_EvalFrameDefault
10915304.0,4131024,python,libc.so.6,cfree@GLIBC_2.2.5
10891847.0,4131000,python,python,_PyFrame_ClearExceptCode
10878408.0,4131035,python,libc.so.6,_int_malloc
10869873.0,4130976,python,libc.so.6,_int_free
10831831.0,4131024,python,python,_PyCompactLong_Multiply
10805058.0,4131000,python,python,_PyCompactLong_Multiply
9930115.0,4131000,python,[unknown],0xffffffffab6011d3
9921596.0,4131047,python,python,PyErr_CheckSignals
