self,pid,command,shared_obj,symbol
3608829453.0,42712,python,python,_PyObject_Malloc
3394665248.0,42756,python,python,_PyObject_Malloc
3068536231.0,42712,python,python,_PyFrame_ClearExceptCode
3023091462.0,42781,python,python,_PyObject_Malloc
2954153955.0,42769,python,python,_PyObject_Malloc
2900103244.0,42732,python,python,_PyFrame_ClearExceptCode
2837920586.0,42720,python,python,_PyObject_Malloc
2770920845.0,42720,python,python,_PyFrame_ClearExceptCode
2760740807.0,42732,python,python,_PyObject_Malloc
2708772635.0,42781,python,python,_PyFrame_ClearExceptCode
2668389446.0,42769,python,python,_PyFrame_ClearExceptCode
2585588255.0,42756,python,python,_PyFrame_ClearExceptCode
2436918415.0,42756,python,python,_Py_BuiltinCallFast_StackRef
2303756796.0,42769,python,python,_PyTypeCache_Lookup
2227784704.0,42712,python,python,_Py_BuiltinCallFast_StackRef
2222031991.0,42769,python,python,_PyObject_Free
2206441620.0,42781,python,python,_PyObject_Free
2165800652.0,42712,python,python,_PyTypeCache_Lookup
2144307590.0,42732,python,python,_Py_BuiltinCallFast_StackRef
2111677573.0,42756,python,python,_PyObject_Free
2093340253.0,42720,python,python,_PyTypeCache_Lookup
2068565583.0,42781,python,python,_Py_BuiltinCallFast_StackRef
2067280652.0,42712,python,python,_PyObject_Free
2065529818.0,42732,python,python,_PyTypeCache_Lookup
2047691918.0,42720,python,python,_Py_BuiltinCallFast_StackRef
1968800548.0,42769,python,python,_Py_BuiltinCallFast_StackRef
1953733189.0,42720,python,python,_PyObject_Free
1866030730.0,42756,python,python,_PyTypeCache_Lookup
1854322495.0,42732,python,python,_PyObject_Free
1786271539.0,42631,python,python,_PyObject_Malloc
1783723045.0,42781,python,python,_PyTypeCache_Lookup
1732368354.0,42712,python,libc.so.6,__memmove_avx_unaligned_erms
1674439028.0,42631,python,python,_PyFrame_ClearExceptCode
1597263682.0,42732,python,libc.so.6,__memmove_avx_unaligned_erms
1578287085.0,42769,python,libc.so.6,__memmove_avx_unaligned_erms
1554892224.0,42631,python,python,_PyTypeCache_Lookup
1544277721.0,42712,python,python,_PyEval_EvalFrameDefault
1535111463.0,42699,python,python,_PyObject_Malloc
1530223413.0,42756,python,python,_PyEval_EvalFrameDefault
1500403058.0,42756,python,libc.so.6,__memmove_avx_unaligned_erms
1465569577.0,42781,python,libc.so.6,__memmove_avx_unaligned_erms
1459140830.0,42720,python,python,_PyEval_EvalFrameDefault
1444755883.0,42720,python,libc.so.6,__memmove_avx_unaligned_erms
1436583754.0,42781,python,python,_PyEval_EvalFrameDefault
1420652079.0,42688,python,python,_PyObject_Malloc
1364818360.0,42650,python,python,_PyFrame_ClearExceptCode
1362040923.0,42638,python,python,_PyFrame_ClearExceptCode
1354368867.0,42699,python,python,_PyFrame_ClearExceptCode
1349353011.0,42664,python,python,_PyObject_Malloc
1346823883.0,42781,python,python,_Py_type_getattro_stackref
1335478745.0,42675,python,python,_PyObject_Malloc
1332424473.0,42664,python,python,_PyFrame_ClearExceptCode
1331965596.0,42638,python,python,_PyObject_Malloc
1323510040.0,42720,python,python,_PyUnicode_JoinArray.part.0
1320134644.0,42769,python,python,_PyEval_EvalFrameDefault
1315473143.0,42688,python,python,_PyFrame_ClearExceptCode
