self,pid,command,shared_obj,symbol
6419210698.0,2463303,python,python,sre_ucs1_match
5962616010.0,2463322,python,python,sre_ucs1_match
5909867864.0,2463310,python,python,sre_ucs1_match
5875062277.0,2463374,python,python,sre_ucs1_match
5848895023.0,2463334,python,python,sre_ucs1_match
5829220871.0,2463358,python,python,sre_ucs1_match
5799455866.0,2463346,python,python,sre_ucs1_match
5054907707.0,2463303,python,python,_PyEval_EvalFrameDefault
4225810131.0,2463334,python,python,_PyEval_EvalFrameDefault
4113953086.0,2463346,python,python,_PyEval_EvalFrameDefault
4062258171.0,2463322,python,python,_PyEval_EvalFrameDefault
4018910526.0,2463358,python,python,_PyEval_EvalFrameDefault
3998041435.0,2463310,python,python,_PyEval_EvalFrameDefault
3949278185.0,2463374,python,python,_PyEval_EvalFrameDefault
1466420383.0,2463303,python,python,_Py_dict_lookup
1401772854.0,2463322,python,python,_Py_dict_lookup
1382076931.0,2463334,python,python,_Py_dict_lookup
1309705161.0,2463322,python,python,gc_collect_region
1306148249.0,2463358,python,python,_Py_dict_lookup
1301365832.0,2463358,python,python,gc_collect_region
1297400453.0,2463334,python,python,gc_collect_region
1297286426.0,2463303,python,python,gc_collect_region
1295725115.0,2463310,python,python,gc_collect_region
1292539124.0,2463374,python,python,gc_collect_region
1281232108.0,2463346,python,python,gc_collect_region
1281030070.0,2463303,python,python,_PyObject_Malloc
1274174106.0,2463374,python,python,_Py_dict_lookup
1271210663.0,2463346,python,python,_Py_dict_lookup
1243999242.0,2463310,python,python,_Py_dict_lookup
1227755275.0,2463310,python,python,_PyObject_Malloc
1211491119.0,2463334,python,python,_PyObject_Malloc
1173294168.0,2463346,python,python,_PyObject_Malloc
1149566667.0,2463374,python,python,_PyObject_Malloc
1143806193.0,2463358,python,python,_PyObject_Malloc
1111694262.0,2463334,python,python,unicodekeys_lookup_unicode
1094176913.0,2463322,python,python,_PyObject_Malloc
1090235306.0,2463358,python,python,unicodekeys_lookup_unicode
1088559401.0,2463303,python,python,unicodekeys_lookup_unicode
1082019665.0,2463374,python,python,unicodekeys_lookup_unicode
