self,pid,command,shared_obj,symbol
298835975.0,2963973,python,python,list_dealloc
281100236.0,2963973,python,python,list_ass_slice_lock_held
273137514.0,2964195,python,python,list_dealloc
252566289.0,2964115,python,python,list_dealloc
249108374.0,2963980,python,python,list_dealloc
247374098.0,2964015,python,python,list_dealloc
244625419.0,2964070,python,python,list_dealloc
241823416.0,2964093,python,python,list_dealloc
240698159.0,2964148,python,python,list_dealloc
236835452.0,2964048,python,python,list_dealloc
231661048.0,2964182,python,python,list_dealloc
226774379.0,2964137,python,python,list_dealloc
225730306.0,2964037,python,python,list_dealloc
222917912.0,2964159,python,python,list_dealloc
222652526.0,2964026,python,python,list_dealloc
221904699.0,2964037,python,python,list_ass_slice_lock_held
220626495.0,2964082,python,python,list_dealloc
219848512.0,2964218,python,python,list_ass_slice_lock_held
219567271.0,2964026,python,python,list_ass_slice_lock_held
217936482.0,2963991,python,python,list_dealloc
215817616.0,2964126,python,python,list_dealloc
214943569.0,2964059,python,python,list_dealloc
208610705.0,2964015,python,python,list_ass_slice_lock_held
207939331.0,2964195,python,python,list_ass_slice_lock_held
206000019.0,2964126,python,python,list_ass_slice_lock_held
205950509.0,2964171,python,python,list_dealloc
205168701.0,2963980,python,python,list_ass_slice_lock_held
202777047.0,2964082,python,python,list_ass_slice_lock_held
202743420.0,2964218,python,python,list_dealloc
202141841.0,2964148,python,python,list_ass_slice_lock_held
196022995.0,2963991,python,python,list_ass_slice_lock_held
194220441.0,2964115,python,python,list_ass_slice_lock_held
194094932.0,2964048,python,python,list_ass_slice_lock_held
193772439.0,2964070,python,python,list_ass_slice_lock_held
192246148.0,2964159,python,python,list_ass_slice_lock_held
189541146.0,2964104,python,python,list_ass_slice_lock_held
188167705.0,2964104,python,python,list_dealloc
183077837.0,2964059,python,python,list_ass_slice_lock_held
181905592.0,2964137,python,python,list_ass_slice_lock_held
181723111.0,2964182,python,python,list_ass_slice_lock_held
181182864.0,2964171,python,python,list_ass_slice_lock_held
181147881.0,2963973,python,python,list_slice_lock_held
181080569.0,2964093,python,python,list_ass_slice_lock_held
180152567.0,2963973,python,python,_Py_Dealloc
175537318.0,2963973,python,[JIT],0x0000770106514240
158481177.0,2963973,python,python,list_concat
154344918.0,2964137,python,python,list_slice_lock_held
152030950.0,2964093,python,[JIT],0x00007bfc69d17240
149355465.0,2964126,python,[JIT],0x000071f531d51240
148365939.0,2964115,python,[JIT],0x000073ee2a4d4240
148339682.0,2964048,python,[JIT],0x00007effe4cb1240
147598469.0,2963991,python,python,list_slice_lock_held
146326722.0,2964182,python,[JIT],0x0000714f0acdf240
144655278.0,2964218,python,python,list_slice_lock_held
144577430.0,2964015,python,[JIT],0x00007647ad714240
144481215.0,2964171,python,python,_Py_Dealloc
144464685.0,2964148,python,[JIT],0x00007bf7f2c93240
143070354.0,2964218,python,[JIT],0x00007c282d526240
142580125.0,2964070,python,[JIT],0x000071a735a25240
140441178.0,2964195,python,python,list_slice_lock_held
139727317.0,2964059,python,[JIT],0x00007c6d87f21240
139494492.0,2964082,python,[JIT],0x000075d70e3d2240
139340254.0,2964026,python,[JIT],0x000078913e562240
138632177.0,2964195,python,[JIT],0x000078f5cb506240
138583209.0,2964104,python,python,_Py_Dealloc
138498428.0,2964037,python,[JIT],0x000079505ee1f240
135596658.0,2963991,python,[JIT],0x000072c3f7955240
135591174.0,2963980,python,[JIT],0x00007ff4e3f13240
135467545.0,2964159,python,[JIT],0x000077a893722240
135402527.0,2964182,python,python,list_slice_lock_held
134715091.0,2964048,python,python,list_slice_lock_held
134679028.0,2964104,python,[JIT],0x00007443d3d2d240
134500231.0,2963980,python,python,list_slice_lock_held
132527635.0,2964126,python,python,_Py_Dealloc
130657383.0,2964070,python,python,list_slice_lock_held
130469935.0,2964137,python,python,list_concat
129822265.0,2964070,python,python,_Py_Dealloc
129817815.0,2964126,python,python,list_slice_lock_held
129680072.0,2964148,python,python,list_slice_lock_held
129514772.0,2964026,python,python,list_slice_lock_held
128877394.0,2964048,python,python,_Py_Dealloc
128671596.0,2964195,python,python,_Py_Dealloc
128635345.0,2963973,python,libc.so.6,__memmove_avx_unaligned_erms
128587257.0,2964137,python,[JIT],0x0000790cdbd26240
127565673.0,2963991,python,python,_Py_Dealloc
126742757.0,2964148,python,python,_Py_Dealloc
126252740.0,2964115,python,python,_Py_Dealloc
125751514.0,2964104,python,python,list_slice_lock_held
124868991.0,2964093,python,python,list_slice_lock_held
124776728.0,2964126,python,python,list_concat
124330288.0,2964171,python,[JIT],0x000079b0006f0240
122766772.0,2964171,python,python,list_slice_lock_held
122731964.0,2964037,python,python,list_concat
122627542.0,2964082,python,python,list_slice_lock_held
121867951.0,2964115,python,python,list_slice_lock_held
121830560.0,2964159,python,python,_Py_Dealloc
120905650.0,2964218,python,python,list_concat
119662270.0,2964182,python,python,list_concat
118897802.0,2964037,python,python,_Py_Dealloc
118853739.0,2964159,python,python,list_slice_lock_held
118764928.0,2964137,python,python,_Py_Dealloc
118749552.0,2964026,python,python,_Py_Dealloc
118500211.0,2964171,python,python,PySlice_AdjustIndices
117915760.0,2964104,python,libc.so.6,__memmove_avx_unaligned_erms
117855114.0,2964082,python,python,_Py_Dealloc
116811825.0,2964059,python,python,list_concat
115831286.0,2963991,python,python,list_concat
115362782.0,2963980,python,python,list_concat
114748400.0,2964082,python,python,list_concat
113951365.0,2964037,python,python,list_slice_lock_held
113813129.0,2964093,python,python,_Py_Dealloc
112927311.0,2964093,python,python,list_concat
111030955.0,2964148,python,python,list_concat
110915683.0,2963973,python,libc.so.6,_int_malloc
110884048.0,2963973,python,python,PySlice_AdjustIndices
110027111.0,2964093,python,libc.so.6,__memmove_avx_unaligned_erms
109909130.0,2963980,python,python,PySlice_AdjustIndices
109803214.0,2964059,python,python,list_slice_lock_held
109650771.0,2963973,python,python,PyNumber_AsSsize_t
108903404.0,2964070,python,python,list_concat
108765820.0,2964015,python,python,list_slice_lock_held
108555877.0,2964082,python,libc.so.6,__memmove_avx_unaligned_erms
107786971.0,2964026,python,python,list_concat
106958509.0,2964015,python,python,_Py_Dealloc
106878856.0,2964015,python,python,list_concat
106828899.0,2964171,python,libc.so.6,__memmove_avx_unaligned_erms
105966595.0,2964115,python,python,_PyFrame_ClearExceptCode
105914135.0,2964137,python,python,PySlice_AdjustIndices
105881323.0,2964059,python,python,_Py_Dealloc
105846575.0,2964115,python,python,list_concat
104968352.0,2964182,python,python,_Py_Dealloc
104025002.0,2964070,python,python,PyNumber_AsSsize_t
103901825.0,2963980,python,python,_Py_Dealloc
103865688.0,2964218,python,python,_Py_Dealloc
103025925.0,2964126,python,libc.so.6,__memmove_avx_unaligned_erms
102954270.0,2964070,python,libc.so.6,__memmove_avx_unaligned_erms
102891062.0,2964037,python,python,PyNumber_AsSsize_t
101975491.0,2964171,python,python,list_concat
101900367.0,2964159,python,libc.so.6,__memmove_avx_unaligned_erms
100988171.0,2964137,python,libc.so.6,__memmove_avx_unaligned_erms
99807869.0,2964137,python,libc.so.6,_int_malloc
99007323.0,2964159,python,python,list_concat
98836648.0,2963980,python,libc.so.6,__memmove_avx_unaligned_erms
98592342.0,2964104,python,python,list_concat
98576978.0,2964082,python,python,PySlice_AdjustIndices
98089170.0,2964148,python,libc.so.6,__memmove_avx_unaligned_erms
97942954.0,2964195,python,python,list_concat
96998494.0,2964218,python,libc.so.6,__memmove_avx_unaligned_erms
96077845.0,2964037,python,python,PySlice_AdjustIndices
96063030.0,2964048,python,libc.so.6,_int_malloc
95056006.0,2963991,python,python,PySlice_AdjustIndices
95051594.0,2964015,python,python,PySlice_AdjustIndices
95043915.0,2963973,python,python,stringlib_bytes_join
94660745.0,2964159,python,python,PySlice_AdjustIndices
94086366.0,2964059,python,python,PyNumber_AsSsize_t
93016461.0,2964115,python,libc.so.6,__memmove_avx_unaligned_erms
92988139.0,2964159,python,python,list_dealloc
92945996.0,2964093,python,python,list_dealloc
92668090.0,2964026,python,python,list_dealloc
92565993.0,2964126,python,python,PySlice_AdjustIndices
91922136.0,2963973,python,python,_PyFrame_ClearExceptCode
91905382.0,2963973,python,python,bytes_subscript
91576602.0,2963980,python,python,_PyObject_Malloc
91183586.0,2964048,python,python,PySlice_AdjustIndices
91006942.0,2963973,python,python,_PyCompactLong_Subtract
91002715.0,2963973,python,python,_PyEval_FrameClearAndPop
90919059.0,2963973,python,python,_PyObject_Free
90807994.0,2964048,python,python,list_concat
90144800.0,2964093,python,libc.so.6,_int_malloc
89897122.0,2964070,python,python,PySlice_AdjustIndices
89741849.0,2964104,python,python,PySlice_AdjustIndices
89650771.0,2964182,python,python,PySlice_AdjustIndices
89233155.0,2964015,python,python,PyNumber_AsSsize_t
89068073.0,2964182,python,python,PyNumber_AsSsize_t
89067551.0,2964026,python,libc.so.6,__memmove_avx_unaligned_erms
88714437.0,2964026,python,python,_PyObject_Malloc
88218679.0,2963973,python,python,_PyObject_Malloc
88146738.0,2964218,python,python,PySlice_AdjustIndices
88111425.0,2963991,python,libc.so.6,__memmove_avx_unaligned_erms
88094395.0,2964059,python,libc.so.6,__memmove_avx_unaligned_erms
87896791.0,2964126,python,python,_PyObject_Malloc
87576999.0,2964093,python,python,PySlice_AdjustIndices
87211706.0,2963991,python,python,_PyCompactLong_Add
87202242.0,2964104,python,python,PyNumber_AsSsize_t
87178380.0,2964048,python,python,PyNumber_AsSsize_t
