self,pid,command,shared_obj,symbol
5371620428.0,1245018,python,python,_PyEval_EvalFrameDefault
3936433783.0,1245083,python,python,_PyEval_EvalFrameDefault
3877118444.0,1245072,python,python,_PyEval_EvalFrameDefault
3865142046.0,1245037,python,python,_PyEval_EvalFrameDefault
3849268786.0,1245061,python,python,_PyEval_EvalFrameDefault
3841607415.0,1245025,python,python,_PyEval_EvalFrameDefault
1513931636.0,1245049,python,python,_PyEval_EvalFrameDefault
1487057203.0,1245037,python,python,_PyEval_EvalFrameDefault
1465453380.0,1245083,python,python,_PyEval_EvalFrameDefault
1456335003.0,1245072,python,python,_PyEval_EvalFrameDefault
1450862928.0,1245061,python,python,_PyEval_EvalFrameDefault
1428787832.0,1245025,python,python,_PyEval_EvalFrameDefault
546881672.0,1245018,python,python,unicodekeys_lookup_unicode
508754248.0,1245018,python,python,_PyType_LookupStackRefAndVersion
497500601.0,1245018,python,python,_PyObject_Malloc
409129603.0,1245072,python,python,_PyType_LookupStackRefAndVersion
406967388.0,1245025,python,python,unicodekeys_lookup_unicode
405764989.0,1245083,python,python,unicodekeys_lookup_unicode
403338471.0,1245037,python,python,_PyType_LookupStackRefAndVersion
395407487.0,1245025,python,python,_PyType_LookupStackRefAndVersion
395191244.0,1245061,python,python,_PyType_LookupStackRefAndVersion
383182901.0,1245037,python,python,unicodekeys_lookup_unicode
381722222.0,1245061,python,python,unicodekeys_lookup_unicode
378545302.0,1245025,python,python,_PyObject_Malloc
375470315.0,1245072,python,python,_PyObject_Malloc
371835365.0,1245083,python,python,_PyType_LookupStackRefAndVersion
365552046.0,1245072,python,python,unicodekeys_lookup_unicode
365180169.0,1245018,python,python,_PyFrame_ClearExceptCode
363225987.0,1245018,python,python,_Py_dict_lookup
348638983.0,1245061,python,python,_PyObject_Malloc
346883136.0,1245037,python,python,_PyObject_Malloc
345751650.0,1245018,python,python,_PyObject_Free
323355233.0,1245083,python,python,_PyObject_Malloc
300663422.0,1245018,python,python,_PyObject_GenericGetAttrWithDict
286010217.0,1245072,python,python,_PyFrame_ClearExceptCode
273323413.0,1245061,python,python,_PyFrame_ClearExceptCode
264039388.0,1245083,python,python,_Py_dict_lookup
263390747.0,1245037,python,python,_Py_dict_lookup
262199612.0,1245083,python,python,_PyFrame_ClearExceptCode
261864862.0,1245018,python,python,visit_add_to_container
260189435.0,1245025,python,python,_PyFrame_ClearExceptCode
260014229.0,1245072,python,python,_Py_dict_lookup
259215321.0,1245061,python,python,_Py_dict_lookup
259110447.0,1245072,python,python,_PyObject_Free
257427444.0,1245025,python,python,_Py_dict_lookup
252203033.0,1245037,python,python,_PyObject_Free
241237802.0,1245018,python,python,initialize_locals
240639855.0,1245025,python,python,_PyObject_Free
234646965.0,1245025,python,python,_PyObject_GenericGetAttrWithDict
230472799.0,1245018,python,python,_Py_Dealloc
230468253.0,1245083,python,python,_PyObject_Free
228873982.0,1245061,python,python,_PyObject_GenericGetAttrWithDict
225696799.0,1245037,python,python,_PyFrame_ClearExceptCode
224684536.0,1245037,python,python,_PyObject_GenericGetAttrWithDict
211955717.0,1245061,python,python,_PyObject_Free
210990382.0,1245083,python,python,_PyObject_GenericGetAttrWithDict
203944729.0,1245072,python,python,_PyObject_GenericGetAttrWithDict
198200333.0,1245025,python,python,unicodekeys_lookup_unicode
186529110.0,1245037,python,python,initialize_locals
186334634.0,1245061,python,python,unicodekeys_lookup_unicode
186235943.0,1245025,python,python,_Py_Dealloc
184725428.0,1245072,python,python,_Py_Dealloc
183394859.0,1245061,python,python,_Py_Dealloc
183139412.0,1245025,python,python,_PyType_LookupStackRefAndVersion
182313340.0,1245083,python,python,unicodekeys_lookup_unicode
181808754.0,1245018,python,python,PyDict_GetItemRef
176512389.0,1245037,python,python,unicodekeys_lookup_unicode
176345726.0,1245083,python,python,initialize_locals
176317735.0,1245025,python,python,initialize_locals
172331220.0,1245083,python,python,visit_add_to_container
170644555.0,1245083,python,python,_Py_Dealloc
169092542.0,1245072,python,python,visit_add_to_container
169065838.0,1245049,python,python,_PyType_LookupStackRefAndVersion
167302460.0,1245037,python,python,visit_add_to_container
166473606.0,1245061,python,python,visit_add_to_container
165609767.0,1245025,python,python,visit_add_to_container
164134519.0,1245083,python,python,_PyType_LookupStackRefAndVersion
164056726.0,1245049,python,python,unicodekeys_lookup_unicode
162566463.0,1245061,python,python,initialize_locals
161641897.0,1245037,python,python,_PyType_LookupStackRefAndVersion
160567122.0,1245037,python,python,_Py_Dealloc
159731137.0,1245072,python,python,_PyType_LookupStackRefAndVersion
159177423.0,1245061,python,python,_PyType_LookupStackRefAndVersion
151934756.0,1245072,python,python,_PyObject_Malloc
151122225.0,1245072,python,python,unicodekeys_lookup_unicode
149758303.0,1245083,python,python,_PyObject_Malloc
144940959.0,1245025,python,python,_PyObject_Malloc
141922191.0,1245018,python,python,_PyObject_GetMethodStackRef
141245050.0,1245018,python,python,_PyEvalFramePushAndInit
140928345.0,1245037,python,python,PyDict_GetItemRef
140813000.0,1245061,python,python,_PyObject_Malloc
