self,pid,command,shared_obj,symbol
400774175.0,2465826,perf,perf,io__get_char
392390942.0,2466023,perf,perf,io__get_char
374246718.0,2465430,perf,perf,io__get_char
371920353.0,2465365,perf,perf,io__get_char
370428118.0,2466009,perf,perf,io__get_char
369621226.0,2465843,perf,perf,io__get_char
368307890.0,2465806,perf,perf,io__get_char
366292564.0,2465404,perf,perf,io__get_char
365199807.0,2466358,perf,perf,io__get_char
364963171.0,2465934,perf,perf,io__get_char
364284402.0,2465610,perf,perf,io__get_char
363524912.0,2465869,perf,perf,io__get_char
363096479.0,2465686,perf,perf,io__get_char
362490140.0,2466063,perf,perf,io__get_char
361354605.0,2465637,perf,perf,io__get_char
361121790.0,2465895,perf,perf,io__get_char
360603598.0,2465456,perf,perf,io__get_char
359658118.0,2465623,perf,perf,io__get_char
359206540.0,2466205,perf,perf,io__get_char
358468790.0,2465921,perf,perf,io__get_char
358418261.0,2466179,perf,perf,io__get_char
357971678.0,2465699,perf,perf,io__get_char
357714932.0,2465996,perf,perf,io__get_char
357122115.0,2465356,perf,perf,io__get_char
355870548.0,2466270,perf,perf,io__get_char
355651324.0,2466049,perf,perf,io__get_char
355191598.0,2465544,perf,perf,io__get_char
354541156.0,2466153,perf,perf,io__get_char
354030482.0,2466089,perf,perf,io__get_char
351578719.0,2465391,perf,perf,io__get_char
350534268.0,2466384,perf,perf,io__get_char
349955123.0,2466306,perf,perf,io__get_char
349310829.0,2466410,perf,perf,io__get_char
348548150.0,2465754,perf,perf,io__get_char
347911055.0,2465712,perf,perf,io__get_char
347847019.0,2465482,perf,perf,io__get_char
347802947.0,2466244,perf,perf,io__get_char
347434515.0,2465597,perf,perf,io__get_char
347290869.0,2465780,perf,perf,io__get_char
346666838.0,2465669,perf,perf,io__get_char
346443174.0,2465979,perf,perf,io__get_char
345882279.0,2466345,perf,perf,io__get_char
345378343.0,2466371,perf,perf,io__get_char
344798270.0,2466036,perf,perf,io__get_char
344264641.0,2465725,perf,perf,io__get_char
344065563.0,2465514,perf,perf,io__get_char
343673514.0,2466135,perf,perf,io__get_char
343665215.0,2465947,perf,perf,io__get_char
342933317.0,2465908,perf,perf,io__get_char
341725882.0,2465469,perf,perf,io__get_char
340115943.0,2465495,perf,perf,io__get_char
339808939.0,2465650,perf,perf,io__get_char
339754565.0,2465960,perf,perf,io__get_char
337468058.0,2466319,perf,perf,io__get_char
337108235.0,2465378,perf,perf,io__get_char
337104590.0,2465738,perf,perf,io__get_char
336976746.0,2466218,perf,perf,io__get_char
336275547.0,2466423,perf,perf,io__get_char
335665407.0,2466397,perf,perf,io__get_char
334666110.0,2465570,perf,perf,io__get_char
332379905.0,2465882,perf,perf,io__get_char
332114245.0,2466076,perf,perf,io__get_char
332088072.0,2466192,perf,perf,io__get_char
331859755.0,2465584,perf,perf,io__get_char
331400631.0,2465856,perf,perf,io__get_char
330948592.0,2465793,perf,perf,io__get_char
330424409.0,2466332,perf,perf,io__get_char
329685936.0,2466102,perf,perf,io__get_char
327947684.0,2466116,perf,perf,io__get_char
326905605.0,2466257,perf,perf,io__get_char
326246502.0,2465349,perf,perf,io__get_char
324413755.0,2466231,perf,perf,io__get_char
324168925.0,2465767,perf,perf,io__get_char
323494780.0,2466166,perf,perf,io__get_char
322380539.0,2465343,perf,perf,io__get_char
320172033.0,2465531,perf,perf,io__get_char
317848345.0,2465443,perf,perf,io__get_char
313947989.0,2466289,perf,perf,io__get_char
304802425.0,2465417,perf,perf,io__get_char
295928826.0,2465557,perf,perf,io__get_char
241023802.0,2466076,perf,[kernel.kallsyms],module_get_kallsym
238025920.0,2465869,perf,perf,kallsyms__parse
233967367.0,2466332,perf,perf,kallsyms__parse
228298198.0,2466306,perf,[kernel.kallsyms],module_get_kallsym
225960196.0,2466179,perf,perf,kallsyms__parse
