self,pid,command,shared_obj,symbol
393678264.0,2901162,perf,perf,io__get_char
390086198.0,2900983,perf,perf,io__get_char
377212979.0,2901361,perf,perf,io__get_char
370869660.0,2901340,perf,perf,io__get_char
369653076.0,2901993,perf,perf,io__get_char
368972274.0,2901582,perf,perf,io__get_char
367580110.0,2901667,perf,perf,io__get_char
367072809.0,2900339,perf,perf,io__get_char
363294807.0,2901730,perf,perf,io__get_char
362990689.0,2900762,perf,perf,io__get_char
361226901.0,2901888,perf,perf,io__get_char
359505608.0,2902014,perf,perf,io__get_char
358709960.0,2900832,perf,perf,io__get_char
356679938.0,2901825,perf,perf,io__get_char
355889376.0,2900635,perf,perf,io__get_char
354334875.0,2901772,perf,perf,io__get_char
353693225.0,2900520,perf,perf,io__get_char
352297103.0,2901467,perf,perf,io__get_char
352089223.0,2901445,perf,perf,io__get_char
351896328.0,2900330,perf,perf,io__get_char
349599337.0,2900415,perf,perf,io__get_char
348381794.0,2900962,perf,perf,io__get_char
347726171.0,2901530,perf,perf,io__get_char
347701526.0,2901625,perf,perf,io__get_char
347437735.0,2901930,perf,perf,io__get_char
346319983.0,2900720,perf,perf,io__get_char
346098587.0,2901246,perf,perf,io__get_char
345913584.0,2901909,perf,perf,io__get_char
345602937.0,2901509,perf,perf,io__get_char
344287311.0,2901225,perf,perf,io__get_char
343640340.0,2900941,perf,perf,io__get_char
343526595.0,2901799,perf,perf,io__get_char
342859170.0,2901315,perf,perf,io__get_char
341895415.0,2901972,perf,perf,io__get_char
341642031.0,2900457,perf,perf,io__get_char
341489056.0,2901751,perf,perf,io__get_char
341330281.0,2900323,perf,perf,io__get_char
341076174.0,2900394,perf,perf,io__get_char
339601503.0,2900316,perf,perf,io__get_char
339595108.0,2901846,perf,perf,io__get_char
339065593.0,2901099,perf,perf,io__get_char
338340366.0,2900857,perf,perf,io__get_char
337937010.0,2900436,perf,perf,io__get_char
337571834.0,2901688,perf,perf,io__get_char
336520911.0,2901382,perf,perf,io__get_char
335991571.0,2901141,perf,perf,io__get_char
335768968.0,2900562,perf,perf,io__get_char
334906105.0,2901951,perf,perf,io__get_char
334302042.0,2900699,perf,perf,io__get_char
333707366.0,2901025,perf,perf,io__get_char
333525062.0,2901646,perf,perf,io__get_char
332546328.0,2901120,perf,perf,io__get_char
332302957.0,2901867,perf,perf,io__get_char
331950154.0,2901488,perf,perf,io__get_char
330841967.0,2900741,perf,perf,io__get_char
330448747.0,2900920,perf,perf,io__get_char
329788148.0,2900656,perf,perf,io__get_char
329422951.0,2901603,perf,perf,io__get_char
329393535.0,2901183,perf,perf,io__get_char
329383280.0,2900677,perf,perf,io__get_char
327790791.0,2901288,perf,perf,io__get_char
327701827.0,2900499,perf,perf,io__get_char
327135009.0,2900614,perf,perf,io__get_char
326477235.0,2901046,perf,perf,io__get_char
326457829.0,2900804,perf,perf,io__get_char
326351138.0,2901004,perf,perf,io__get_char
325065630.0,2900352,perf,perf,io__get_char
324018753.0,2900899,perf,perf,io__get_char
320999542.0,2901074,perf,perf,io__get_char
319151835.0,2901267,perf,perf,io__get_char
317196813.0,2900878,perf,perf,io__get_char
315606668.0,2900373,perf,perf,io__get_char
315341866.0,2901403,perf,perf,io__get_char
314026636.0,2901709,perf,perf,io__get_char
312911721.0,2900541,perf,perf,io__get_char
308463558.0,2901204,perf,perf,io__get_char
303351785.0,2901424,perf,perf,io__get_char
301049018.0,2900783,perf,perf,io__get_char
299294380.0,2901557,perf,perf,io__get_char
295643947.0,2900478,perf,perf,io__get_char
290173998.0,2900589,perf,perf,io__get_char
233924653.0,2901204,perf,[kernel.kallsyms],module_get_kallsym
233173734.0,2901403,perf,[kernel.kallsyms],module_get_kallsym
233040644.0,2900394,perf,[kernel.kallsyms],module_get_kallsym
230731608.0,2900316,perf,perf,kallsyms__parse
229095333.0,2900373,perf,[kernel.kallsyms],module_get_kallsym
228011247.0,2900720,perf,perf,kallsyms__parse
227394878.0,2902014,perf,perf,kallsyms__parse
226589258.0,2901667,perf,perf,kallsyms__parse
226254989.0,2901315,perf,[kernel.kallsyms],module_get_kallsym
226001248.0,2901930,perf,[kernel.kallsyms],module_get_kallsym
224222700.0,2901004,perf,[kernel.kallsyms],module_get_kallsym
224073054.0,2901267,perf,perf,kallsyms__parse
223334673.0,2901909,perf,perf,kallsyms__parse
223244392.0,2900699,perf,perf,kallsyms__parse
223078428.0,2901046,perf,[kernel.kallsyms],module_get_kallsym
222446841.0,2901162,perf,perf,kallsyms__parse
221405064.0,2901993,perf,perf,kallsyms__parse
221101342.0,2901467,perf,[kernel.kallsyms],module_get_kallsym
220351949.0,2901120,perf,[kernel.kallsyms],module_get_kallsym
220321904.0,2901403,perf,perf,kallsyms__parse
220319625.0,2900478,perf,[kernel.kallsyms],module_get_kallsym
220108753.0,2901315,perf,perf,kallsyms__parse
220073520.0,2901099,perf,[kernel.kallsyms],module_get_kallsym
219633224.0,2901603,perf,perf,kallsyms__parse
219139414.0,2901288,perf,[kernel.kallsyms],module_get_kallsym
218929576.0,2901646,perf,[kernel.kallsyms],module_get_kallsym
218728410.0,2901509,perf,perf,kallsyms__parse
218407084.0,2901867,perf,[kernel.kallsyms],module_get_kallsym
218380117.0,2901730,perf,perf,kallsyms__parse
218323474.0,2901557,perf,[kernel.kallsyms],module_get_kallsym
218278516.0,2900783,perf,[kernel.kallsyms],module_get_kallsym
218119612.0,2900741,perf,[kernel.kallsyms],module_get_kallsym
217165037.0,2900330,perf,[kernel.kallsyms],module_get_kallsym
216944874.0,2901888,perf,[kernel.kallsyms],module_get_kallsym
216418086.0,2900920,perf,perf,kallsyms__parse
216380536.0,2901488,perf,[kernel.kallsyms],module_get_kallsym
216245424.0,2901424,perf,[kernel.kallsyms],module_get_kallsym
215273759.0,2901751,perf,[kernel.kallsyms],module_get_kallsym
215228888.0,2901467,perf,perf,kallsyms__parse
215184575.0,2900857,perf,[kernel.kallsyms],module_get_kallsym
215017905.0,2901951,perf,perf,kallsyms__parse
214950869.0,2900878,perf,perf,kallsyms__parse
214844641.0,2900804,perf,[kernel.kallsyms],module_get_kallsym
214787717.0,2901772,perf,perf,kallsyms__parse
214666136.0,2900339,perf,perf,kallsyms__parse
214160566.0,2901799,perf,perf,kallsyms__parse
213943911.0,2900741,perf,perf,kallsyms__parse
213737452.0,2900520,perf,perf,kallsyms__parse
213315888.0,2901667,perf,[kernel.kallsyms],module_get_kallsym
213161591.0,2901688,perf,[kernel.kallsyms],module_get_kallsym
213110043.0,2900339,perf,[kernel.kallsyms],module_get_kallsym
212388895.0,2900457,perf,[kernel.kallsyms],module_get_kallsym
212173909.0,2900499,perf,[kernel.kallsyms],module_get_kallsym
212066304.0,2901025,perf,[kernel.kallsyms],module_get_kallsym
210691250.0,2901025,perf,perf,kallsyms__parse
210356835.0,2901246,perf,[kernel.kallsyms],module_get_kallsym
210117401.0,2900804,perf,perf,kallsyms__parse
209883578.0,2900330,perf,perf,kallsyms__parse
209878012.0,2900699,perf,[kernel.kallsyms],module_get_kallsym
209340155.0,2900762,perf,[kernel.kallsyms],module_get_kallsym
208522193.0,2900457,perf,perf,kallsyms__parse
208477922.0,2900323,perf,[kernel.kallsyms],module_get_kallsym
208210662.0,2900677,perf,[kernel.kallsyms],module_get_kallsym
208177099.0,2901530,perf,[kernel.kallsyms],module_get_kallsym
208052981.0,2901603,perf,[kernel.kallsyms],module_get_kallsym
208036591.0,2901951,perf,[kernel.kallsyms],module_get_kallsym
207824745.0,2900878,perf,[kernel.kallsyms],module_get_kallsym
207649231.0,2901972,perf,perf,kallsyms__parse
207546623.0,2900899,perf,perf,kallsyms__parse
207445024.0,2901972,perf,[kernel.kallsyms],module_get_kallsym
207367235.0,2900541,perf,[kernel.kallsyms],module_get_kallsym
207278606.0,2900920,perf,[kernel.kallsyms],module_get_kallsym
207104965.0,2901382,perf,[kernel.kallsyms],module_get_kallsym
207017769.0,2901445,perf,[kernel.kallsyms],module_get_kallsym
206872615.0,2900478,perf,perf,kallsyms__parse
206839650.0,2901246,perf,perf,kallsyms__parse
206268301.0,2900436,perf,[kernel.kallsyms],module_get_kallsym
206179097.0,2900783,perf,perf,kallsyms__parse
206052878.0,2901846,perf,perf,kallsyms__parse
205999145.0,2900436,perf,perf,io__get_hex
205963226.0,2901340,perf,perf,kallsyms__parse
205940159.0,2901772,perf,perf,io__get_hex
205722865.0,2900677,perf,[kernel.kallsyms],kallsyms_expand_symbol.constprop.0
205412095.0,2900983,perf,[kernel.kallsyms],module_get_kallsym
205403637.0,2901846,perf,[kernel.kallsyms],module_get_kallsym
205192736.0,2901625,perf,perf,kallsyms__parse
204829075.0,2901183,perf,perf,io__get_hex
204805534.0,2900762,perf,perf,kallsyms__parse
204411892.0,2900899,perf,[kernel.kallsyms],module_get_kallsym
204406221.0,2902014,perf,[kernel.kallsyms],module_get_kallsym
204332967.0,2901509,perf,[kernel.kallsyms],module_get_kallsym
204226819.0,2901772,perf,[kernel.kallsyms],module_get_kallsym
204032132.0,2901340,perf,[kernel.kallsyms],module_get_kallsym
203343529.0,2901141,perf,[kernel.kallsyms],module_get_kallsym
203228409.0,2901074,perf,perf,kallsyms__parse
203164025.0,2900436,perf,perf,kallsyms__parse
202917617.0,2901183,perf,perf,kallsyms__parse
202510921.0,2900614,perf,[kernel.kallsyms],module_get_kallsym
202477423.0,2901730,perf,[kernel.kallsyms],module_get_kallsym
202389373.0,2900323,perf,perf,kallsyms__parse
202364542.0,2901267,perf,[kernel.kallsyms],module_get_kallsym
202257425.0,2901557,perf,perf,kallsyms__parse
202131040.0,2901888,perf,perf,kallsyms__parse
201474959.0,2901361,perf,[kernel.kallsyms],module_get_kallsym
201445664.0,2901467,perf,perf,io__get_hex
201404969.0,2900316,perf,[kernel.kallsyms],module_get_kallsym
201400512.0,2900352,perf,[kernel.kallsyms],module_get_kallsym
201355699.0,2901867,perf,perf,kallsyms__parse
201285081.0,2900832,perf,[kernel.kallsyms],module_get_kallsym
200478779.0,2901225,perf,[kernel.kallsyms],module_get_kallsym
200226999.0,2901625,perf,[kernel.kallsyms],module_get_kallsym
200170451.0,2901162,perf,[kernel.kallsyms],module_get_kallsym
200123718.0,2900415,perf,perf,kallsyms__parse
