self,pid,command,shared_obj,symbol
659561061.0,1907151,python,python,_PyFrame_ClearExceptCode
630614380.0,1907169,python,python,_PyFrame_ClearExceptCode
628272231.0,1907191,python,python,_PyFrame_ClearExceptCode
592837943.0,1907213,python,python,_PyFrame_ClearExceptCode
579639342.0,1907180,python,python,_PyFrame_ClearExceptCode
565907409.0,1907158,python,python,_PyFrame_ClearExceptCode
539995708.0,1907202,python,python,_PyFrame_ClearExceptCode
476832760.0,1907151,python,python,_PyEval_FrameClearAndPop
391003170.0,1907202,python,python,_PyEval_FrameClearAndPop
384782534.0,1907169,python,python,_PyEval_FrameClearAndPop
373976526.0,1907158,python,python,_PyEval_FrameClearAndPop
373941828.0,1907191,python,python,_PyEval_FrameClearAndPop
349009506.0,1907180,python,python,_PyEval_FrameClearAndPop
338647084.0,1907213,python,python,_PyEval_FrameClearAndPop
199717175.0,1907151,python,python,_PyEval_EvalFrameDefault
189139266.0,1907151,python,python,_PyThreadState_PopFrame
178992236.0,1907213,python,python,_PyThreadState_PopFrame
176316578.0,1907158,python,python,_PyThreadState_PopFrame
172415794.0,1907191,python,python,_PyThreadState_PopFrame
171121776.0,1907169,python,python,_PyThreadState_PopFrame
155411539.0,1907202,python,python,_PyThreadState_PopFrame
140547447.0,1907151,python,python,_PyObject_GetMethodStackRef
139449318.0,1907180,python,python,_PyThreadState_PopFrame
131343827.0,1907169,python,python,_PyObject_GetMethodStackRef
129255280.0,1907213,python,python,_PyEval_EvalFrameDefault
125678327.0,1907151,python,python,_PyType_LookupStackRefAndVersion
123628051.0,1907180,python,python,_PyObject_GetMethodStackRef
123099833.0,1907213,python,python,_PyObject_GetMethodStackRef
107814223.0,1907191,python,python,_PyObject_GetMethodStackRef
107037969.0,1907158,python,python,_PyEval_EvalFrameDefault
105785566.0,1907158,python,python,_PyCompactLong_Add
105037531.0,1907213,python,python,_PyEval_EvalFrameDefault
102968861.0,1907191,python,python,_PyType_LookupStackRefAndVersion
96088360.0,1907169,python,python,_PyEval_EvalFrameDefault
95958193.0,1907151,python,python,_PyCompactLong_Add
95883779.0,1907213,python,python,_PyType_LookupStackRefAndVersion
90654274.0,1907169,python,python,_PyEval_EvalFrameDefault
90624617.0,1907191,python,python,_PyEval_EvalFrameDefault
89996057.0,1907202,python,python,_PyType_LookupStackRefAndVersion
89162339.0,1907202,python,python,_PyObject_GetMethodStackRef
88502537.0,1907180,python,python,_PyEval_EvalFrameDefault
85192698.0,1907202,python,python,_PyEval_EvalFrameDefault
83149571.0,1907158,python,python,_PyObject_GetMethodStackRef
80136798.0,1907202,python,python,_PyCompactLong_Add
77323745.0,1907180,python,python,_PyEval_EvalFrameDefault
73987847.0,1907180,python,python,_PyCompactLong_Add
73243491.0,1907158,python,python,_PyType_LookupStackRefAndVersion
72270169.0,1907158,python,python,_PyEval_EvalFrameDefault
68859771.0,1907191,python,python,_PyFrame_ClearExceptCode
68209450.0,1907151,python,python,unicodekeys_lookup_unicode
66954905.0,1907213,python,python,_PyFrame_ClearExceptCode
64282329.0,1907191,python,python,_PyEval_EvalFrameDefault
62420948.0,1907158,python,python,unicodekeys_lookup_unicode
62251026.0,1907180,python,python,_PyFrame_ClearExceptCode
62102544.0,1907169,python,python,_Py_Dealloc
60288393.0,1907169,python,python,_PyCompactLong_Add
59864604.0,1907158,python,python,_PyFrame_ClearExceptCode
59347313.0,1907213,python,python,_PyCompactLong_Add
58009028.0,1907169,python,python,_PyType_LookupStackRefAndVersion
55508687.0,1907158,python,python,_Py_Dealloc
55384985.0,1907169,python,python,unicodekeys_lookup_unicode
54396204.0,1907191,python,python,_Py_Dealloc
54368832.0,1907191,python,python,_PyCompactLong_Add
53398197.0,1907151,python,python,_Py_Dealloc
53342946.0,1907169,python,python,_PyFrame_ClearExceptCode
52478851.0,1907213,python,python,_Py_Dealloc
52394361.0,1907180,python,python,_Py_Dealloc
50440868.0,1907180,python,python,_PyType_LookupStackRefAndVersion
50273982.0,1907180,python,python,unicodekeys_lookup_unicode
49588051.0,1907191,python,python,unicodekeys_lookup_unicode
49306538.0,1907180,python,python,_PyObject_TryGetInstanceAttribute
47506255.0,1907202,python,python,_Py_Dealloc
47489081.0,1907213,python,python,unicodekeys_lookup_unicode
46548961.0,1907169,python,python,_PyObject_TryGetInstanceAttribute
45544888.0,1907202,python,python,unicodekeys_lookup_unicode
45467326.0,1907169,python,python,_Py_LoadAttr_StackRefSteal
41693645.0,1907151,python,python,_PyObject_TryGetInstanceAttribute
40579368.0,1907191,python,python,_PyObject_TryGetInstanceAttribute
39635796.0,1907158,python,python,long_div
38467496.0,1907191,python,python,_Py_LoadAttr_StackRefSteal
38456546.0,1907213,python,python,_PyEval_FrameClearAndPop
38422922.0,1907158,python,python,_PyEval_FrameClearAndPop
36655846.0,1907158,python,python,_PyObject_TryGetInstanceAttribute
36627930.0,1907151,python,python,_Py_LoadAttr_StackRefSteal
35661819.0,1907180,python,python,_Py_LoadAttr_StackRefSteal
33562206.0,1907213,python,python,_PyObject_TryGetInstanceAttribute
33523286.0,1907180,python,python,_PyEval_FrameClearAndPop
31652892.0,1907151,python,python,_PyCompactLong_Subtract
31509083.0,1907158,python,python,_Py_LoadAttr_StackRefSteal
30667707.0,1907191,python,python,long_div
30627988.0,1907202,python,python,_PyCompactLong_Subtract
30620675.0,1907191,python,python,_PyEval_FrameClearAndPop
29729016.0,1907158,python,python,_PyCompactLong_Subtract
29694962.0,1907151,python,python,long_dealloc
28720441.0,1907202,python,python,_PyObject_TryGetInstanceAttribute
28719374.0,1907151,python,[JIT],0x00007331460773a0
28490453.0,1907213,python,[JIT],0x00007dfa1416b18c
27681593.0,1907169,python,python,long_div
27579395.0,1907169,python,python,_PyEval_FrameClearAndPop
25771629.0,1907158,python,python,long_dealloc
25751347.0,1907169,python,python,long_dealloc
25714036.0,1907213,python,python,_Py_LoadAttr_StackRefSteal
25694569.0,1907180,python,python,_PyCompactLong_Subtract
24754779.0,1907151,python,[JIT],0x00007331460792eb
24751893.0,1907202,python,python,_Py_LoadAttr_StackRefSteal
24748572.0,1907151,python,python,long_div
24526170.0,1907213,python,python,_PyCompactLong_Subtract
23751397.0,1907202,python,python,long_dealloc
22805562.0,1907191,python,python,_PyCompactLong_Subtract
22792614.0,1907151,python,python,PyObject_IsInstance
22763294.0,1907191,python,[JIT],0x000072081f25318c
22760875.0,1907213,python,python,long_dealloc
22752706.0,1907151,python,[JIT],0x000073314607718c
21816453.0,1907202,python,python,long_div
21802042.0,1907180,python,[JIT],0x0000755b54f2c355
21796174.0,1907213,python,python,long_div
21696750.0,1907180,python,python,long_dealloc
21634344.0,1907180,python,python,long_div
20825773.0,1907158,python,python,_PyLong_FromMedium
20791515.0,1907202,python,python,PyObject_IsInstance
19813636.0,1907151,python,[JIT],0x0000733146077777
19803454.0,1907180,python,python,PyObject_IsInstance
19797538.0,1907151,python,[JIT],0x0000733146be65c1
19763326.0,1907191,python,python,_PyThreadState_PopFrame
18843234.0,1907151,python,python,range_iter
18836222.0,1907213,python,python,range_iter
18805453.0,1907180,python,[JIT],0x0000755b543be3a4
18803737.0,1907202,python,python,_Py_NewReference
18788428.0,1907169,python,python,PyObject_GetIter
18777208.0,1907213,python,[JIT],0x00007dfa1416b777
18757349.0,1907169,python,python,_PyThreadState_PopFrame
17829002.0,1907191,python,python,range_iter
17826280.0,1907202,python,[JIT],0x00007b36a101c574
17823281.0,1907169,python,python,_PyCompactLong_Subtract
17812043.0,1907151,python,[JIT],0x0000733146077773
17806070.0,1907158,python,[JIT],0x0000766b8bc12777
17793448.0,1907151,python,[JIT],0x0000733145c8357e
17781800.0,1907180,python,python,range_iter
17662506.0,1907151,python,[JIT],0x0000733146a1373a
17617713.0,1907180,python,[JIT],0x0000755b543be18c
16859323.0,1907191,python,python,long_dealloc
16841598.0,1907151,python,python,_Py_NewReference
16830198.0,1907213,python,[JIT],0x00007dfa14cd90a5
16827185.0,1907169,python,[JIT],0x00007989eeaff18c
16816162.0,1907202,python,[JIT],0x00007b36a101c777
16814210.0,1907169,python,[JIT],0x00007989eeaff773
16800169.0,1907180,python,[JIT],0x0000755b54f2c4bd
16765503.0,1907151,python,[JIT],0x00007331460773a4
16318397.0,1907158,python,python,_PyType_LookupStackRefAndVersion
15873130.0,1907180,python,[JIT],0x0000755b54e12355
15871200.0,1907169,python,[JIT],0x00007989ef081355
15849635.0,1907213,python,[JIT],0x00007dfa14cd9355
15846926.0,1907169,python,[JIT],0x00007989ef0814bd
15829718.0,1907151,python,[JIT],0x0000733146077574
15829638.0,1907180,python,python,_PyType_GetDict
15821886.0,1907151,python,[JIT],0x000073314609d355
15817641.0,1907213,python,[JIT],0x00007dfa1416b97a
15811232.0,1907158,python,[JIT],0x0000766b8b471355
15778115.0,1907180,python,python,PyLong_FromSsize_t
15732913.0,1907158,python,[JIT],0x0000766b8bc12773
14864811.0,1907158,python,[JIT],0x0000766b8bc1218c
14864434.0,1907158,python,[JIT],0x0000766b8be9e4bd
14860182.0,1907151,python,python,_PyType_GetDict
14857854.0,1907158,python,python,PyLong_FromSsize_t
14853520.0,1907169,python,[JIT],0x00007989eeb43355
14846989.0,1907213,python,python,_PyObject_GetAttrStackRef
14841530.0,1907151,python,[JIT],0x0000733145b177ca
14837553.0,1907151,python,python,_PyLong_FromMedium
14831181.0,1907151,python,[JIT],0x0000733145c86255
14817397.0,1907151,python,[JIT],0x0000733146be6a90
14802011.0,1907158,python,python,_PyObject_GetMethodStackRef
14791539.0,1907169,python,[JIT],0x00007989eeaff1a1
14770695.0,1907213,python,[JIT],0x00007dfa1416b574
