self,pid,command,shared_obj,symbol
315474447.0,2977842,python,python,_PyFrame_ClearExceptCode
226136098.0,2977904,python,python,_PyFrame_ClearExceptCode
223945030.0,2977842,python,python,_PyEval_FrameClearAndPop
202548416.0,2977882,python,python,_PyFrame_ClearExceptCode
195762928.0,2978043,python,python,_PyFrame_ClearExceptCode
194175936.0,2978021,python,python,_PyFrame_ClearExceptCode
193645550.0,2977860,python,python,_PyFrame_ClearExceptCode
192749464.0,2977960,python,python,_PyFrame_ClearExceptCode
190594898.0,2977927,python,python,_PyFrame_ClearExceptCode
190560359.0,2978032,python,python,_PyFrame_ClearExceptCode
190289375.0,2977985,python,python,_PyFrame_ClearExceptCode
188762555.0,2977996,python,python,_PyFrame_ClearExceptCode
188083284.0,2978054,python,python,_PyFrame_ClearExceptCode
187550435.0,2977974,python,python,_PyFrame_ClearExceptCode
187122061.0,2977893,python,python,_PyFrame_ClearExceptCode
186895107.0,2977849,python,python,_PyFrame_ClearExceptCode
186809369.0,2977949,python,python,_PyFrame_ClearExceptCode
186488349.0,2977916,python,python,_PyFrame_ClearExceptCode
182708285.0,2977938,python,python,_PyFrame_ClearExceptCode
175475436.0,2978054,python,python,_PyEval_FrameClearAndPop
174488181.0,2977871,python,python,_PyFrame_ClearExceptCode
172169847.0,2978007,python,python,_PyFrame_ClearExceptCode
167253511.0,2978066,python,python,_PyFrame_ClearExceptCode
142481313.0,2977882,python,python,_PyEval_FrameClearAndPop
142333142.0,2977871,python,python,_PyEval_FrameClearAndPop
142243499.0,2977938,python,python,_PyEval_FrameClearAndPop
139921001.0,2977842,python,python,_PyEval_EvalFrameDefault
138254899.0,2977985,python,python,_PyEval_FrameClearAndPop
137053620.0,2977996,python,python,_PyEval_FrameClearAndPop
134634870.0,2978032,python,python,_PyEval_FrameClearAndPop
132518679.0,2978043,python,python,_PyEval_FrameClearAndPop
132447688.0,2977893,python,python,_PyEval_FrameClearAndPop
132182730.0,2977916,python,python,_PyEval_FrameClearAndPop
132075947.0,2977985,python,python,_PyEval_EvalFrameDefault
130556826.0,2977860,python,python,_PyEval_FrameClearAndPop
128514888.0,2977849,python,python,_PyEval_FrameClearAndPop
127544633.0,2977916,python,python,_PyEval_EvalFrameDefault
120849145.0,2977893,python,python,_PyEval_EvalFrameDefault
118581180.0,2977938,python,python,_PyEval_EvalFrameDefault
116784297.0,2978066,python,python,_PyEval_FrameClearAndPop
115975565.0,2977904,python,python,_PyEval_EvalFrameDefault
115832982.0,2977860,python,python,_PyEval_EvalFrameDefault
115615697.0,2978007,python,python,_PyEval_FrameClearAndPop
115469892.0,2977974,python,python,_PyEval_FrameClearAndPop
114375960.0,2978007,python,python,_PyEval_EvalFrameDefault
112673816.0,2978021,python,python,_PyEval_FrameClearAndPop
111947758.0,2977927,python,python,_PyEval_EvalFrameDefault
111826583.0,2977949,python,python,_PyEval_FrameClearAndPop
110849619.0,2977974,python,python,_PyEval_EvalFrameDefault
109733437.0,2977960,python,python,_PyEval_FrameClearAndPop
109049137.0,2978043,python,python,_PyEval_EvalFrameDefault
109007015.0,2977927,python,python,_PyEval_FrameClearAndPop
107170748.0,2978032,python,python,_PyEval_EvalFrameDefault
106625238.0,2977882,python,python,_PyEval_EvalFrameDefault
105741057.0,2977849,python,python,_PyEval_EvalFrameDefault
105105114.0,2977949,python,python,_PyEval_EvalFrameDefault
103836503.0,2977960,python,python,_PyEval_EvalFrameDefault
103690115.0,2977904,python,python,_PyEval_FrameClearAndPop
99786494.0,2977996,python,python,_PyEval_EvalFrameDefault
97441185.0,2978054,python,python,_PyEval_EvalFrameDefault
91067233.0,2978066,python,python,_PyEval_EvalFrameDefault
87975495.0,2977985,python,python,_PyThreadState_PopFrame
86678348.0,2977871,python,python,_PyEval_EvalFrameDefault
82113061.0,2977842,python,python,_PyThreadState_PopFrame
73018542.0,2977960,python,python,_PyFrame_ClearExceptCode
72778307.0,2977927,python,python,_PyFrame_ClearExceptCode
69813382.0,2977949,python,python,_PyFrame_ClearExceptCode
68047324.0,2977916,python,python,_PyFrame_ClearExceptCode
66113619.0,2977904,python,python,_PyFrame_ClearExceptCode
65542113.0,2977974,python,python,_PyFrame_ClearExceptCode
65194686.0,2977842,python,python,do_super_lookup
64115787.0,2977849,python,python,_PyFrame_ClearExceptCode
62141543.0,2977882,python,python,_PyFrame_ClearExceptCode
61378792.0,2977871,python,python,do_super_lookup
60753627.0,2977974,python,python,_PyThreadState_PopFrame
60323245.0,2977893,python,python,_PyFrame_ClearExceptCode
60217029.0,2977860,python,python,_PyFrame_ClearExceptCode
60068391.0,2978066,python,python,_PyFrame_ClearExceptCode
58771798.0,2978054,python,python,_PyFrame_ClearExceptCode
57975914.0,2977860,python,python,_PyThreadState_PopFrame
56622324.0,2978032,python,python,_PyFrame_ClearExceptCode
56068092.0,2978054,python,python,_PyEval_FrameClearAndPop
55115784.0,2978007,python,python,_PyFrame_ClearExceptCode
54252716.0,2977996,python,python,_PyFrame_ClearExceptCode
54249458.0,2977893,python,python,do_super_lookup
54245129.0,2978043,python,python,_PyFrame_ClearExceptCode
54230233.0,2977927,python,python,do_super_lookup
54168396.0,2977871,python,python,_PyFrame_ClearExceptCode
53430150.0,2978021,python,python,_PyThreadState_PopFrame
52454359.0,2978054,python,python,_PyThreadState_PopFrame
52381987.0,2977904,python,python,do_super_lookup
52313828.0,2977916,python,python,PyDict_GetItemRef
52268450.0,2977938,python,python,_PyThreadState_PopFrame
51896687.0,2977882,python,python,_PyThreadState_PopFrame
51474714.0,2977893,python,python,unicodekeys_lookup_unicode
50315405.0,2977996,python,python,_PyEval_FrameClearAndPop
49478319.0,2977893,python,python,_PyThreadState_PopFrame
49474006.0,2977842,python,python,_Py_dict_lookup
49367686.0,2977960,python,python,_PyThreadState_PopFrame
49313495.0,2977938,python,python,_PyFrame_ClearExceptCode
49312206.0,2977938,python,python,_PyEval_FrameClearAndPop
48400340.0,2977985,python,python,do_super_lookup
47529316.0,2977938,python,python,do_super_lookup
47451134.0,2978032,python,python,_PyThreadState_PopFrame
47451050.0,2977849,python,python,_PyThreadState_PopFrame
47290908.0,2977974,python,python,_PyEval_FrameClearAndPop
46499533.0,2977882,python,python,do_super_lookup
46403003.0,2977949,python,python,do_super_lookup
46261560.0,2977893,python,python,_PyEval_FrameClearAndPop
