self,pid,command,shared_obj,symbol
817285793.0,1907798,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
789302883.0,1907498,python,python,PyNumber_AsSsize_t
787256277.0,1907487,python,python,_Py_Dealloc
761967728.0,1907469,python,python,_Py_Dealloc
751421213.0,1907469,python,python,PyNumber_AsSsize_t
735388195.0,1907487,python,python,PyFloat_FromDouble
729543389.0,1907469,python,python,vgetargs1_impl.constprop.0
728526748.0,1907805,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
725405464.0,1907513,python,python,_Py_Dealloc
723130605.0,1907487,python,python,convertitem.constprop.0
719239997.0,1907549,python,python,PyNumber_AsSsize_t
713851747.0,1907487,python,python,PyNumber_AsSsize_t
709591943.0,1907875,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
704204239.0,1907549,python,python,_Py_Dealloc
702986067.0,1907487,python,python,vgetargs1_impl.constprop.0
698976586.0,1907476,python,python,vgetargs1_impl.constprop.0
697771493.0,1907549,python,python,vgetargs1_impl.constprop.0
696089140.0,1907524,python,python,vgetargs1_impl.constprop.0
694648823.0,1907524,python,python,PyNumber_AsSsize_t
692515634.0,1907476,python,python,_Py_Dealloc
689784471.0,1907864,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
689451968.0,1907839,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
680196016.0,1907498,python,python,vgetargs1_impl.constprop.0
674693387.0,1907827,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
670021489.0,1907524,python,python,_Py_Dealloc
666967988.0,1907513,python,python,PyNumber_AsSsize_t
665893566.0,1907816,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
655039917.0,1907469,python,python,convertitem.constprop.0
652914433.0,1907798,python,python,PyNumber_AsSsize_t
649836850.0,1907487,python,python,_PyCompactLong_Add
636672280.0,1907498,python,python,_Py_Dealloc
633082694.0,1907469,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
632572441.0,1907476,python,python,convertitem.constprop.0
626633558.0,1907476,python,python,PyNumber_AsSsize_t
617215694.0,1907524,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
603871372.0,1907469,python,python,PyFloat_FromDouble
602628680.0,1907498,python,python,convertitem.constprop.0
598264621.0,1907524,python,python,PyFloat_FromDouble
597127597.0,1907827,python,python,PyNumber_AsSsize_t
594400801.0,1907513,python,python,vgetargs1_impl.constprop.0
593938612.0,1907524,python,python,convertitem.constprop.0
588098194.0,1907476,python,python,PyFloat_FromDouble
581547214.0,1907549,python,python,convertitem.constprop.0
570474917.0,1907513,python,python,convertitem.constprop.0
565737549.0,1907513,python,python,PyFloat_FromDouble
561712746.0,1907498,python,python,PyFloat_FromDouble
557380155.0,1907513,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
555422179.0,1907549,python,python,PyFloat_FromDouble
543156089.0,1907549,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
541573055.0,1907816,python,python,PyNumber_AsSsize_t
539710926.0,1907487,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
525218635.0,1907875,python,python,PyNumber_AsSsize_t
517959245.0,1907469,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
516057352.0,1907469,python,python,_PyCompactLong_Add
513298704.0,1907498,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
513174444.0,1907864,python,python,PyNumber_AsSsize_t
513112711.0,1907805,python,python,PyNumber_AsSsize_t
507406444.0,1907513,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
504796491.0,1907839,python,python,PyNumber_AsSsize_t
491451943.0,1907513,python,python,_PyCompactLong_Add
485431356.0,1907476,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
480236891.0,1907476,python,python,_PyCompactLong_Add
472389650.0,1907549,python,python,_PyCompactLong_Add
471923310.0,1907498,python,python,_PyCompactLong_Add
471482358.0,1907524,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
454453027.0,1907524,python,python,_PyCompactLong_Add
448921188.0,1907798,python,python,PyFloat_FromDouble
437888272.0,1907513,python,python,PyObject_GetItem
429606632.0,1907476,python,python,PyObject_GetItem
423753352.0,1907549,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
417817385.0,1907487,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
416584853.0,1907498,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
414358852.0,1907798,python,python,PyObject_GetItem
413234111.0,1907805,python,python,PyObject_GetItem
412037370.0,1907476,python,python,PyObject_SetItem
390256361.0,1907513,python,python,PyArg_Parse
388511894.0,1907875,python,python,PyFloat_FromDouble
388182656.0,1907562,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
383318754.0,1907487,python,python,PyObject_GetItem
380520107.0,1907864,python,python,PyFloat_FromDouble
370166867.0,1907839,python,python,PyFloat_FromDouble
368699316.0,1907816,python,python,PyFloat_FromDouble
363617645.0,1907816,python,python,_PyLong_FromMedium
363369658.0,1907476,python,array.cpython-316-x86_64-linux-gnu.so,array_ass_subscr
362741240.0,1907562,python,python,_PyType_LookupStackRefAndVersion
358439049.0,1907624,python,python,PyNumber_AsSsize_t
343448343.0,1907513,python,array.cpython-316-x86_64-linux-gnu.so,d_setitem
338706436.0,1907469,python,python,PyArg_Parse
334038194.0,1907875,python,python,PyObject_GetItem
331343031.0,1907476,python,python,PyArg_Parse
330723342.0,1907580,python,python,PyNumber_AsSsize_t
330269821.0,1907827,python,python,PyObject_GetItem
329908815.0,1907591,python,python,PyFloat_FromDouble
328322402.0,1907524,python,python,PyArg_Parse
328271263.0,1907827,python,python,PyFloat_FromDouble
327854602.0,1907549,python,python,PyArg_Parse
327323612.0,1907562,python,python,PyNumber_AsSsize_t
325073961.0,1907864,python,python,PyObject_GetItem
324173388.0,1907805,python,python,PyFloat_FromDouble
324029422.0,1907591,python,python,PyNumber_AsSsize_t
321573637.0,1907549,python,python,PyLong_AsSsize_t
319772254.0,1907602,python,python,_PyObject_GenericGetAttrWithDict
319367285.0,1907469,python,array.cpython-316-x86_64-linux-gnu.so,d_setitem
319198380.0,1907839,python,python,PyObject_GetItem
318163735.0,1907569,python,python,object_isinstance
317910654.0,1907469,python,python,float_dealloc
315069362.0,1907624,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
314908069.0,1907613,python,python,_PyFrame_ClearExceptCode
313872551.0,1907569,python,python,PyNumber_AsSsize_t
312072341.0,1907580,python,array.cpython-316-x86_64-linux-gnu.so,array_subscr
308849112.0,1907602,python,python,PyNumber_AsSsize_t
305975024.0,1907469,python,python,PyObject_GetItem
305014088.0,1907569,python,python,PyType_GetModuleByDef
300796820.0,1907498,python,python,PyArg_Parse
300406264.0,1907549,python,python,PyObject_GetItem
300198701.0,1907498,python,python,PyLong_AsSsize_t
