self,pid,command,shared_obj,symbol
6108666401.0,39678,python,python,_PyEval_EvalFrameDefault
5205259975.0,39699,python,python,_PyEval_EvalFrameDefault
5172407470.0,39715,python,python,_PyEval_EvalFrameDefault
5170715837.0,39739,python,python,_PyEval_EvalFrameDefault
5146484018.0,39766,python,python,_PyEval_EvalFrameDefault
5005929384.0,39777,python,python,_PyEval_EvalFrameDefault
4223074120.0,39678,python,python,sre_ucs1_match
3754784912.0,39777,python,python,sre_ucs1_match
3745419016.0,39699,python,python,sre_ucs1_match
3633580569.0,39739,python,python,sre_ucs1_match
3630989024.0,39766,python,python,sre_ucs1_match
3615784351.0,39715,python,python,sre_ucs1_match
2408268904.0,39678,python,python,gc_collect_main
2308041580.0,39699,python,python,gc_collect_main
2305528212.0,39739,python,python,gc_collect_main
2254787949.0,39777,python,python,gc_collect_main
2253863717.0,39715,python,python,gc_collect_main
2242070171.0,39766,python,python,gc_collect_main
1652943946.0,39678,python,python,_PyType_LookupStackRefAndVersion
1514625868.0,39777,python,python,_PyType_LookupStackRefAndVersion
1481343535.0,39766,python,python,_PyType_LookupStackRefAndVersion
1478744184.0,39699,python,python,_PyType_LookupStackRefAndVersion
1460976049.0,39739,python,python,_PyType_LookupStackRefAndVersion
1428935613.0,39715,python,python,_PyType_LookupStackRefAndVersion
1206069086.0,39678,python,python,unicodekeys_lookup_unicode
1197094300.0,39678,python,python,_PyObject_Malloc
1159415588.0,39678,python,python,_PyObject_GenericGetAttrWithDict
1141749435.0,39715,python,python,unicodekeys_lookup_unicode
1129100097.0,39739,python,python,unicodekeys_lookup_unicode
1121580807.0,39699,python,python,_PyObject_Malloc
1107928937.0,39739,python,python,_PyObject_Malloc
1102318429.0,39699,python,python,unicodekeys_lookup_unicode
1080174393.0,39777,python,python,unicodekeys_lookup_unicode
1058254049.0,39766,python,python,unicodekeys_lookup_unicode
1044638220.0,39777,python,python,_PyObject_Malloc
1033765655.0,39715,python,python,_PyObject_Malloc
1026181500.0,39715,python,python,_PyObject_GenericGetAttrWithDict
1012461848.0,39766,python,python,_PyObject_Malloc
1003505470.0,39777,python,python,_PyObject_GenericGetAttrWithDict
1002758192.0,39699,python,python,_PyObject_GenericGetAttrWithDict
1002586095.0,39726,python,python,_PyEval_EvalFrameDefault
991393790.0,39739,python,python,_PyObject_GenericGetAttrWithDict
984714841.0,39777,python,python,_PyEval_EvalFrameDefault
980221309.0,39699,python,python,_PyEval_EvalFrameDefault
975669776.0,39715,python,python,_PyEval_EvalFrameDefault
942623465.0,39739,python,python,_PyEval_EvalFrameDefault
936736606.0,39766,python,python,_PyObject_GenericGetAttrWithDict
932638089.0,39766,python,python,_PyEval_EvalFrameDefault
758375490.0,39678,python,python,_PyObject_Free
748382934.0,39678,python,python,_PyFrame_ClearExceptCode
738007740.0,39715,python,python,_PyFrame_ClearExceptCode
734779424.0,39715,python,python,_Py_dict_lookup
733599434.0,39678,python,python,_Py_dict_lookup
713542769.0,39766,python,python,_PyObject_Free
707132634.0,39699,python,python,_PyFrame_ClearExceptCode
707089179.0,39739,python,python,_Py_dict_lookup
704216628.0,39777,python,python,_PyFrame_ClearExceptCode
697977480.0,39739,python,python,_PyFrame_ClearExceptCode
694976651.0,39766,python,python,_PyFrame_ClearExceptCode
694279105.0,39678,python,python,visit_decref
685869968.0,39699,python,python,_PyObject_Free
680551306.0,39699,python,python,_Py_dict_lookup
673516201.0,39739,python,python,_PyObject_Free
670271119.0,39777,python,python,_PyObject_Free
654329028.0,39739,python,python,visit_decref
633203764.0,39699,python,python,visit_decref
624160236.0,39777,python,python,_Py_dict_lookup
622438110.0,39766,python,python,_Py_dict_lookup
620073664.0,39777,python,python,visit_decref
610174943.0,39766,python,python,visit_decref
599142481.0,39715,python,python,visit_decref
581859387.0,39715,python,python,_PyObject_Free
540020509.0,39678,python,python,_Py_Dealloc
522287961.0,39739,python,python,PyType_IsSubtype
518674977.0,39678,python,python,initialize_locals
509215284.0,39678,python,python,PyType_IsSubtype
502750251.0,39777,python,python,_Py_Dealloc
494572221.0,39766,python,python,_Py_Dealloc
490425851.0,39766,python,libc.so.6,__memmove_avx_unaligned_erms
488590248.0,39715,python,python,_Py_Dealloc
487201868.0,39699,python,python,_Py_Dealloc
486916820.0,39678,python,libc.so.6,__memmove_avx_unaligned_erms
477833995.0,39739,python,python,_Py_Dealloc
475392499.0,39777,python,libc.so.6,__memmove_avx_unaligned_erms
469734742.0,39678,python,python,_PyObject_GetAttrStackRef
469503752.0,39715,python,python,_PyObject_GetAttrStackRef
464777640.0,39678,python,python,_PyObject_TryGetInstanceAttribute
463299114.0,39739,python,python,initialize_locals
463226609.0,39699,python,libc.so.6,__memmove_avx_unaligned_erms
460232740.0,39715,python,libc.so.6,__memmove_avx_unaligned_erms
451415917.0,39699,python,python,initialize_locals
451313233.0,39678,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
450802917.0,39699,python,python,PyType_IsSubtype
445746674.0,39739,python,libc.so.6,__memmove_avx_unaligned_erms
442430323.0,39766,python,python,PyType_IsSubtype
439671107.0,39699,python,python,_PyObject_GetAttrStackRef
436842230.0,39777,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
434816145.0,39715,python,python,initialize_locals
429444717.0,39715,python,python,PyType_IsSubtype
424617605.0,39739,python,python,_PyObject_TryGetInstanceAttribute
424196888.0,39777,python,python,PyType_IsSubtype
422207200.0,39699,python,python,_PyObject_TryGetInstanceAttribute
417746568.0,39715,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
415585924.0,39739,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
412108672.0,39678,python,python,visit_reachable
412014355.0,39766,python,python,_PyObject_GetAttrStackRef
409306801.0,39777,python,python,_PyObject_GetAttrStackRef
405176595.0,39766,python,python,initialize_locals
404968945.0,39699,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
404874401.0,39777,python,python,visit_reachable
400227753.0,39777,python,python,initialize_locals
396600397.0,39766,python,_pickle.cpython-316-x86_64-linux-gnu.so,save.constprop.0
