self,pid,command,shared_obj,symbol
576796292.0,2303037,python,python,take_gil
557383511.0,2303101,python,python,take_gil
554537408.0,2303089,python,python,take_gil
549848363.0,2303037,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
549630935.0,2303067,python,python,take_gil
540381857.0,2303078,python,python,take_gil
502197970.0,2303056,python,python,take_gil
452545921.0,2303037,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
450257351.0,2303078,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
447949662.0,2303067,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
440013096.0,2303089,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
428722335.0,2303067,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
409012778.0,2303101,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
406044870.0,2303101,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
391314649.0,2303089,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
384471616.0,2303078,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
374602216.0,2303056,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
351453494.0,2303056,python,libc.so.6,pthread_mutex_lock@@GLIBC_2.2.5
344118551.0,2303037,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
318636229.0,2303056,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
295109635.0,2303067,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
286363543.0,2303101,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
275202323.0,2303089,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
270460703.0,2303078,python,libc.so.6,pthread_mutex_unlock@@GLIBC_2.2.5
241246462.0,2303037,python,libm.so.6,__cos_fma
239569750.0,2303037,python,python,_Py_Dealloc
234716644.0,2303067,python,libm.so.6,__cos_fma
228342855.0,2303067,python,python,_Py_Dealloc
221966353.0,2303089,python,python,_Py_Dealloc
219454508.0,2303067,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
218806651.0,2303078,python,python,_Py_Dealloc
215592099.0,2303056,python,python,_Py_Dealloc
209970810.0,2303101,python,libm.so.6,__cos_fma
197070952.0,2303056,python,libm.so.6,__cos_fma
194027089.0,2303101,python,python,_Py_Dealloc
190209450.0,2303078,python,libm.so.6,__cos_fma
186395634.0,2303037,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
182319978.0,2303037,python,python,_PyObject_Free
175129183.0,2303037,python,libc.so.6,__memset_avx2_unaligned_erms
168192789.0,2303089,python,libc.so.6,__memset_avx2_unaligned_erms
158983670.0,2303037,python,python,drop_gil
158344529.0,2303067,python,libc.so.6,__memset_avx2_unaligned_erms
154457348.0,2303056,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
154305450.0,2303089,python,libm.so.6,__cos_fma
149215250.0,2303101,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
149182294.0,2303037,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
140284437.0,2303089,python,python,_PyObject_Free
136680378.0,2303078,python,python,_PyObject_Malloc
132866061.0,2303078,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
132820941.0,2303067,python,python,tuple_dealloc
132565537.0,2303101,python,libc.so.6,__memset_avx2_unaligned_erms
130759701.0,2303089,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
130684960.0,2303078,python,libc.so.6,__memset_avx2_unaligned_erms
130621875.0,2303056,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_query_execute
129746341.0,2303056,python,libc.so.6,__memset_avx2_unaligned_erms
129651371.0,2303078,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
128825675.0,2303089,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
124874175.0,2303101,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
122603531.0,2303067,python,python,_PyObject_Free
117814295.0,2303067,python,libc.so.6,pthread_cond_signal@@GLIBC_2.3.2
117343139.0,2303067,python,python,_PyEval_EvalFrameDefault
113950583.0,2303056,python,python,_PyObject_Malloc
111883654.0,2303056,python,python,_PyObject_Free
111619474.0,2303078,python,python,_PyObject_Free
105931578.0,2303037,python,_sqlite3.cpython-315-x86_64-linux-gnu.so,_pysqlite_fetch_one_row.constprop.0
104898646.0,2303101,python,python,_PyObject_Malloc
104404924.0,2303067,python,python,_PyThreadState_Detach
