self,pid,command,shared_obj,symbol
2626535833.0,1310136,python,python,_PyEval_EvalFrameDefault
2454079797.0,1310369,python,python,_PyEval_EvalFrameDefault
2265429808.0,1310154,python,python,_PyEval_EvalFrameDefault
2223453442.0,1310143,python,python,_PyEval_EvalFrameDefault
2203824807.0,1310190,python,python,_PyEval_EvalFrameDefault
2176657766.0,1310167,python,python,_PyEval_EvalFrameDefault
2173319412.0,1310202,python,python,_PyEval_EvalFrameDefault
2158031334.0,1310178,python,python,_PyEval_EvalFrameDefault
2127042760.0,1310213,python,python,_PyEval_EvalFrameDefault
2108471676.0,1310376,python,python,_PyEval_EvalFrameDefault
2088529294.0,1310387,python,python,_PyEval_EvalFrameDefault
2086141040.0,1310399,python,python,_PyEval_EvalFrameDefault
2085378137.0,1310421,python,python,_PyEval_EvalFrameDefault
2075135627.0,1310410,python,python,_PyEval_EvalFrameDefault
2002399828.0,1310432,python,python,_PyEval_EvalFrameDefault
1880848185.0,1310255,python,python,_PyEval_EvalFrameDefault
1832027213.0,1310266,python,python,_PyEval_EvalFrameDefault
1801421554.0,1310232,python,python,_PyEval_EvalFrameDefault
1791104071.0,1310243,python,python,_PyEval_EvalFrameDefault
1761918740.0,1310278,python,python,_PyEval_EvalFrameDefault
1753154033.0,1310289,python,python,_PyEval_EvalFrameDefault
1751089031.0,1310220,python,python,_PyEval_EvalFrameDefault
1452352511.0,1310334,python,python,_PyEval_EvalFrameDefault
1427748298.0,1310345,python,python,_PyEval_EvalFrameDefault
1419852364.0,1310319,python,python,_PyEval_EvalFrameDefault
1408258812.0,1310296,python,python,_PyEval_EvalFrameDefault
1386932119.0,1310356,python,python,_PyEval_EvalFrameDefault
1354446838.0,1310308,python,python,_PyEval_EvalFrameDefault
1120325628.0,1310154,python,python,_PyTypeCache_Lookup
1110942984.0,1310143,python,python,_PyTypeCache_Lookup
1097913467.0,1310136,python,python,_PyTypeCache_Lookup
1073067303.0,1310190,python,python,_PyTypeCache_Lookup
1044287973.0,1310167,python,python,_PyTypeCache_Lookup
993862403.0,1310202,python,python,_PyTypeCache_Lookup
971217639.0,1310178,python,python,_PyTypeCache_Lookup
638138973.0,1310376,python,python,_PyTypeCache_Lookup
635775023.0,1310136,python,python,unicodekeys_lookup_unicode
632870072.0,1310369,python,python,_PyTypeCache_Lookup
588192444.0,1310136,python,python,_Py_dict_lookup
588082335.0,1310432,python,python,_PyTypeCache_Lookup
587005693.0,1310399,python,python,_PyTypeCache_Lookup
586873341.0,1310136,python,python,initialize_locals
578098659.0,1310167,python,python,initialize_locals
560484680.0,1310202,python,python,initialize_locals
552006535.0,1310387,python,python,_PyTypeCache_Lookup
543870053.0,1310167,python,python,unicodekeys_lookup_unicode
541919447.0,1310143,python,python,initialize_locals
533759093.0,1310154,python,python,initialize_locals
533161635.0,1310410,python,python,_PyTypeCache_Lookup
528568231.0,1310178,python,python,initialize_locals
527380481.0,1310190,python,python,initialize_locals
525161595.0,1310421,python,python,_PyTypeCache_Lookup
521023570.0,1310143,python,python,unicodekeys_lookup_unicode
512263853.0,1310136,python,python,_PyObject_Malloc
510383338.0,1310167,python,python,_Py_dict_lookup
504186734.0,1310178,python,python,_Py_dict_lookup
501885282.0,1310143,python,python,_PyObject_Malloc
493497197.0,1310154,python,python,_Py_dict_lookup
492400003.0,1310202,python,python,unicodekeys_lookup_unicode
