self,pid,command,shared_obj,symbol
8608190666.0,1253045,python,python,_PyEval_EvalFrameDefault
7846105403.0,1253158,python,python,_PyEval_EvalFrameDefault
7786125558.0,1253053,python,python,_PyEval_EvalFrameDefault
7573758870.0,1253079,python,python,_PyEval_EvalFrameDefault
7563580333.0,1253134,python,python,_PyEval_EvalFrameDefault
7548731659.0,1253121,python,python,_PyEval_EvalFrameDefault
7532740471.0,1253095,python,python,_PyEval_EvalFrameDefault
5547893874.0,1253121,python,python,set_lookkey
5547651842.0,1253095,python,python,set_lookkey
5061191544.0,1253134,python,python,set_lookkey
5054864099.0,1253045,python,python,set_lookkey
5053073090.0,1253053,python,python,set_lookkey
4787766488.0,1253079,python,python,set_lookkey
4536287747.0,1253158,python,python,set_lookkey
3265016875.0,1253045,python,python,_PyUnicode_Equal
3252542652.0,1253053,python,python,_PyUnicode_Equal
3168484380.0,1253045,python,python,_PyCompactLong_Add
3141566050.0,1253053,python,python,_PyCompactLong_Add
3126860776.0,1253095,python,python,_PyUnicode_Equal
3037936739.0,1253095,python,python,_PyCompactLong_Add
2975069429.0,1253079,python,python,_PyUnicode_Equal
2972718052.0,1253121,python,python,_PyUnicode_Equal
2969107670.0,1253158,python,python,_PyUnicode_Equal
2907241344.0,1253134,python,python,_PyCompactLong_Add
2896045704.0,1253134,python,python,_PyUnicode_Equal
2891780731.0,1253121,python,python,_PyCompactLong_Add
2865628836.0,1253158,python,python,_PyCompactLong_Add
2807038913.0,1253079,python,python,_PyCompactLong_Add
2310246292.0,1253045,python,python,unicodekeys_lookup_unicode
2300691053.0,1253121,python,python,unicodekeys_lookup_unicode
2294183780.0,1253095,python,python,unicodekeys_lookup_unicode
2260869579.0,1253079,python,python,unicodekeys_lookup_unicode
2240005647.0,1253134,python,python,unicodekeys_lookup_unicode
2236849963.0,1253158,python,python,unicodekeys_lookup_unicode
2056330028.0,1253053,python,python,unicodekeys_lookup_unicode
1876448874.0,1253045,python,python,_PySet_Contains
1819110520.0,1253095,python,python,_PySet_Contains
1749313566.0,1253134,python,python,_PySet_Contains
1732762745.0,1253053,python,python,_PySet_Contains
1717128490.0,1253045,python,libc.so.6,__memcmp_avx2_movbe
1661357897.0,1253121,python,python,_PySet_Contains
1651359704.0,1253158,python,python,_PySet_Contains
1647017561.0,1253079,python,python,_PySet_Contains
1632254366.0,1253121,python,libc.so.6,__memcmp_avx2_movbe
1601596322.0,1253095,python,libc.so.6,__memcmp_avx2_movbe
1582734685.0,1253079,python,libc.so.6,__memcmp_avx2_movbe
1574188343.0,1253158,python,libc.so.6,__memcmp_avx2_movbe
1555541618.0,1253053,python,libc.so.6,__memcmp_avx2_movbe
1511516229.0,1253134,python,libc.so.6,__memcmp_avx2_movbe
1416457347.0,1253045,python,python,_PyFrame_ClearExceptCode
1400575223.0,1253045,python,python,_Py_dict_lookup
1326324135.0,1253045,python,python,_PyObject_Malloc
1317023408.0,1253053,python,python,_PyFrame_ClearExceptCode
1312008848.0,1253121,python,python,_PyObject_Malloc
1265598911.0,1253121,python,python,_Py_dict_lookup
1265289330.0,1253095,python,python,_PyObject_Malloc
1260881109.0,1253134,python,python,_Py_dict_lookup
1258518011.0,1253134,python,python,_PyObject_Malloc
1235162207.0,1253095,python,python,_Py_dict_lookup
1230743047.0,1253121,python,python,_PyFrame_ClearExceptCode
1229646951.0,1253053,python,python,_PyObject_Malloc
1227191917.0,1253158,python,python,_Py_dict_lookup
1226243225.0,1253045,python,python,_Py_Dealloc
1224656718.0,1253053,python,python,_Py_dict_lookup
1224084629.0,1253158,python,python,_PyFrame_ClearExceptCode
1220420141.0,1253045,python,python,PyDict_GetItemRef
1214714267.0,1253053,python,python,PyDict_GetItemRef
1210855684.0,1253079,python,python,PyDict_GetItemRef
1207858725.0,1253079,python,python,_Py_dict_lookup
1205057368.0,1253134,python,python,_PyFrame_ClearExceptCode
1204811511.0,1253095,python,python,PyDict_GetItemRef
1191957667.0,1253121,python,python,_Py_Dealloc
1178480376.0,1253158,python,python,_PyObject_Malloc
1164894276.0,1253095,python,python,_PyFrame_ClearExceptCode
1162859046.0,1253158,python,python,PyDict_GetItemRef
1159229415.0,1253121,python,python,PyDict_GetItemRef
1155778176.0,1253053,python,python,_Py_Dealloc
1144408368.0,1253079,python,python,_PyObject_Malloc
1136651059.0,1253079,python,python,_PyFrame_ClearExceptCode
1130856834.0,1253079,python,python,_Py_Dealloc
1121518650.0,1253095,python,python,_Py_Dealloc
1118556635.0,1253134,python,python,_Py_Dealloc
1108269852.0,1253158,python,python,_Py_Dealloc
1075045325.0,1253134,python,python,PyDict_GetItemRef
919032052.0,1253045,python,python,_PyLong_ExactDealloc
908093367.0,1253053,python,python,_PyObject_Free
900739892.0,1253045,python,python,_PyObject_Free
895320756.0,1253053,python,python,_PyLong_ExactDealloc
890426614.0,1253045,python,python,_PyIncrementalNewlineDecoder_decode
879470731.0,1253121,python,python,_PyLong_ExactDealloc
856058577.0,1253134,python,python,_PyEval_EvalFrameDefault
854303219.0,1253121,python,python,_PyObject_Free
846842906.0,1253095,python,python,_PyEval_EvalFrameDefault
845872118.0,1253134,python,python,_PyLong_ExactDealloc
841114008.0,1253079,python,python,_PyEval_EvalFrameDefault
824919220.0,1253158,python,python,_PyEval_EvalFrameDefault
815923759.0,1253121,python,python,_PyEval_EvalFrameDefault
814587991.0,1253095,python,python,_PyLong_ExactDealloc
802426512.0,1253079,python,python,_PyLong_ExactDealloc
783856496.0,1253158,python,python,_PyLong_ExactDealloc
771742361.0,1253158,python,python,_PyIncrementalNewlineDecoder_decode
768915525.0,1253079,python,python,_PyObject_Free
766423001.0,1253158,python,python,_PyObject_Free
759785566.0,1253053,python,python,_PyIncrementalNewlineDecoder_decode
747123832.0,1253134,python,python,_PyObject_Free
746308452.0,1253121,python,python,_PyIncrementalNewlineDecoder_decode
746175341.0,1253079,python,python,_PyIncrementalNewlineDecoder_decode
743969197.0,1253134,python,python,_PyIncrementalNewlineDecoder_decode
719486073.0,1253095,python,python,_PyIncrementalNewlineDecoder_decode
681403173.0,1253045,python,python,_PyUnicode_FromUCS4.part.0
671087654.0,1253095,python,python,_PyObject_Free
638697987.0,1253079,python,python,_PyUnicode_FromUCS4.part.0
629691266.0,1253053,python,python,tuple_dealloc
627379904.0,1253134,python,python,_PyUnicode_FromUCS4.part.0
625703091.0,1253095,python,python,tuple_dealloc
622769392.0,1253079,python,python,tuple_dealloc
621616762.0,1253045,python,libc.so.6,__memmove_avx_unaligned_erms
620328568.0,1253045,python,python,_PyEval_FrameClearAndPop
618667410.0,1253158,python,python,_PyUnicode_FromUCS4.part.0
618288629.0,1253045,python,python,_PyTuple_FromStackRefStealOnSuccess
612444580.0,1253045,python,python,_PyObject_GenericGetAttrWithDict
610227148.0,1253045,python,python,tuple_dealloc
608875125.0,1253095,python,python,_PyUnicode_FromUCS4.part.0
606232103.0,1253134,python,python,_PyObject_GenericGetAttrWithDict
605721013.0,1253053,python,python,_PyUnicode_FromUCS4.part.0
599788315.0,1253121,python,python,_PyUnicode_FromUCS4.part.0
598844498.0,1253158,python,python,_PyObject_GenericGetAttrWithDict
592127796.0,1253134,python,python,sre_ucs4_match
587501778.0,1253079,python,libc.so.6,__memmove_avx_unaligned_erms
585120776.0,1253095,python,python,_PyObject_GenericGetAttrWithDict
582067438.0,1253053,python,python,_PyObject_GenericGetAttrWithDict
579622805.0,1253045,python,python,sre_ucs4_match
578666639.0,1253121,python,python,sre_ucs4_match
572640815.0,1253121,python,libc.so.6,__memmove_avx_unaligned_erms
571719944.0,1253134,python,libc.so.6,__memmove_avx_unaligned_erms
569696410.0,1253121,python,python,set_lookkey
563378532.0,1253095,python,python,set_lookkey
562539269.0,1253158,python,libc.so.6,__memmove_avx_unaligned_erms
560010609.0,1253121,python,python,tuple_dealloc
556926483.0,1253095,python,python,sre_ucs4_match
556430389.0,1253095,python,python,_PyType_LookupStackRefAndVersion
554754991.0,1253095,python,libc.so.6,__memmove_avx_unaligned_erms
550758336.0,1253079,python,python,sre_ucs4_match
550157253.0,1253121,python,python,_PyObject_GenericGetAttrWithDict
549342079.0,1253158,python,python,sre_ucs4_match
545873589.0,1253053,python,python,sre_ucs4_match
542444238.0,1253158,python,python,_PyTuple_FromStackRefStealOnSuccess
540783450.0,1253079,python,python,_PyTuple_FromStackRefStealOnSuccess
539008802.0,1253053,python,libc.so.6,__memmove_avx_unaligned_erms
538196114.0,1253045,python,python,_PyType_LookupStackRefAndVersion
535347467.0,1253045,python,python,_Py_NewReference
534587143.0,1253134,python,python,tuple_dealloc
533479653.0,1253158,python,python,_Py_NewReference
531877298.0,1253053,python,python,_PyTuple_FromStackRefStealOnSuccess
529761175.0,1253095,python,python,_PyEval_FrameClearAndPop
528681745.0,1253053,python,python,_PyEval_FrameClearAndPop
526345752.0,1253121,python,python,_PyTuple_FromStackRefStealOnSuccess
526209432.0,1253121,python,python,_Py_NewReference
524961804.0,1253079,python,python,_PyObject_GenericGetAttrWithDict
520461403.0,1253045,python,python,PySlice_AdjustIndices
516493352.0,1253095,python,python,_PyTuple_FromStackRefStealOnSuccess
514475235.0,1253095,python,python,_Py_NewReference
511804662.0,1253134,python,python,_PyTuple_FromStackRefStealOnSuccess
504594339.0,1253158,python,python,tuple_dealloc
504055483.0,1253134,python,python,set_lookkey
500904464.0,1253134,python,python,_Py_NewReference
498224378.0,1253134,python,python,_PyEval_FrameClearAndPop
497484938.0,1253079,python,python,_Py_NewReference
496446721.0,1253095,python,python,PySlice_AdjustIndices
493108082.0,1253053,python,python,_Py_NewReference
491311217.0,1253134,python,python,_PyType_LookupStackRefAndVersion
487810472.0,1253158,python,python,_PyType_LookupStackRefAndVersion
487693141.0,1253121,python,python,_PyEval_FrameClearAndPop
476500971.0,1253079,python,python,_PyEval_FrameClearAndPop
473958928.0,1253158,python,python,_PyEval_FrameClearAndPop
472695787.0,1253158,python,python,set_lookkey
470617786.0,1253079,python,python,set_lookkey
468653834.0,1253053,python,python,PySlice_AdjustIndices
467465533.0,1253079,python,python,PySlice_AdjustIndices
455641622.0,1253134,python,python,PySlice_AdjustIndices
454060391.0,1253121,python,python,_PyType_LookupStackRefAndVersion
453670405.0,1253079,python,python,_PyType_LookupStackRefAndVersion
452628272.0,1253053,python,python,_PyType_LookupStackRefAndVersion
430617886.0,1253158,python,python,PySlice_AdjustIndices
427433145.0,1253045,python,python,PyType_IsSubtype
419426828.0,1253053,python,python,tuple_alloc
409482413.0,1253121,python,python,PySlice_AdjustIndices
404504988.0,1253045,python,python,tuple_alloc
376768241.0,1253053,python,python,_Py_CallBuiltinClass_StackRefSteal
364041345.0,1253045,python,python,unicode_decode_utf8_impl
357725042.0,1253158,python,python,unicode_decode_utf8_impl
357361066.0,1253121,python,python,PyDict_Contains
352967904.0,1253079,python,python,unicode_decode_utf8_impl
352892048.0,1253079,python,python,tuple_alloc
352230929.0,1253045,python,python,PyFunction_NewWithQualName
352222372.0,1253045,python,[unknown],0xffffffffab3cfc07
349213567.0,1253079,python,[unknown],0xffffffffab6011d3
348843651.0,1253053,python,python,PyDict_Contains
348114504.0,1253121,python,python,unicode_decode_utf8_impl
336331698.0,1253121,python,python,_PyUnicode_Equal
335965723.0,1253079,python,python,PyType_IsSubtype
335197053.0,1253045,python,[unknown],0xffffffffab6011d3
333064753.0,1253095,python,python,tuple_alloc
332172331.0,1253079,python,python,PyDict_Contains
331326753.0,1253158,python,python,_PyUnicode_Equal
331298518.0,1253134,python,[unknown],0xffffffffab6011d3
329661014.0,1253095,python,python,PyType_IsSubtype
328522524.0,1253158,python,python,tuple_alloc
326121454.0,1253134,python,python,unicode_decode_utf8_impl
325063869.0,1253053,python,[unknown],0xffffffffab3cfc07
324504391.0,1253045,python,python,PyDict_Contains
323044613.0,1253095,python,python,unicode_decode_utf8_impl
322571333.0,1253095,python,[unknown],0xffffffffab3cfc07
318323155.0,1253134,python,python,_PyCompactLong_Add
317551539.0,1253053,python,[unknown],0xffffffffab6011d3
315332346.0,1253121,python,[unknown],0xffffffffab6011d3
314342873.0,1253053,python,python,unicode_decode_utf8_impl
312685335.0,1253045,python,python,memcmp@plt
312156667.0,1253134,python,python,PyType_IsSubtype
310793329.0,1253158,python,python,PyType_IsSubtype
310377751.0,1253079,python,python,_PyUnicode_Equal
309348581.0,1253045,python,python,replace
307571528.0,1253095,python,python,_PyCompactLong_Add
305416550.0,1253095,python,[unknown],0xffffffffab6011d3
300850248.0,1253158,python,[unknown],0xffffffffab6011d3
300125329.0,1253158,python,[unknown],0xffffffffab3cfc07
