self,pid,command,shared_obj,symbol
1451486257.0,1744593,python,python,_PyEval_EvalFrameDefault
1327127131.0,1744677,python,python,_PyEval_EvalFrameDefault
1319314804.0,1744610,python,python,_PyEval_EvalFrameDefault
1264985069.0,1744655,python,python,_PyEval_EvalFrameDefault
1261607178.0,1744720,python,python,_PyEval_EvalFrameDefault
1236250503.0,1744634,python,python,_PyEval_EvalFrameDefault
1196565886.0,1744698,python,python,_PyEval_EvalFrameDefault
172932921.0,1744655,python,python,_PyEval_EvalFrameDefault
166735582.0,1744610,python,python,_PyEval_EvalFrameDefault
165419201.0,1744720,python,python,_PyEval_EvalFrameDefault
161581856.0,1744698,python,python,_PyEval_EvalFrameDefault
161331086.0,1744634,python,python,_PyEval_EvalFrameDefault
136494175.0,1744593,python,python,_PyFrame_ClearExceptCode
133916215.0,1744593,python,libc.so.6,__memmove_avx_unaligned_erms
130475900.0,1744593,python,python,_PyTypeCache_Lookup
127979739.0,1744720,python,python,_PyTypeCache_Lookup
123430602.0,1744593,python,python,_PyObject_Malloc
120429737.0,1744634,python,python,_PyFrame_ClearExceptCode
115038467.0,1744610,python,python,_PyFrame_ClearExceptCode
114377164.0,1744655,python,python,_PyFrame_ClearExceptCode
114042877.0,1744698,python,python,_PyObject_Malloc
112863055.0,1744698,python,python,_PyFrame_ClearExceptCode
108862555.0,1744634,python,python,_PyObject_Malloc
108226062.0,1744655,python,python,_PyObject_Malloc
106466207.0,1744655,python,python,_PyTypeCache_Lookup
105912731.0,1744610,python,python,_PyTypeCache_Lookup
105786911.0,1744677,python,python,_PyFrame_ClearExceptCode
103732491.0,1744634,python,libc.so.6,__memmove_avx_unaligned_erms
103218717.0,1744720,python,python,_PyFrame_ClearExceptCode
102124148.0,1744698,python,python,_PyTypeCache_Lookup
101035027.0,1744677,python,python,_PyObject_Malloc
100351363.0,1744677,python,python,_PyTypeCache_Lookup
94331476.0,1744720,python,python,_PyObject_Malloc
92912883.0,1744655,python,libc.so.6,__memmove_avx_unaligned_erms
91687891.0,1744610,python,python,_PyObject_Malloc
91432664.0,1744677,python,libc.so.6,__memmove_avx_unaligned_erms
90513374.0,1744634,python,python,_PyTypeCache_Lookup
89902155.0,1744634,python,python,_PyObject_Free
85948679.0,1744698,python,python,initialize_locals
85916629.0,1744655,python,python,_PyObject_Free
80251334.0,1744677,python,python,_Py_Dealloc
78382466.0,1744593,python,python,_Py_Dealloc
77431750.0,1744610,python,libc.so.6,__memmove_avx_unaligned_erms
77348940.0,1744610,python,python,_Py_Dealloc
74759673.0,1744698,python,python,_Py_Dealloc
72240116.0,1744593,python,python,_PyObject_Free
71644984.0,1744610,python,python,_PyObject_Free
69690455.0,1744720,python,python,_Py_Dealloc
69234525.0,1744698,python,libc.so.6,__memmove_avx_unaligned_erms
68812531.0,1744655,python,python,_Py_Dealloc
68277060.0,1744720,python,libc.so.6,__memmove_avx_unaligned_erms
67865446.0,1744634,python,python,initialize_locals
67436910.0,1744634,python,python,_Py_Dealloc
67002940.0,1744593,python,python,initialize_locals
64440696.0,1744698,python,python,_PyObject_Free
63482040.0,1744655,python,python,initialize_locals
62541327.0,1744593,python,python,sre_ucs1_match
61038039.0,1744720,python,python,_PyObject_Free
59419024.0,1744677,python,python,initialize_locals
58878889.0,1744655,python,python,sre_ucs1_match
58685044.0,1744610,python,python,initialize_locals
57760263.0,1744610,python,python,sre_ucs1_match
56592698.0,1744720,python,python,sre_ucs1_match
56286091.0,1744610,python,libc.so.6,__memset_avx2_unaligned_erms
56054513.0,1744698,python,python,sre_ucs1_match
55110841.0,1744677,python,python,_PyObject_Free
54777045.0,1744720,python,python,unicodekeys_lookup_unicode
54324184.0,1744720,python,libc.so.6,__memset_avx2_unaligned_erms
53562939.0,1744720,python,python,initialize_locals
53298069.0,1744634,python,python,sre_ucs1_match
52332291.0,1744634,python,libc.so.6,__memset_avx2_unaligned_erms
51030860.0,1744698,python,libc.so.6,__memset_avx2_unaligned_erms
50953044.0,1744593,python,python,unicodekeys_lookup_unicode
50929195.0,1744593,python,libc.so.6,__memset_avx2_unaligned_erms
50045913.0,1744610,python,python,unicodekeys_lookup_unicode
49849841.0,1744677,python,libc.so.6,__memset_avx2_unaligned_erms
48827315.0,1744677,python,python,unicodekeys_lookup_unicode
48754765.0,1744593,python,python,_Py_dict_lookup
47152769.0,1744677,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
45826889.0,1744655,python,[kernel.kallsyms],syscall_return_via_sysret
45264534.0,1744698,python,python,unicodekeys_lookup_unicode
44899791.0,1744634,python,python,unicodekeys_lookup_unicode
44726517.0,1744677,python,python,sre_ucs1_match
41117511.0,1744698,python,python,_Py_dict_lookup
40850320.0,1744593,python,python,_PyObject_GenericGetAttrWithDict
40781601.0,1744655,python,python,unicodekeys_lookup_unicode
40631830.0,1744677,python,python,_PyEval_FrameClearAndPop
40113306.0,1744593,python,[nf_tables],nft_do_chain
39572600.0,1744634,python,python,_PyEval_FrameClearAndPop
39078642.0,1744634,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
39021987.0,1744655,python,libc.so.6,__memset_avx2_unaligned_erms
38694243.0,1744677,python,python,_Py_dict_lookup
38068145.0,1744677,python,python,_PyObject_GenericGetAttrWithDict
38013026.0,1744593,python,python,_PyEval_FrameClearAndPop
37576551.0,1744593,python,python,PyObject_GC_UnTrack
37354210.0,1744720,python,python,_PyEvalFramePushAndInit
37296825.0,1744593,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
36915288.0,1744610,python,[kernel.kallsyms],syscall_return_via_sysret
36839477.0,1744720,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
36651517.0,1744698,python,[kernel.kallsyms],syscall_return_via_sysret
36292154.0,1744720,python,[kernel.kallsyms],syscall_return_via_sysret
35614724.0,1744720,python,[kernel.kallsyms],rep_movs_alternative
35359913.0,1744677,python,python,_Py_VectorCall_StackRefSteal
35165219.0,1744655,python,python,PyObject_Vectorcall
35144369.0,1744698,python,python,tuple_dealloc
34938705.0,1744720,python,python,_PyObject_GenericGetAttrWithDict
34829052.0,1744698,python,python,_Py_VectorCall_StackRefSteal
34821238.0,1744634,python,python,tuple_dealloc
34530370.0,1744655,python,python,_PyEvalFramePushAndInit
34494783.0,1744698,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
34340594.0,1744720,python,python,tuple_dealloc
34140955.0,1744610,python,python,_PyObject_GenericGetAttrWithDict
33923720.0,1744634,python,python,_PyType_LookupStackRefAndVersion
33804450.0,1744634,python,[kernel.kallsyms],syscall_return_via_sysret
33382324.0,1744634,python,python,_Py_VectorCall_StackRefSteal
33374244.0,1744655,python,python,_Py_dict_lookup
33106448.0,1744698,python,python,_PyEval_FrameClearAndPop
33007724.0,1744720,python,python,_Py_dict_lookup
32860254.0,1744677,python,[nf_tables],nft_do_chain
32777520.0,1744720,python,python,_PyEval_FrameClearAndPop
32693785.0,1744610,python,python,_PyEval_FrameClearAndPop
32669201.0,1744593,python,python,tuple_dealloc
32357077.0,1744634,python,[nf_tables],nft_do_chain
32336511.0,1744655,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
32301151.0,1744610,python,python,_Py_dict_lookup
32019104.0,1744593,python,python,_PyEvalFramePushAndInit
31874177.0,1744593,python,python,_Py_VectorCall_StackRefSteal
31654195.0,1744610,python,python,_Py_VectorCall_StackRefSteal
31567189.0,1744593,python,[kernel.kallsyms],syscall_return_via_sysret
31253550.0,1744655,python,python,tuple_dealloc
31183890.0,1744698,python,[kernel.kallsyms],rep_movs_alternative
31123603.0,1744677,python,[kernel.kallsyms],syscall_return_via_sysret
30971318.0,1744634,python,python,_PyJIT_Entry
30833113.0,1744655,python,python,_PyObject_GenericGetAttrWithDict
30736642.0,1744698,python,python,_PyObject_GenericGetAttrWithDict
30560213.0,1744677,python,python,PyObject_Vectorcall
30540725.0,1744720,python,python,_Py_VectorCall_StackRefSteal
30533734.0,1744593,python,libc.so.6,_int_malloc
30507070.0,1744720,python,python,_PyEval_Vector
30341093.0,1744593,python,python,_PyType_LookupStackRefAndVersion
30326748.0,1744610,python,[kernel.kallsyms],entry_SYSRETQ_unsafe_stack
30290666.0,1744655,python,python,_PyEval_FrameClearAndPop
30164789.0,1744720,python,python,PyObject_Vectorcall
29721977.0,1744655,python,python,_Py_VectorCall_StackRefSteal
29686330.0,1744610,python,python,tuple_dealloc
29543057.0,1744677,python,python,tuple_dealloc
29538632.0,1744720,python,python,_PyJIT_Entry
29344817.0,1744720,python,libc.so.6,_int_malloc
29134232.0,1744677,python,python,_PyEvalFramePushAndInit
29103568.0,1744593,python,python,_PyEval_Vector
28859078.0,1744698,python,python,_PyJIT_Entry
28695857.0,1744593,python,python,_PyObject_GetAttrStackRef
28682349.0,1744698,python,python,_PyType_LookupStackRefAndVersion
28164262.0,1744610,python,libc.so.6,_int_malloc
28102744.0,1744677,python,python,_PyJIT_Entry
28018647.0,1744677,python,python,PyObject_GC_UnTrack
27868373.0,1744698,python,python,PyObject_GC_UnTrack
27810826.0,1744698,python,python,_PyEvalFramePushAndInit
27653175.0,1744610,python,[nf_tables],nft_do_chain
27500638.0,1744593,python,[kernel.kallsyms],rep_movs_alternative
27448489.0,1744593,python,python,PyType_IsSubtype
27419690.0,1744634,python,python,_PyEvalFramePushAndInit
27224530.0,1744634,python,python,tuple_alloc
27101063.0,1744720,python,[nf_tables],nft_do_chain
26805843.0,1744655,python,python,_PyJIT_Entry
26746425.0,1744698,python,python,_PyEval_Vector
26708028.0,1744634,python,[kernel.kallsyms],rep_movs_alternative
26692710.0,1744634,python,python,_PyObject_GenericGetAttrWithDict
26186426.0,1744634,python,python,PyObject_Vectorcall
26129233.0,1744720,python,python,_PyType_LookupStackRefAndVersion
25878701.0,1744610,python,python,_PyEvalFramePushAndInit
25746977.0,1744634,python,python,_Py_dict_lookup
25742015.0,1744593,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
25542574.0,1744655,python,libc.so.6,_int_malloc
25457481.0,1744610,python,python,PyObject_GC_UnTrack
25293889.0,1744634,python,python,PyObject_GC_UnTrack
24889124.0,1744610,python,python,tuple_alloc
24864547.0,1744677,python,libc.so.6,_int_malloc
24690051.0,1744698,python,[nf_tables],nft_do_chain
24595342.0,1744677,python,[kernel.kallsyms],rep_movs_alternative
24423900.0,1744698,python,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
24306791.0,1744593,python,python,subtype_dealloc
24062182.0,1744610,python,python,_PyType_LookupStackRefAndVersion
24057430.0,1744655,python,python,tuple_alloc
23957902.0,1744655,python,python,PyObject_GC_UnTrack
23902145.0,1744593,python,python,_PyJIT_Entry
23614242.0,1744698,python,python,PyObject_Vectorcall
23489849.0,1744610,python,[kernel.kallsyms],rep_movs_alternative
23461467.0,1744593,python,python,sre_search
23382570.0,1744655,python,[nf_tables],nft_do_chain
23368986.0,1744698,python,python,PyType_IsSubtype
23032408.0,1744655,python,python,PyType_IsSubtype
22875659.0,1744655,python,[kernel.kallsyms],rep_movs_alternative
22689219.0,1744610,python,python,_PyObject_GetAttrStackRef
22400821.0,1744677,python,python,_PyType_LookupStackRefAndVersion
22344785.0,1744610,python,python,_PyJIT_Entry
22306156.0,1744698,python,python,tuple_alloc
22273158.0,1744610,python,python,PyObject_Vectorcall
22190820.0,1744593,python,python,PyObject_Vectorcall
21872903.0,1744698,python,python,_PyObject_MakeTpCall
21514502.0,1744720,python,[kernel.kallsyms],__tcp_transmit_skb
21392420.0,1744720,python,python,_PyObject_Calloc
21337346.0,1744698,python,libc.so.6,_int_malloc
21047413.0,1744610,python,python,_PyEval_Vector
21017272.0,1744655,python,python,_PyEval_Vector
20972570.0,1744593,python,python,sre_ucs1_count
20918644.0,1744677,python,python,PyType_IsSubtype
20535036.0,1744593,python,python,_PyFunction_Vectorcall
20353163.0,1744720,python,python,PyObject_GC_UnTrack
