self,pid,command,shared_obj,symbol
514976175.0,2472488,python,python,_PyEval_EvalFrameDefault
503222094.0,2472459,python,python,_PyEval_EvalFrameDefault
390798521.0,2472522,python,python,_PyEval_EvalFrameDefault
376545064.0,2472511,python,python,_PyEval_EvalFrameDefault
364713847.0,2472477,python,python,_PyEval_EvalFrameDefault
360268768.0,2472466,python,python,_PyEval_EvalFrameDefault
344655124.0,2472459,python,python,weakref___new__
336270849.0,2472500,python,python,_PyEval_EvalFrameDefault
311439556.0,2472522,python,python,weakref___new__
299294337.0,2472459,python,python,PyTuple_FromArray
297450055.0,2472522,python,python,PyTuple_FromArray
292137232.0,2472459,python,python,_Py_dict_lookup
289006422.0,2472488,python,python,weakref___new__
284740605.0,2472466,python,python,weakref___new__
278370717.0,2472477,python,python,weakref___new__
277045696.0,2472500,python,python,weakref___new__
273415836.0,2472459,python,python,_PyType_LookupStackRefAndVersion
270268785.0,2472511,python,python,weakref___new__
270262134.0,2472500,python,python,PyTuple_FromArray
269379742.0,2472459,python,python,_Py_Dealloc
265037794.0,2472488,python,python,_Py_Dealloc
264743633.0,2472466,python,python,_PyObject_Malloc
262872858.0,2472488,python,python,_PyObject_Malloc
261829781.0,2472459,python,python,_PyObject_MakeTpCall
259325565.0,2472488,python,python,PyTuple_FromArray
258829542.0,2472477,python,python,_PyObject_MakeTpCall
257221278.0,2472459,python,python,_PyObject_Malloc
255314472.0,2472500,python,python,_Py_VectorCall_StackRefSteal
252486887.0,2472500,python,python,_PyObject_Malloc
250273426.0,2472466,python,python,_Py_Dealloc
247506308.0,2472459,python,python,_Py_VectorCall_StackRefSteal
246436496.0,2472511,python,python,_Py_Dealloc
243472829.0,2472522,python,python,_Py_Dealloc
240512547.0,2472511,python,python,PyTuple_FromArray
240496176.0,2472466,python,python,_PyObject_MakeTpCall
240423211.0,2472477,python,python,_Py_Dealloc
228449496.0,2472466,python,python,PyTuple_FromArray
227744726.0,2472488,python,python,_PyObject_Free
227474470.0,2472477,python,python,_PyObject_Malloc
224595704.0,2472459,python,python,PyArg_UnpackTuple
224532535.0,2472500,python,python,_Py_Dealloc
221510741.0,2472477,python,python,_PyType_LookupStackRefAndVersion
219657422.0,2472466,python,python,_PyType_LookupStackRefAndVersion
215846859.0,2472488,python,python,tuple_dealloc
215529774.0,2472488,python,python,_PyType_LookupStackRefAndVersion
215385986.0,2472459,python,python,_PyObject_Free
213601944.0,2472511,python,python,_PyObject_Malloc
213532600.0,2472477,python,python,_Py_VectorCall_StackRefSteal
210518799.0,2472511,python,python,_PyType_LookupStackRefAndVersion
206884769.0,2472477,python,python,PyTuple_FromArray
206251263.0,2472488,python,python,_Py_VectorCall_StackRefSteal
205720765.0,2472522,python,python,_PyObject_Malloc
203938118.0,2472500,python,python,_PyType_LookupStackRefAndVersion
203445969.0,2472459,python,python,tuple_dealloc
201874240.0,2472511,python,python,_Py_VectorCall_StackRefSteal
201571697.0,2472522,python,python,_Py_dict_lookup
200972680.0,2472511,python,python,_PyObject_MakeTpCall
198747282.0,2472488,python,python,_PyObject_MakeTpCall
197823787.0,2472522,python,python,_PyType_LookupStackRefAndVersion
195967311.0,2472511,python,python,_Py_dict_lookup
195470507.0,2472466,python,python,_Py_VectorCall_StackRefSteal
193962245.0,2472488,python,python,_Py_dict_lookup
191640586.0,2472500,python,python,_Py_dict_lookup
190723966.0,2472522,python,python,_Py_VectorCall_StackRefSteal
186893079.0,2472466,python,python,_Py_dict_lookup
186038824.0,2472522,python,python,_PyObject_MakeTpCall
185923067.0,2472500,python,python,PyArg_UnpackTuple
183704752.0,2472500,python,python,_PyObject_MakeTpCall
183255419.0,2472466,python,python,tuple_dealloc
180114990.0,2472511,python,python,tuple_dealloc
179837804.0,2472466,python,python,PyArg_UnpackTuple
173801447.0,2472500,python,python,_PyObject_Free
172543949.0,2472477,python,python,_Py_dict_lookup
172105640.0,2472488,python,python,PyArg_UnpackTuple
169757694.0,2472477,python,python,tuple_alloc
168839030.0,2472477,python,python,_PyObject_Free
167073210.0,2472511,python,python,_PyObject_Free
167028421.0,2472477,python,python,tuple_dealloc
166621157.0,2472477,python,python,PyArg_UnpackTuple
166178001.0,2472511,python,python,PyArg_UnpackTuple
166062366.0,2472522,python,python,PyArg_UnpackTuple
165919697.0,2472459,python,python,_PyFrame_ClearExceptCode
159220959.0,2472500,python,python,tuple_dealloc
156456168.0,2472459,python,python,tuple_alloc
153232977.0,2472522,python,python,tuple_alloc
151889547.0,2472477,python,python,_PyFrame_ClearExceptCode
149378433.0,2472511,python,python,tuple_alloc
148132695.0,2472522,python,python,tuple_dealloc
144583954.0,2472488,python,python,_PyFrame_ClearExceptCode
144530730.0,2472459,python,python,PyObject_RichCompareBool
141265876.0,2472466,python,python,PyObject_GC_UnTrack
139554242.0,2472466,python,python,_PyObject_Free
139428079.0,2472466,python,python,tuple_alloc
138489899.0,2472488,python,python,tuple_alloc
134695876.0,2472522,python,python,_PyFrame_ClearExceptCode
132887380.0,2472466,python,python,PyObject_RichCompareBool
131229323.0,2472459,python,python,PyObject_Vectorcall
129941475.0,2472459,python,python,PyObject_GC_UnTrack
127606923.0,2472511,python,python,_PyFrame_ClearExceptCode
127295044.0,2472459,python,libc.so.6,__memset_avx2_unaligned_erms
124734957.0,2472522,python,python,_PyObject_Free
121713787.0,2472488,python,python,_Py_BuiltinCallFast_StackRefSteal
118293574.0,2472477,python,python,PyObject_RichCompareBool
117679626.0,2472511,python,libc.so.6,__memset_avx2_unaligned_erms
116748477.0,2472511,python,python,PyObject_RichCompareBool
114697569.0,2472500,python,python,_PyFrame_ClearExceptCode
113731695.0,2472488,python,python,unicodekeys_lookup_unicode
111359856.0,2472500,python,python,tuple_alloc
108838925.0,2472522,python,python,PyObject_RichCompareBool
105765917.0,2472500,python,python,PyObject_GC_UnTrack
105647890.0,2472488,python,python,PyObject_Vectorcall
104797554.0,2472459,python,python,unicodekeys_lookup_unicode
103962032.0,2472466,python,python,_PyFrame_ClearExceptCode
100990128.0,2472522,python,python,PyObject_GC_UnTrack
98982673.0,2472500,python,python,PyObject_RichCompareBool
98895595.0,2472488,python,python,PyObject_RichCompareBool
98229814.0,2472459,python,python,_Py_BuiltinCallFast_StackRefSteal
97777331.0,2472477,python,python,PyObject_GC_UnTrack
96933447.0,2472466,python,python,list_dealloc
96885606.0,2472459,python,python,PyList_New.constprop.0
96854398.0,2472466,python,libc.so.6,__memset_avx2_unaligned_erms
94039666.0,2472459,python,python,type_call
93965902.0,2472459,python,python,bounded_lru_cache_wrapper
93055663.0,2472488,python,python,PyObject_GC_UnTrack
91999731.0,2472500,python,python,PyObject_Vectorcall
89978377.0,2472500,python,python,type_call
89893387.0,2472466,python,python,PyList_New.constprop.0
88102662.0,2472511,python,python,PyObject_Vectorcall
84308601.0,2472522,python,python,PyList_New.constprop.0
84306409.0,2472459,python,python,set_lookkey
82189138.0,2472511,python,python,PyObject_GC_UnTrack
81211254.0,2472488,python,python,set_lookkey
81202142.0,2472488,python,python,bounded_lru_cache_wrapper
81028795.0,2472500,python,python,set_lookkey
80915725.0,2472459,python,python,_Py_type_getattro_stackref
80352596.0,2472466,python,python,_PyEval_EvalFrameDefault
80258935.0,2472511,python,python,bounded_lru_cache_wrapper
80176122.0,2472511,python,python,_Py_BuiltinCallFast_StackRefSteal
80140120.0,2472488,python,libc.so.6,__memset_avx2_unaligned_erms
80122056.0,2472500,python,python,_Py_BuiltinCallFast_StackRefSteal
80019708.0,2472477,python,python,_Py_BuiltinCallFast_StackRefSteal
78950533.0,2472466,python,python,unicodekeys_lookup_unicode
78276824.0,2472488,python,python,PyList_New.constprop.0
78233448.0,2472488,python,python,_Py_type_getattro_stackref
78082175.0,2472522,python,python,set_lookkey
77281570.0,2472466,python,python,set_lookkey
77097487.0,2472466,python,python,bounded_lru_cache_wrapper
76213584.0,2472511,python,python,PyMapping_Check
75988042.0,2472477,python,python,type_call
75243627.0,2472488,python,python,type_call
74900190.0,2472477,python,python,_Py_type_getattro_stackref
74323299.0,2472500,python,python,unicodekeys_lookup_unicode
73897451.0,2472477,python,python,bounded_lru_cache_wrapper
73679915.0,2472477,python,libc.so.6,__memset_avx2_unaligned_erms
73244133.0,2472500,python,python,bounded_lru_cache_wrapper
73152048.0,2472522,python,python,type_call
73111012.0,2472477,python,python,PyObject_Vectorcall
72100464.0,2472466,python,python,PyObject_Vectorcall
71286251.0,2472466,python,python,_Py_BuiltinCallFast_StackRefSteal
71234999.0,2472500,python,libc.so.6,__memset_avx2_unaligned_erms
70422123.0,2472459,python,python,tuple_hash
69578152.0,2472511,python,python,set_lookkey
69308727.0,2472466,python,python,getset_get
69276781.0,2472522,python,libc.so.6,__memset_avx2_unaligned_erms
69252211.0,2472511,python,python,type_call
69237346.0,2472522,python,python,unicodekeys_lookup_unicode
69208692.0,2472466,python,python,type_call
67201440.0,2472522,python,python,PyObject_Vectorcall
67175158.0,2472511,python,python,PyList_New.constprop.0
67141090.0,2472477,python,python,unicodekeys_lookup_unicode
66039185.0,2472477,python,python,_PyEval_EvalFrameDefault
65366450.0,2472522,python,python,_Py_BuiltinCallFast_StackRefSteal
64696658.0,2472511,python,python,_PyEval_EvalFrameDefault
64398447.0,2472522,python,python,tuple_hash
64396018.0,2472511,python,python,unicodekeys_lookup_unicode
64353530.0,2472511,python,python,_Py_type_getattro_stackref
63831386.0,2472500,python,python,_PyEval_EvalFrameDefault
63686335.0,2472459,python,python,new_dict
62875777.0,2472459,python,python,_Py_type_getattro_impl
62688710.0,2472459,python,python,PyObject_Hash
62282871.0,2472522,python,python,bounded_lru_cache_wrapper
61533151.0,2472522,python,python,_PyEval_EvalFrameDefault
60263700.0,2472500,python,python,_Py_type_getattro_stackref
59905892.0,2472459,python,python,_Py_NewReference
58679906.0,2472459,python,python,_PyEval_FrameClearAndPop
57403789.0,2472466,python,python,_Py_NewReference
57393995.0,2472477,python,python,initialize_locals
57221948.0,2472477,python,python,set_lookkey
57162900.0,2472477,python,python,tuple_hash
55431914.0,2472500,python,python,getset_get
54425665.0,2472500,python,python,initialize_locals
54219264.0,2472511,python,python,PyObject_Hash
52471018.0,2472500,python,python,_Py_NewReference
52320771.0,2472522,python,python,_Py_type_getattro_stackref
52313969.0,2472511,python,python,_Py_type_getattro_impl
