self,pid,command,shared_obj,symbol
380289373.0,2986820,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
338532557.0,2986820,python,python,_PyObject_Malloc
235356404.0,2986820,python,python,_PyObject_Free
224430660.0,2986974,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
221270298.0,2986985,python,python,_PyObject_Malloc
218617111.0,2987018,python,python,_PyObject_Malloc
217479718.0,2986930,python,python,_PyObject_Malloc
214276251.0,2986907,python,python,_PyObject_Malloc
213238669.0,2986963,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
213019776.0,2986896,python,python,_PyObject_Malloc
212490449.0,2987051,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
211702292.0,2987029,python,python,_PyObject_Malloc
211676138.0,2987040,python,python,_PyObject_Malloc
209732452.0,2986863,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
209354351.0,2987029,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
207937911.0,2986930,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
205384857.0,2986874,python,python,_PyObject_Malloc
204893733.0,2986952,python,python,_PyObject_Malloc
202270042.0,2986885,python,python,_PyObject_Malloc
197031399.0,2986827,python,python,_PyObject_Malloc
195842860.0,2987007,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
195039713.0,2986896,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
195032005.0,2986996,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
194362296.0,2986820,python,python,find_first_nonascii
193750941.0,2986996,python,python,_PyObject_Malloc
192649056.0,2986907,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
191137266.0,2986941,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
190308974.0,2986827,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
189777352.0,2987018,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
189265206.0,2987007,python,python,_PyObject_Malloc
186046756.0,2986874,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
185940735.0,2986952,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
184001596.0,2987040,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
182591812.0,2986885,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
182151735.0,2986852,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
180927232.0,2987051,python,python,_PyObject_Malloc
180390595.0,2986941,python,python,_PyObject_Malloc
178334924.0,2986820,python,python,siphash13
175028168.0,2986863,python,python,_PyObject_Malloc
174886275.0,2986963,python,python,_PyObject_Malloc
171057271.0,2986985,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
170899876.0,2986852,python,python,_PyObject_Malloc
169312974.0,2986974,python,python,_PyObject_Malloc
166676837.0,2986820,python,python,insertdict.isra.0
158831088.0,2986985,python,python,_PyObject_Free
147669856.0,2986820,python,python,unicode_decode_utf8.part.0
146260973.0,2986863,python,python,_PyObject_Free
145563450.0,2986874,python,python,_PyObject_Free
144903300.0,2986827,python,python,find_first_nonascii
143521131.0,2986941,python,python,_PyObject_Free
143481906.0,2987007,python,python,find_first_nonascii
142028186.0,2986820,python,python,unicodekeys_lookup_unicode
140232595.0,2986885,python,python,find_first_nonascii
138298188.0,2986974,python,python,_PyObject_Free
138100265.0,2986907,python,python,_PyObject_Free
137656157.0,2986930,python,python,find_first_nonascii
137515317.0,2986930,python,python,_PyObject_Free
133761040.0,2986941,python,python,find_first_nonascii
133343275.0,2986885,python,python,_PyObject_Free
133294852.0,2986963,python,python,find_first_nonascii
132525541.0,2987029,python,python,find_first_nonascii
132510728.0,2987029,python,python,_PyObject_Free
132157197.0,2986952,python,python,find_first_nonascii
131703700.0,2987018,python,python,_PyObject_Free
131703280.0,2987051,python,python,_PyObject_Free
131119001.0,2986820,python,_pickle.cpython-315-x86_64-linux-gnu.so,load_counted_binunicode
131093858.0,2986820,python,python,PyUnicode_New.part.0
130294806.0,2986896,python,python,siphash13
129240269.0,2987040,python,python,find_first_nonascii
127590892.0,2986863,python,python,siphash13
126743140.0,2986974,python,python,find_first_nonascii
126721104.0,2986852,python,python,_PyObject_Free
126691970.0,2987051,python,python,find_first_nonascii
124757075.0,2986827,python,python,_PyObject_Free
124611065.0,2986996,python,python,_PyObject_Free
123558905.0,2986852,python,python,find_first_nonascii
122539278.0,2986985,python,python,find_first_nonascii
121633314.0,2986863,python,python,find_first_nonascii
121616859.0,2986896,python,python,_PyObject_Free
121545220.0,2986907,python,python,find_first_nonascii
121508014.0,2986963,python,python,siphash13
120790957.0,2986852,python,python,siphash13
120543100.0,2987007,python,python,_PyObject_Free
120468541.0,2986996,python,python,find_first_nonascii
120421214.0,2986963,python,python,_PyObject_Free
119806472.0,2986874,python,python,find_first_nonascii
119716249.0,2986952,python,python,unicode_decode_utf8.part.0
119322891.0,2986820,python,python,_Py_Dealloc
117408945.0,2986896,python,python,find_first_nonascii
116944206.0,2987018,python,python,insertdict.isra.0
116566705.0,2987018,python,python,find_first_nonascii
116490127.0,2986952,python,python,_PyObject_Free
115294717.0,2986863,python,python,insertdict.isra.0
112855374.0,2987040,python,python,_PyObject_Free
110869277.0,2986874,python,python,insertdict.isra.0
110750405.0,2986985,python,python,siphash13
109936982.0,2986930,python,python,insertdict.isra.0
109454189.0,2986885,python,python,siphash13
108752259.0,2987018,python,python,siphash13
106636666.0,2987029,python,python,insertdict.isra.0
106510005.0,2986941,python,python,siphash13
106459410.0,2986907,python,python,siphash13
105970293.0,2987007,python,python,siphash13
105651471.0,2986827,python,python,insertdict.isra.0
105350392.0,2986963,python,python,insertdict.isra.0
103925885.0,2986852,python,python,unicode_decode_utf8.part.0
103777997.0,2986941,python,python,unicode_decode_utf8.part.0
103583740.0,2986952,python,python,unicodekeys_lookup_unicode
103021545.0,2987029,python,python,siphash13
101991858.0,2987029,python,python,unicode_decode_utf8.part.0
101934511.0,2987040,python,python,siphash13
101919854.0,2986896,python,python,insertdict.isra.0
