self,pid,command,shared_obj,symbol
467825426.0,2987224,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
293018058.0,2987460,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
290533039.0,2987367,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
288207427.0,2987264,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
281506326.0,2987415,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
278195166.0,2987437,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
278050530.0,2987231,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
277050528.0,2987300,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
276849443.0,2987253,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
275915892.0,2987242,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
273838367.0,2987404,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
273689187.0,2987389,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
273113070.0,2987311,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
272334973.0,2987345,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
272235307.0,2987378,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
271875272.0,2987289,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
261986042.0,2987426,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
253015547.0,2987322,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
246839411.0,2987356,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
241517996.0,2987333,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
165270830.0,2987224,python,python,PyList_New
145813132.0,2987224,python,python,list_dealloc
145611975.0,2987224,python,python,list_ass_slice_lock_held
139101249.0,2987224,python,python,_PyObject_Free
127609867.0,2987322,python,python,list_ass_slice_lock_held
125703406.0,2987289,python,python,list_ass_slice_lock_held
118922658.0,2987426,python,python,list_ass_slice_lock_held
118101232.0,2987224,python,python,PyLong_FromLong
114085858.0,2987333,python,python,_PyObject_Free
113812158.0,2987345,python,python,list_ass_slice_lock_held
113624199.0,2987224,python,python,_PyObject_Malloc
113507601.0,2987415,python,python,list_ass_slice_lock_held
112571284.0,2987224,python,_pickle.cpython-315-x86_64-linux-gnu.so,Pdata_push
110974118.0,2987460,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
109174093.0,2987367,python,python,list_ass_slice_lock_held
106830362.0,2987322,python,python,PyList_New
106121974.0,2987389,python,python,PyList_New
105564481.0,2987264,python,python,PyList_New
104633084.0,2987264,python,_pickle.cpython-315-x86_64-linux-gnu.so,load
103658025.0,2987253,python,python,list_ass_slice_lock_held
103623242.0,2987264,python,python,list_ass_slice_lock_held
102788990.0,2987333,python,python,list_ass_slice_lock_held
102486918.0,2987224,python,_pickle.cpython-315-x86_64-linux-gnu.so,do_append
101371894.0,2987437,python,python,list_ass_slice_lock_held
100489469.0,2987404,python,python,list_ass_slice_lock_held
100128013.0,2987231,python,python,list_dealloc
