self,pid,command,shared_obj,symbol
1210923645.0,42759,python,python,_PyEval_EvalFrameDefault
1031629373.0,42827,python,python,_PyEval_EvalFrameDefault
1031456987.0,42838,python,python,_PyEval_EvalFrameDefault
1021010241.0,42816,python,python,_PyEval_EvalFrameDefault
1017365623.0,42777,python,python,_PyEval_EvalFrameDefault
1014757730.0,42766,python,python,_PyEval_EvalFrameDefault
966685098.0,42805,python,python,_PyEval_EvalFrameDefault
285360284.0,42759,python,python,_PyType_LookupStackRefAndVersion
254765244.0,42759,python,python,_PyObject_Malloc
250875727.0,42816,python,python,_PyType_LookupStackRefAndVersion
240394651.0,42805,python,python,_PyType_LookupStackRefAndVersion
239085336.0,42777,python,python,_PyType_LookupStackRefAndVersion
237276119.0,42766,python,python,_PyType_LookupStackRefAndVersion
235436165.0,42827,python,python,_PyType_LookupStackRefAndVersion
234669556.0,42838,python,python,_PyType_LookupStackRefAndVersion
213605276.0,42805,python,python,_PyObject_Malloc
209142131.0,42838,python,python,_PyObject_Malloc
204799732.0,42827,python,python,_PyObject_Malloc
198320245.0,42827,python,python,_PyEval_EvalFrameDefault
188637438.0,42766,python,python,_PyObject_Malloc
184287716.0,42816,python,python,_PyObject_Malloc
184115190.0,42777,python,python,_PyObject_Malloc
176034158.0,42766,python,python,_PyEval_EvalFrameDefault
173108265.0,42816,python,python,_PyEval_EvalFrameDefault
170142530.0,42777,python,python,_PyEval_EvalFrameDefault
167215400.0,42838,python,python,_PyEval_EvalFrameDefault
165010637.0,42759,python,python,_Py_Dealloc
156065634.0,42759,python,python,gc_collect_main
154916259.0,42766,python,python,gc_collect_main
154473080.0,42838,python,python,gc_collect_main
145933110.0,42816,python,python,gc_collect_main
143706558.0,42777,python,python,gc_collect_main
139884985.0,42827,python,python,gc_collect_main
137172770.0,42805,python,python,gc_collect_main
135825830.0,42766,python,python,_Py_Dealloc
133761618.0,42838,python,python,_Py_Dealloc
131853689.0,42777,python,python,_Py_Dealloc
129822256.0,42816,python,python,_Py_Dealloc
129326399.0,42827,python,python,_Py_Dealloc
125410503.0,42805,python,python,_Py_Dealloc
123490327.0,42759,python,python,_PyFrame_ClearExceptCode
121326067.0,42759,python,python,_PyObject_Free
120980419.0,42838,python,python,unicodekeys_lookup_unicode
118884293.0,42827,python,python,_PyObject_Free
116976953.0,42777,python,python,unicodekeys_lookup_unicode
116905679.0,42759,python,python,unicodekeys_lookup_unicode
113189993.0,42838,python,python,_PyObject_Free
111722659.0,42805,python,python,_PyFrame_ClearExceptCode
111164140.0,42827,python,python,unicodekeys_lookup_unicode
110963477.0,42766,python,python,_PyObject_Free
109263236.0,42816,python,python,_PyFrame_ClearExceptCode
107088497.0,42816,python,python,_PyObject_Free
103566783.0,42805,python,python,unicodekeys_lookup_unicode
103161723.0,42777,python,python,_PyObject_Free
100455035.0,42759,python,python,_Py_dict_lookup
99396836.0,42766,python,python,unicodekeys_lookup_unicode
99395761.0,42766,python,python,_PyFrame_ClearExceptCode
99300015.0,42816,python,python,unicodekeys_lookup_unicode
98605473.0,42827,python,python,_PyFrame_ClearExceptCode
98494283.0,42777,python,python,_PyFrame_ClearExceptCode
93212045.0,42805,python,python,_PyObject_Free
92643411.0,42777,python,python,_Py_dict_lookup
91548425.0,42766,python,python,_Py_dict_lookup
88491197.0,42838,python,python,_PyFrame_ClearExceptCode
88454875.0,42816,python,python,_Py_dict_lookup
84684429.0,42827,python,python,_Py_dict_lookup
82795286.0,42759,python,python,PyDict_GetItemRef
81335111.0,42805,python,python,_Py_dict_lookup
80866380.0,42759,python,python,tuple_dealloc
80865160.0,42838,python,python,tuple_dealloc
78763366.0,42759,python,python,PyObject_SetAttr
77511381.0,42816,python,python,tuple_dealloc
74843751.0,42759,python,python,_PyEval_FrameClearAndPop
74690927.0,42777,python,python,PyDict_GetItemRef
73926166.0,42838,python,python,_Py_dict_lookup
71843400.0,42816,python,python,initialize_locals
70635072.0,42766,python,python,tuple_dealloc
70610232.0,42766,python,python,_PyEval_FrameClearAndPop
69902745.0,42759,python,python,_PyJIT_Entry
69797403.0,42816,python,python,_PyType_AllocNoTrack
69738611.0,42766,python,python,_PyType_AllocNoTrack
68876190.0,42759,python,python,initialize_locals
68035129.0,42759,python,python,_PyEvalFramePushAndInit
67941200.0,42827,python,python,tuple_dealloc
67873747.0,42777,python,python,initialize_locals
67815494.0,42766,python,python,initialize_locals
66163584.0,42777,python,python,_PyEval_FrameClearAndPop
65794779.0,42805,python,python,_PyObject_GenericGetAttrWithDict
65591020.0,42805,python,python,tuple_dealloc
65261607.0,42759,python,python,visit_decref
65050353.0,42827,python,python,initialize_locals
64092244.0,42838,python,python,PyObject_GenericSetAttr
64037049.0,42816,python,python,_PyObject_GenericGetAttrWithDict
62955396.0,42766,python,python,_PyObject_GenericGetAttrWithDict
62047133.0,42838,python,python,initialize_locals
61327468.0,42777,python,python,_PyJIT_Entry
61125626.0,42827,python,python,_PyEval_FrameClearAndPop
60836780.0,42805,python,python,PyObject_GenericSetAttr
59868633.0,42766,python,python,PyDict_GetItemRef
59834069.0,42838,python,python,PyObject_SetAttr
59138757.0,42816,python,python,PyObject_SetAttr
59043263.0,42766,python,python,PyObject_SetAttr
59011867.0,42816,python,python,_PyEval_FrameClearAndPop
58961600.0,42805,python,python,initialize_locals
58913753.0,42805,python,python,PyObject_SetAttr
58818038.0,42805,python,python,_Py_VectorCall_StackRefSteal
58127704.0,42838,python,python,_PyType_AllocNoTrack
58066933.0,42759,python,python,_PyObject_GenericGetAttrWithDict
58011483.0,42759,python,python,PyObject_GenericSetAttr
57081771.0,42838,python,python,_PyJIT_Entry
57043335.0,42777,python,python,PyObject_SetAttr
56990287.0,42777,python,python,tuple_dealloc
56955850.0,42766,python,python,_Py_VectorCall_StackRefSteal
56196154.0,42838,python,python,_PyEval_FrameClearAndPop
55183557.0,42777,python,python,_PyObject_GenericGetAttrWithDict
55140633.0,42838,python,python,PyDict_GetItemRef
55023166.0,42766,python,python,PyObject_GenericSetAttr
54335865.0,42759,python,libc.so.6,__memset_avx2_unaligned_erms
54252019.0,42827,python,python,_PyJIT_Entry
54204807.0,42816,python,python,PyObject_GenericSetAttr
53184114.0,42838,python,libc.so.6,__memset_avx2_unaligned_erms
53106045.0,42805,python,python,_PyType_AllocNoTrack
53103343.0,42827,python,python,_PyObject_GenericGetAttrWithDict
52832685.0,42759,python,python,_PyType_AllocNoTrack
52257314.0,42816,python,python,PyDict_GetItemRef
52248277.0,42777,python,python,PyObject_GC_UnTrack
52151751.0,42759,python,python,PyType_IsSubtype
51887556.0,42816,python,python,_PyEvalFramePushAndInit
51175542.0,42816,python,python,visit_decref
51000707.0,42766,python,python,PyObject_Vectorcall
50321822.0,42816,python,python,_Py_VectorCall_StackRefSteal
50285936.0,42838,python,python,visit_decref
50247114.0,42827,python,python,_PyType_AllocNoTrack
50216104.0,42827,python,python,PyObject_SetAttr
50166338.0,42777,python,libc.so.6,__memset_avx2_unaligned_erms
50145860.0,42766,python,python,tuple_alloc
49283050.0,42759,python,python,subtype_traverse
49239622.0,42805,python,python,PyDict_GetItemRef
49227567.0,42827,python,python,PyObject_GenericSetAttr
49034205.0,42805,python,python,_PyJIT_Entry
48341353.0,42827,python,libc.so.6,__memset_avx2_unaligned_erms
48291794.0,42827,python,python,visit_decref
48275033.0,42838,python,python,_PyObject_GenericGetAttrWithDict
48256251.0,42759,python,python,PyTuple_FromArray.part.0
48248323.0,42816,python,python,_PyEval_Vector
48230139.0,42827,python,python,PyDict_GetItemRef
47816336.0,42805,python,python,_PyObject_GetAttrStackRef
47254842.0,42766,python,python,visit_decref
